,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
24,Sarcohyla bistincta,150864,-102.05,19.4166666,,False,1,21.67,Amphibia,Anura,Hylidae,1626,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0000ddc09ad93c9cf29ce3170239765f,0000ddc09ad93c9cf29ce3170239765f,No,NoDisponible,,,,,,,
35,Sarcohyla bistincta,150864,-102.06139,19.42611,,False,1,21.67,Amphibia,Anura,Hylidae,1659,Dulceacuícola; Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a965c065ad510833bf7dd90399237c,00a965c065ad510833bf7dd90399237c,No,NoDisponible,,,,,,,
25,Sarcohyla bistincta,150864,-102.05,19.4166666,,False,1,21.67,Amphibia,Anura,Hylidae,1626,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f6efa687d4eb8e918a7c7ae99c00ae,00f6efa687d4eb8e918a7c7ae99c00ae,No,NoDisponible,,,,,,,
230,Sarcohyla bistincta,160510,-100.70028,19.66861,,False,1,26.77,Amphibia,Anura,Hylidae,2178,Dulceacuícola; Terrestre,1949,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0168eb8b6edeb1cd909b7f390e1704ec,0168eb8b6edeb1cd909b7f390e1704ec,No,NoDisponible,,,,,,,
80,Sarcohyla bistincta,194785,-96.8553951,18.1394136,,False,2,36.29,Amphibia,Anura,Hylidae,1309,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=022656d6d278318c4cfec709abe21963,022656d6d278318c4cfec709abe21963,No,NoDisponible,,,,,,,
256,Sarcohyla bistincta,165347,-100.2386111,19.1816667,,False,2,34.35,Amphibia,Anura,Hylidae,1557,Dulceacuícola; Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02abf954250e84ed88c6cd462d7be1c5,02abf954250e84ed88c6cd462d7be1c5,No,NoDisponible,,,,,,,
181,Sarcohyla bistincta,189638,-97.7299999,17.25,,False,1,24.23,Amphibia,Anura,Hylidae,2169,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02db84587f683ee7c9ca2bbb1031464c,02db84587f683ee7c9ca2bbb1031464c,No,NoDisponible,,,,,,,
221,Sarcohyla bistincta,136594,-104.0351205,19.5474505,,False,2,39.27,Amphibia,Anura,Hylidae,1500,Dulceacuícola; Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042f133a42b3772d0bc387cd2b793709,042f133a42b3772d0bc387cd2b793709,No,NoDisponible,,,,,,,
194,Sarcohyla bistincta,141287,-103.0692999,18.7923999,,False,2,35.81,Amphibia,Anura,Hylidae,1766,Dulceacuícola; Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05614487ad424390318e369e46f92b60,05614487ad424390318e369e46f92b60,No,NoDisponible,,,,,,,
229,Sarcohyla bistincta,194836,-97.0259944,19.0078333,,False,3,46.88,Amphibia,Anura,Hylidae,1320,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06349e7fa346f97f45177e994bec67b8,06349e7fa346f97f45177e994bec67b8,No,NoDisponible,,,,,,,
108,Sarcohyla bistincta,165361,-100.2655556,19.5075,,False,2,34.12,Amphibia,Anura,Hylidae,2507,Dulceacuícola; Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c68f81cf62c59d7fac3dc87936aab2,06c68f81cf62c59d7fac3dc87936aab2,No,NoDisponible,,,,,,,
202,Sarcohyla bistincta,175004,-99.2,19.033333,,False,3,42.7,Amphibia,Anura,Hylidae,2612,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07383732fd37f2cfdf6461d8b529e2b0,07383732fd37f2cfdf6461d8b529e2b0,No,NoDisponible,,,,,,,
