,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
93,Smilisca cyanosticta,209080,-95.0747222,18.5841667,,False,4,26.2,Amphibia,Anura,Hylidae,166,Dulceacuícola; Terrestre,1976,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=010b247914cfac45f6ffc40402e34354,010b247914cfac45f6ffc40402e34354,No,NoDisponible,,,,,,,
240,Smilisca cyanosticta,213608,-94.4713611,17.203,,False,6,41.24,Amphibia,Anura,Hylidae,269,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01748634fcc8859e1587af676b35030d,01748634fcc8859e1587af676b35030d,Si,NoDisponible,Si,Si,Si,,,,
216,Smilisca cyanosticta,213607,-94.4725555,17.1717222,,False,7,55.44,Amphibia,Anura,Hylidae,237,Dulceacuícola; Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a199daa6b63fd2e6e1d65b0de6b81e,01a199daa6b63fd2e6e1d65b0de6b81e,Si,NoDisponible,Si,Si,Si,,,,
97,Smilisca cyanosticta,209080,-95.075,18.575,,False,4,26.2,Amphibia,Anura,Hylidae,264,Dulceacuícola; Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028bd0386f3fc7726c74226fb70aee04,028bd0386f3fc7726c74226fb70aee04,No,NoDisponible,,,,,,,
94,Smilisca cyanosticta,209080,-95.0747222,18.5841667,,False,4,26.2,Amphibia,Anura,Hylidae,166,Dulceacuícola; Terrestre,1996,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c6212ce8e523e88d7bb74b2cda7afa,03c6212ce8e523e88d7bb74b2cda7afa,No,NoDisponible,,,,,,,
259,Smilisca cyanosticta,209064,-95.025,18.3583333,,False,6,42.07,Amphibia,Anura,Hylidae,524,Dulceacuícola; Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0514aec9236a8ed0322513486666328d,0514aec9236a8ed0322513486666328d,No,NoDisponible,,,,,,,
129,Smilisca cyanosticta,209056,-95.2083333,18.575,,False,6,43.02,Amphibia,Anura,Hylidae,1120,Dulceacuícola; Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06b1c309c1e13b55c19a404339dfeb0b,06b1c309c1e13b55c19a404339dfeb0b,No,NoDisponible,,,,,,,
211,Smilisca cyanosticta,213607,-94.4647777,17.1937777,,False,7,55.44,Amphibia,Anura,Hylidae,297,Dulceacuícola; Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e60be45d009da3ee5d3039cfa5353a,07e60be45d009da3ee5d3039cfa5353a,Si,NoDisponible,Si,Si,Si,,,,
84,Smilisca cyanosticta,209080,-95.0752778,18.585,,False,4,26.2,Amphibia,Anura,Hylidae,146,Dulceacuícola; Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0840e0cdf76e2b3150063944db18c1d4,0840e0cdf76e2b3150063944db18c1d4,No,NoDisponible,,,,,,,
288,Smilisca cyanosticta,226483,-92.7555556,15.0669444,,False,1,1.71,Amphibia,Anura,Hylidae,15,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08faa9cd6d8e9cd956387e977ab7be5c,08faa9cd6d8e9cd956387e977ab7be5c,Si,NoDisponible,No,,Si,,,,
271,Smilisca cyanosticta,218153,-93.8316667,17.0197222,,False,6,42.81,Amphibia,Anura,Hylidae,494,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=098e0b5d5fdadf673509ca06ede5cd77,098e0b5d5fdadf673509ca06ede5cd77,No,NoDisponible,,,,,,,
136,Smilisca cyanosticta,209074,-95.0916667,18.4416667,,False,6,45.43,Amphibia,Anura,Hylidae,404,Dulceacuícola; Terrestre,1981,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2e0fea8f05e9b809087fe82a455380,0a2e0fea8f05e9b809087fe82a455380,No,NoDisponible,,,,,,,
98,Smilisca cyanosticta,209080,-95.075,18.575,,False,4,26.2,Amphibia,Anura,Hylidae,264,Dulceacuícola; Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aafc434ebe726f1f779f1c99f3c927d,0aafc434ebe726f1f779f1c99f3c927d,No,NoDisponible,,,,,,,
165,Smilisca cyanosticta,222478,-93.5399627,16.68,,True,0,-4.73,Amphibia,Anura,Hylidae,617,Dulceacuícola; Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b2db8b9afffc9f3f71dd0c101fcf2fc,0b2db8b9afffc9f3f71dd0c101fcf2fc,No,NoDisponible,,,,,,,
276,Smilisca cyanosticta,218153,-93.8316667,17.0197222,,False,6,42.81,Amphibia,Anura,Hylidae,494,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0be58f2ff5dd6699f1d083622fbf3b94,0be58f2ff5dd6699f1d083622fbf3b94,No,NoDisponible,,,,,,,
