,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
14,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0201721f51f91441751b8909bbfab89a,0201721f51f91441751b8909bbfab89a,No,NoDisponible,,,,,,,
15,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=040082634fad3b04b2331bcdb965bd8c,040082634fad3b04b2331bcdb965bd8c,No,NoDisponible,,,,,,,
16,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06e5e6a2641711e333ee3785aa9daa47,06e5e6a2641711e333ee3785aa9daa47,No,NoDisponible,,,,,,,
17,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06e862f1ad5cbbf5a1a5988645fddd98,06e862f1ad5cbbf5a1a5988645fddd98,No,NoDisponible,,,,,,,
18,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08d44cfa504876684cfb9621751de93e,08d44cfa504876684cfb9621751de93e,No,NoDisponible,,,,,,,
19,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3f434129e6e409241650b47da8d364,0b3f434129e6e409241650b47da8d364,No,NoDisponible,,,,,,,
20,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b466b911ec4e9ef9e484a1747e36b74,0b466b911ec4e9ef9e484a1747e36b74,No,NoDisponible,,,,,,,
21,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cc684cf0842f9864b60d5cc24548db1,0cc684cf0842f9864b60d5cc24548db1,No,NoDisponible,,,,,,,
22,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0da64909eddf54c1821c2f2b20a80a27,0da64909eddf54c1821c2f2b20a80a27,No,NoDisponible,,,,,,,
23,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e1f9216ea0be22f1e00ea56977894ca,0e1f9216ea0be22f1e00ea56977894ca,No,NoDisponible,,,,,,,
24,Smilisca dentata,151134,-102.1666699,21.85,,False,3,20.54,Amphibia,Anura,Hylidae,1982,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f7ca0b61c023926d9b818275789eada,0f7ca0b61c023926d9b818275789eada,No,NoDisponible,,,,,,,
205,Smilisca dentata,151124,-102.2004575,21.7107116,,False,3,25.19,Amphibia,Anura,Hylidae,2048,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10c2a67bd7aa1501ae0b4e55ab996e10,10c2a67bd7aa1501ae0b4e55ab996e10,Si,NoDisponible,Si,Si,Si,,,,
191,Smilisca dentata,151072,-102.0899999,21.3,,False,3,20.61,Amphibia,Anura,Hylidae,1931,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=112b7d01bd43881ddce7b3d7d284ec82,112b7d01bd43881ddce7b3d7d284ec82,No,NoDisponible,,,,,,,
