,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
645,Spea multiplicata,184798,-98.1119444,18.6225,,False,4,1.09,Amphibia,Anura,Scaphiopodidae,1281,Dulceacuícola; Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000ae620d1187f264a267d9ae89ff285,000ae620d1187f264a267d9ae89ff285,No,NoDisponible,NoDisponible,,,,,,
497,Spea multiplicata,180037,-98.815,19.9019444,,False,5,12.84,Amphibia,Anura,Scaphiopodidae,2329,Dulceacuícola; Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000af303423d1489a85c0cb1c20f5081,000af303423d1489a85c0cb1c20f5081,No,NoDisponible,NoDisponible,,,,,,
1382,Spea multiplicata,105698,-107.770355,29.23,,False,5,7.24,Amphibia,Anura,Scaphiopodidae,2324,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001896b01d7deacbd8a21b4d81e710c1,001896b01d7deacbd8a21b4d81e710c1,No,NoDisponible,NoDisponible,,,,,,
488,Spea multiplicata,184936,-97.9416667,19.43,,False,5,16.73,Amphibia,Anura,Scaphiopodidae,2555,Dulceacuícola; Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0028a3f792efe77dabd9d8569450ddc7,0028a3f792efe77dabd9d8569450ddc7,No,NoDisponible,NoDisponible,,,,,,
36,Spea multiplicata,194666,-96.72,17.0678,,False,5,12.31,Amphibia,Anura,Scaphiopodidae,1566,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00471cc53db310fdc7ff7c37d532ebde,00471cc53db310fdc7ff7c37d532ebde,No,NoDisponible,NoDisponible,,,,,,
728,Spea multiplicata,146327,-102.7847222,21.7513888,,False,5,7.47,Amphibia,Anura,Scaphiopodidae,1794,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004720385d7d8c7aadbce9d6072045db,004720385d7d8c7aadbce9d6072045db,No,NoDisponible,NoDisponible,,,,,,
2163,Spea multiplicata,146435,-102.8209227,22.457655,,False,5,16.33,Amphibia,Anura,Scaphiopodidae,2127,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004b3b84106183de54b7d47d0837d516,004b3b84106183de54b7d47d0837d516,No,NoDisponible,NoDisponible,,,,,,
1267,Spea multiplicata,150868,-102.2301768,19.55,,False,5,17.05,Amphibia,Anura,Scaphiopodidae,2390,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009abe5bdff002fe779b9300cb6121c9,009abe5bdff002fe779b9300cb6121c9,No,NoDisponible,NoDisponible,,,,,,
917,Spea multiplicata,175101,-99.0041666,19.6209472,,False,5,19.12,Amphibia,Anura,Scaphiopodidae,2244,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00af7ca3ce8d0e8aed29166026b83a42,00af7ca3ce8d0e8aed29166026b83a42,Si,NoDisponible,NoDisponible,,No,,,,
744,Spea multiplicata,146360,-102.5,21.8672222,,False,5,13.12,Amphibia,Anura,Scaphiopodidae,2007,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ce82db6132b9e6228cceaa57a7b0ea,00ce82db6132b9e6228cceaa57a7b0ea,No,NoDisponible,NoDisponible,,,,,,
693,Spea multiplicata,184886,-98.01,19.17,,False,5,15.13,Amphibia,Anura,Scaphiopodidae,2957,Dulceacuícola; Terrestre,1982,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00dcd77f8396d1290e7bd1269b56fe19,00dcd77f8396d1290e7bd1269b56fe19,No,NoDisponible,NoDisponible,,,,,,
1298,Spea multiplicata,194665,-96.6600375,17.06,,False,5,8.52,Amphibia,Anura,Scaphiopodidae,1562,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ed53a5aa38dc0f3e6c2db1f52dea42,00ed53a5aa38dc0f3e6c2db1f52dea42,No,NoDisponible,NoDisponible,,,,,,
1612,Spea multiplicata,180023,-98.5167567,19.65,,False,5,14.52,Amphibia,Anura,Scaphiopodidae,2498,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012089c014f0edb4189bea7af8a353d1,012089c014f0edb4189bea7af8a353d1,No,NoDisponible,NoDisponible,,,,,,
634,Spea multiplicata,175077,-99.1561111,19.3447222,,False,5,12.8,Amphibia,Anura,Scaphiopodidae,2240,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0135e5dfe880e2b3d631c87f3059aadf,0135e5dfe880e2b3d631c87f3059aadf,No,NoDisponible,NoDisponible,,,,,,
327,Spea multiplicata,105514,-107.6249999,27.7184666,,False,5,2.91,Amphibia,Anura,Scaphiopodidae,2329,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01394eba2e5bb687ff4b6b3bf4d5d756,01394eba2e5bb687ff4b6b3bf4d5d756,No,NoDisponible,NoDisponible,,,,,,
290,Spea multiplicata,101291,-108.137437,29.184827,,False,5,5.61,Amphibia,Anura,Scaphiopodidae,2093,Dulceacuícola; Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013df13295485e5256a66cceb2c71287,013df13295485e5256a66cceb2c71287,No,NoDisponible,NoDisponible,,,,,,
737,Spea multiplicata,161003,-100.6212643,23.51972,,False,5,6.79,Amphibia,Anura,Scaphiopodidae,1451,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0167bb1e965297aea30ca8e650192642,0167bb1e965297aea30ca8e650192642,No,NoDisponible,NoDisponible,,,,,,
