,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
17,Thorius arboreus,199555,-96.4919997,17.5829997,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2456,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009ddff11d874cdd66bd3e21db86c864,009ddff11d874cdd66bd3e21db86c864,No,NoDisponible,,,,,,,
55,Thorius arboreus,199561,-96.412,17.594,,False,2,93.05,Amphibia,Caudata,Plethodontidae,2027,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01007b65d5a6d3272fb34eed0d4a2ff4,01007b65d5a6d3272fb34eed0d4a2ff4,No,NoDisponible,,,,,,,
70,Thorius arboreus,199567,-96.3177777,17.7449999,,False,0,40.37,Amphibia,Caudata,Plethodontidae,386,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=016aa89b2c509e4c7bd4235811a75270,016aa89b2c509e4c7bd4235811a75270,Si,NoDisponible,Si,Si,Si,,,,
25,Thorius arboreus,199555,-96.4916666,17.5833333,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2396,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04cc92a811e1ed397efd53698072f656,04cc92a811e1ed397efd53698072f656,No,NoDisponible,,,,,,,
38,Thorius arboreus,199555,-96.4761111,17.5819444,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2280,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=080e69bff75095bf57ecc454c9d36094,080e69bff75095bf57ecc454c9d36094,No,NoDisponible,,,,,,,
26,Thorius arboreus,199555,-96.4916666,17.5833333,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2396,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2fb2baf60ddeb3b01a2fe9070c8003,0a2fb2baf60ddeb3b01a2fe9070c8003,No,NoDisponible,,,,,,,
27,Thorius arboreus,199555,-96.4916666,17.5833333,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2396,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11d241242fa6a8087e98b092643cc11f,11d241242fa6a8087e98b092643cc11f,No,NoDisponible,,,,,,,
71,Thorius arboreus,199567,-96.3177777,17.7449999,,False,0,40.37,Amphibia,Caudata,Plethodontidae,386,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17de50203c34c5184ca12f1098c3fd2a,17de50203c34c5184ca12f1098c3fd2a,Si,NoDisponible,Si,Si,Si,,,,
28,Thorius arboreus,199555,-96.4916666,17.5833333,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2396,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=196029053745e4e212d0d620f874924c,196029053745e4e212d0d620f874924c,No,NoDisponible,,,,,,,
6,Thorius arboreus,199554,-96.5527778,17.6388889,,False,2,86.89,Amphibia,Caudata,Plethodontidae,1907,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a4239dbe86fa5b716a803d8e322bd31,1a4239dbe86fa5b716a803d8e322bd31,Si,NoDisponible,Si,Si,Si,,,,
52,Thorius arboreus,199561,-96.4025,17.5863889,,False,2,93.05,Amphibia,Caudata,Plethodontidae,2058,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e2abff75079101c3444ba93c37eb560,1e2abff75079101c3444ba93c37eb560,No,NoDisponible,,,,,,,
14,Thorius arboreus,199555,-96.4761111,17.582,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2280,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29290e3f287b0657aab9778b3af0505a,29290e3f287b0657aab9778b3af0505a,No,NoDisponible,,,,,,,
33,Thorius arboreus,199555,-96.4619444,17.5924999,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2067,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a33da571ba4629d61d7de2bbee6b4bc,2a33da571ba4629d61d7de2bbee6b4bc,No,NoDisponible,,,,,,,
8,Thorius arboreus,199555,-96.462,17.5929997,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2107,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c69a036f80c9a568a3cbf90610485de,2c69a036f80c9a568a3cbf90610485de,No,NoDisponible,,,,,,,
50,Thorius arboreus,199564,-96.3333333,17.6491666,,False,1,58.88,Amphibia,Caudata,Plethodontidae,1435,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d08bd347b61abaa1811b3928ae4ae42,2d08bd347b61abaa1811b3928ae4ae42,Si,NoDisponible,Si,Si,Si,,,,
46,Thorius arboreus,199564,-96.3238889,17.6736111,,False,1,58.88,Amphibia,Caudata,Plethodontidae,880,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2dac551c1de992cfad6780b615b812d2,2dac551c1de992cfad6780b615b812d2,Si,NoDisponible,Si,Si,Si,,,,
42,Thorius arboreus,199589,-96.2769444,17.6977778,,False,0,40.82,Amphibia,Caudata,Plethodontidae,124,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37c9b4d665f4cc306b3158be586874ed,37c9b4d665f4cc306b3158be586874ed,Si,NoDisponible,Si,Si,Si,,,,
47,Thorius arboreus,199564,-96.3329997,17.6489997,,False,1,58.88,Amphibia,Caudata,Plethodontidae,1442,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39805232c04bb96b46ba2258ebaa5057,39805232c04bb96b46ba2258ebaa5057,Si,NoDisponible,Si,Si,Si,,,,
12,Thorius arboreus,199555,-96.45,17.5858331,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2146,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39929a69c7a206f55265b3fd888b6b84,39929a69c7a206f55265b3fd888b6b84,No,NoDisponible,,,,,,,
43,Thorius arboreus,199589,-96.2766667,17.7077778,,False,0,40.82,Amphibia,Caudata,Plethodontidae,153,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e0aa6b9f4ec0baf1e36b65f92cc9486,3e0aa6b9f4ec0baf1e36b65f92cc9486,Si,NoDisponible,Si,Si,Si,,,,
18,Thorius arboreus,199555,-96.4919997,17.5829997,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2456,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f59d5d60ea168c71da789fe5f4d0f6a,3f59d5d60ea168c71da789fe5f4d0f6a,No,NoDisponible,,,,,,,
19,Thorius arboreus,199555,-96.4919997,17.5829997,,False,2,103.38,Amphibia,Caudata,Plethodontidae,2456,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42dfce156d8f1d23ab1d984df6700fd8,42dfce156d8f1d23ab1d984df6700fd8,No,NoDisponible,,,,,,,
