,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
13,Thorius maxillabrochus,199511,-96.5,17.45,,False,1,43.89,Amphibia,Caudata,Plethodontidae,2847,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d216fa40a86936936e4ffe2fdba4fc,04d216fa40a86936936e4ffe2fdba4fc,No,NoDisponible,NoDisponible,,Si,,,,
11,Thorius maxillabrochus,199512,-96.5,17.5333327,,False,2,63.14,Amphibia,Caudata,Plethodontidae,2491,Terrestre,1945,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05fa8107f206ba3c8ba63ac8dd53c62e,05fa8107f206ba3c8ba63ac8dd53c62e,No,NoDisponible,NoDisponible,,Si,,,,
0,Thorius maxillabrochus,194760,-97.0696,18.296,,False,2,62.44,Amphibia,Caudata,Plethodontidae,2649,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ac647a0a7eefffe320a100769d3a618,1ac647a0a7eefffe320a100769d3a618,No,NoDisponible,NoDisponible,,Si,,,,
3,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2870521b628e0243ba95b39ac2dcdf3b,2870521b628e0243ba95b39ac2dcdf3b,No,NoDisponible,NoDisponible,,Si,,,,
4,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8656bf7f9bd7b5b068629caa50e1ade6,8656bf7f9bd7b5b068629caa50e1ade6,No,NoDisponible,NoDisponible,,Si,,,,
5,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=93664ca57b18c24840ea98d663c0f677,93664ca57b18c24840ea98d663c0f677,No,NoDisponible,NoDisponible,,Si,,,,
6,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=97de233d147230a2c2f4f5034643ed19,97de233d147230a2c2f4f5034643ed19,No,NoDisponible,NoDisponible,,Si,,,,
7,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=adf099e7238f68dcd6c18a26f95883b5,adf099e7238f68dcd6c18a26f95883b5,No,NoDisponible,NoDisponible,,Si,,,,
8,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2f80ca215d5b1486ac697902f9ae2a7,c2f80ca215d5b1486ac697902f9ae2a7,No,NoDisponible,NoDisponible,,Si,,,,
9,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c3d4315df9cee24833d5dc1e8fc6f9ca,c3d4315df9cee24833d5dc1e8fc6f9ca,No,NoDisponible,NoDisponible,,Si,,,,
10,Thorius maxillabrochus,199555,-96.45,17.5666666,,False,3,87.95,Amphibia,Caudata,Plethodontidae,2414,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c5b3ba3d9d56cff0b63b13d46afefd64,c5b3ba3d9d56cff0b63b13d46afefd64,No,NoDisponible,NoDisponible,,Si,,,,
12,Thorius maxillabrochus,199594,-96.11,17.6699999,,False,0,21.69,Amphibia,Caudata,Plethodontidae,97,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e51d4c7bb830cb0453de29cdd52300dc,e51d4c7bb830cb0453de29cdd52300dc,No,NoDisponible,NoDisponible,,Si,,,,
1,Thorius maxillabrochus,194760,-97.0696,18.296,,False,2,62.44,Amphibia,Caudata,Plethodontidae,2649,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e521c24cd0c18d85256ee3bdc13573ec,e521c24cd0c18d85256ee3bdc13573ec,No,NoDisponible,NoDisponible,,Si,,,,
2,Thorius maxillabrochus,194760,-97.0696,18.296,,False,2,62.44,Amphibia,Caudata,Plethodontidae,2649,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed4eb1d1d5a88881014dbc966a9ab945,ed4eb1d1d5a88881014dbc966a9ab945,No,NoDisponible,NoDisponible,,Si,,,,
14,Thorius maxillabrochus,194663,-96.7333327,17.1666669,,False,0,17.86,Amphibia,Caudata,Plethodontidae,2000,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fae3b81f8da48b54f17792a3ba9cf63d,fae3b81f8da48b54f17792a3ba9cf63d,No,NoDisponible,NoDisponible,,Si,,,,
