,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Acanthocereus tetragonus,248315,-89.7313889,21.1027778,,False,5,12.7,Equisetopsida,Caryophyllales,Cactaceae,4,Terrestre,1916,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e4eef22272d94a7b8f36b0600b3cb8d,1e4eef22272d94a7b8f36b0600b3cb8d,No,
1,Acanthocereus tetragonus,265567,-87.72583,21.2125,,False,5,5.33,Equisetopsida,Caryophyllales,Cactaceae,24,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ca7d39d17a103222aac7233bbc9974a4,ca7d39d17a103222aac7233bbc9974a4,No,
2,Acanthocereus tetragonus,208797,-95.2388889,16.3244444,,False,5,-1.61,Equisetopsida,Caryophyllales,Cactaceae,41,Terrestre,1834,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9971675ede2d955c3213b2521e2e041,a9971675ede2d955c3213b2521e2e041,No,
3,Acanthocereus tetragonus,199738,-96.1347222,19.0375,,False,5,5.72,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d0ff18b39aaa3c3b4c0a5f7f388f8df,7d0ff18b39aaa3c3b4c0a5f7f388f8df,No,
4,Acanthocereus tetragonus,137219,-103.962544,24.548633,,True,3,-28.96,Equisetopsida,Caryophyllales,Cactaceae,1913,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f651aea7162df9035dc62c11e6d9fedb,f651aea7162df9035dc62c11e6d9fedb,Si,
5,Acanthocereus tetragonus,252563,-89.5972222,21.0911111,,False,5,10.59,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b139456179f71622520e3cf5b18c9fbb,b139456179f71622520e3cf5b18c9fbb,No,
6,Acanthocereus tetragonus,252563,-89.6083333,21.1083333,,False,5,10.59,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e3e88e6b46db31d090840f89b46796a,2e3e88e6b46db31d090840f89b46796a,No,
7,Acanthocereus tetragonus,252563,-89.5977778,21.0972222,,False,5,10.59,Equisetopsida,Caryophyllales,Cactaceae,3,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3911182b6927ed5386a0fdffdb32cc,0b3911182b6927ed5386a0fdffdb32cc,No,
8,Acanthocereus tetragonus,252563,-89.5977778,21.0972222,,False,5,10.59,Equisetopsida,Caryophyllales,Cactaceae,3,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=97488b35c1dc93403e52d80647e52d97,97488b35c1dc93403e52d80647e52d97,No,
9,Acanthocereus tetragonus,252563,-89.5961213,21.091673,,False,5,10.59,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0b66b64af7c2e4f8c0af6cdce502899,b0b66b64af7c2e4f8c0af6cdce502899,No,
10,Acanthocereus tetragonus,252563,-89.5916667,21.0916667,,False,5,10.59,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d2eeb4efe1f1aaf3b0ce62c36a61c85c,d2eeb4efe1f1aaf3b0ce62c36a61c85c,No,
11,Acanthocereus tetragonus,209080,-95.0738889,18.5847222,,False,5,1.33,Equisetopsida,Caryophyllales,Cactaceae,138,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=caf38468a3eb44486dccd397d98b881d,caf38468a3eb44486dccd397d98b881d,No,
12,Acanthocereus tetragonus,194940,-96.6583333,19.525,,False,5,3.22,Equisetopsida,Caryophyllales,Cactaceae,335,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=abca85fe1c63365cdffa2262a7914be8,abca85fe1c63365cdffa2262a7914be8,No,
13,Acanthocereus tetragonus,248240,-89.6916667,20.4916667,,False,5,9.21,Equisetopsida,Caryophyllales,Cactaceae,22,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=476a5f369c7b5f6e716cc25a9a51ff5b,476a5f369c7b5f6e716cc25a9a51ff5b,No,
14,Acanthocereus tetragonus,199751,-96.4833333,19.3269444,,False,5,-4.43,Equisetopsida,Caryophyllales,Cactaceae,86,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cec6139674e3adf0d42c0a456b6a6b0f,cec6139674e3adf0d42c0a456b6a6b0f,No,
15,Acanthocereus tetragonus,199751,-96.4833333,19.3269444,,False,5,-4.43,Equisetopsida,Caryophyllales,Cactaceae,86,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e81fd4365afd1ebaa41f208100ede915,e81fd4365afd1ebaa41f208100ede915,No,
16,Acanthocereus tetragonus,180284,-98.3522222,21.7188889,,False,5,7.18,Equisetopsida,Caryophyllales,Cactaceae,69,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a80122f4150d4ac6843fbc51a09a10f,0a80122f4150d4ac6843fbc51a09a10f,No,
17,Acanthocereus tetragonus,185224,-98.2083333,22.125,,False,5,5.92,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a28e42d39ba0827c7c5d72dceacf63d,9a28e42d39ba0827c7c5d72dceacf63d,No,
18,Acanthocereus tetragonus,256846,-88.9166667,20.4927778,,False,5,6.99,Equisetopsida,Caryophyllales,Cactaceae,33,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e850be3de30a93e68dec50e453f5c14a,e850be3de30a93e68dec50e453f5c14a,No,
19,Acanthocereus tetragonus,252573,-89.525,21.2583333,,False,5,11.94,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=703b4d1eec08e7384573978a8c2d85d9,703b4d1eec08e7384573978a8c2d85d9,No,
20,Acanthocereus tetragonus,199692,-96.3283333,18.745,,False,5,2.42,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f248ec3927a6e1d8747151836967f37,7f248ec3927a6e1d8747151836967f37,No,
21,Acanthocereus tetragonus,194932,-96.7433333,19.5383333,,True,4,-9.89,Equisetopsida,Caryophyllales,Cactaceae,503,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9e82967a0823a9988bb3b8db32619767,9e82967a0823a9988bb3b8db32619767,No,
22,Acanthocereus tetragonus,252445,-89.5416667,20.175,,False,5,9.59,Equisetopsida,Caryophyllales,Cactaceae,91,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e51231b05f93e2581d1c92c2e9816d7e,e51231b05f93e2581d1c92c2e9816d7e,No,
23,Acanthocereus tetragonus,180285,-98.4416667,21.7916667,,False,5,7.26,Equisetopsida,Caryophyllales,Cactaceae,26,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cf617a478654ce0b7cde8e794932d405,cf617a478654ce0b7cde8e794932d405,No,
24,Acanthocereus tetragonus,199811,-96.445,19.7813889,,False,5,2.97,Equisetopsida,Caryophyllales,Cactaceae,86,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c4a4afd3e391e5778a2d9b080a525513,c4a4afd3e391e5778a2d9b080a525513,No,
25,Acanthocereus tetragonus,252649,-89.215,21.3469444,,False,5,10.98,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52b379009fc74b4d4422405a85ff31ab,52b379009fc74b4d4422405a85ff31ab,No,
26,Acanthocereus tetragonus,252649,-89.2416667,21.3416667,,False,5,10.98,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d0c8f6686fdacc862a3d9cd40be7a895,d0c8f6686fdacc862a3d9cd40be7a895,No,
27,Acanthocereus tetragonus,252649,-89.2305556,21.3416667,,False,5,10.98,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e94194b403e842d8fa105283f763a0ab,e94194b403e842d8fa105283f763a0ab,No,
28,Acanthocereus tetragonus,252491,-89.4083333,20.3083333,,False,5,8.92,Equisetopsida,Caryophyllales,Cactaceae,36,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cd525b3ccfa33f7ba42e81e43a2e117,0cd525b3ccfa33f7ba42e81e43a2e117,No,
29,Acanthocereus tetragonus,252491,-89.4333333,20.275,,False,5,8.92,Equisetopsida,Caryophyllales,Cactaceae,71,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a0bb0b4ceae920088b07241ef900245,2a0bb0b4ceae920088b07241ef900245,No,
30,Acanthocereus tetragonus,194921,-96.6838889,19.2275,,False,5,5.39,Equisetopsida,Caryophyllales,Cactaceae,483,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c152fa46896f27610f4a4cb6b1271ba,4c152fa46896f27610f4a4cb6b1271ba,No,
31,Acanthocereus tetragonus,194921,-96.6651444,19.2018324,,False,5,5.39,Equisetopsida,Caryophyllales,Cactaceae,404,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9847e54ebfed651cd6c0091c200f4549,9847e54ebfed651cd6c0091c200f4549,No,
32,Acanthocereus tetragonus,248272,-90.0083333,21.0416667,,False,5,13.27,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6933816fe2756296546e508b9950910d,6933816fe2756296546e508b9950910d,No,
33,Acanthocereus tetragonus,155460,-101.6583333,17.6758333,,False,5,-0.61,Equisetopsida,Caryophyllales,Cactaceae,46,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e30932854ade5b7fee335de515137b8d,e30932854ade5b7fee335de515137b8d,No,
34,Acanthocereus tetragonus,261352,-88.175,21.5916667,,False,5,13.03,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b5fffb991ba991271bd45d5216a549b,1b5fffb991ba991271bd45d5216a549b,No,
35,Acanthocereus tetragonus,261352,-88.1597222,21.5694444,,False,5,13.03,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c94a01c8f343e61821368aa40153e68c,c94a01c8f343e61821368aa40153e68c,No,
36,Acanthocereus tetragonus,261352,-88.1694444,21.5694444,,False,5,13.03,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=945027bab0b9e15cc716cbfb1d1c3ba9,945027bab0b9e15cc716cbfb1d1c3ba9,No,
37,Acanthocereus tetragonus,208830,-94.9778944,16.4412667,,False,5,1.96,Equisetopsida,Caryophyllales,Cactaceae,18,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06d5bf597b29ce0a827baa8c3be481e1,06d5bf597b29ce0a827baa8c3be481e1,No,
38,Acanthocereus tetragonus,208800,-95.1538361,16.3754083,,False,5,0.66,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=88289550ddd41e563dd3b6f0ffb072b1,88289550ddd41e563dd3b6f0ffb072b1,No,
39,Acanthocereus tetragonus,208876,-94.8669028,16.5733306,,False,5,1.72,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ca9ad225168adae48443a56802ec1837,ca9ad225168adae48443a56802ec1837,No,
40,Acanthocereus tetragonus,199753,-96.4288083,19.1991694,,False,5,2.44,Equisetopsida,Caryophyllales,Cactaceae,104,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8e7d32152afc3ded34c7c2e5017893bc,8e7d32152afc3ded34c7c2e5017893bc,No,
41,Acanthocereus tetragonus,199753,-96.3929813,19.1961899,,False,5,2.44,Equisetopsida,Caryophyllales,Cactaceae,69,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce5fd6553aa147f393cc6f471b7c3702,ce5fd6553aa147f393cc6f471b7c3702,No,
42,Acanthocereus tetragonus,222477,-93.5605555,16.6052777,,True,4,-12,Equisetopsida,Caryophyllales,Cactaceae,545,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d3b198854f5e9666779e9d7ef7220441,d3b198854f5e9666779e9d7ef7220441,No,
43,Acanthocereus tetragonus,222477,-93.55,16.6,,True,4,-12,Equisetopsida,Caryophyllales,Cactaceae,552,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9ddbd4cf21b6623785237206a826a96b,9ddbd4cf21b6623785237206a826a96b,No,
