,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
23,Aporocactus flagelliformis,180145,-98.5830002,20.5830002,,False,2,43.86,Equisetopsida,Caryophyllales,Cactaceae,1956,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c15d7343af003efd615425c491b048,01c15d7343af003efd615425c491b048,,,No Disponible,,,,,,
15,Aporocactus flagelliformis,194925,-96.6667,19.3333,,False,1,19.62,Equisetopsida,Caryophyllales,Cactaceae,463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fabf9039782abcab082148a4656449c,0fabf9039782abcab082148a4656449c,,,No Disponible,,,,,,
26,Aporocactus flagelliformis,180120,-98.7727778,20.7536111,,False,2,49.97,Equisetopsida,Caryophyllales,Cactaceae,1993,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20eb23967c0908f55bb8cbe2bdad56b3,20eb23967c0908f55bb8cbe2bdad56b3,Si,No,No Disponible,,Si,,,,
0,Aporocactus flagelliformis,170212,-99.6538889,19.2922222,,False,1,22.71,Equisetopsida,Caryophyllales,Cactaceae,2658,Terrestre,1824,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=212a610f797ae042d49fc146d8fcd8cb,212a610f797ae042d49fc146d8fcd8cb,Si,No,No Disponible,,No,,,No,
22,Aporocactus flagelliformis,194902,-97.1416667,19.7083333,,False,2,63.74,Equisetopsida,Caryophyllales,Cactaceae,1629,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ea17a29e72540661c762daa1c86f864,2ea17a29e72540661c762daa1c86f864,,,No Disponible,,,,,,
9,Aporocactus flagelliformis,189888,-97.1980556,19.1491667,,False,2,51.72,Equisetopsida,Caryophyllales,Cactaceae,2205,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=405cc58f61d2283b46460213e6df813c,405cc58f61d2283b46460213e6df813c,,,No Disponible,,,,,,
24,Aporocactus flagelliformis,180146,-98.5919444,20.6477778,,False,2,53.62,Equisetopsida,Caryophyllales,Cactaceae,1700,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=438b7b527a280b438adbdfe581886858,438b7b527a280b438adbdfe581886858,,,No Disponible,,,,,,
20,Aporocactus flagelliformis,194902,-97.1169968,19.6830006,,False,2,63.74,Equisetopsida,Caryophyllales,Cactaceae,2094,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=446bc3888abb28b5c62e6243d0e5c470,446bc3888abb28b5c62e6243d0e5c470,,,No Disponible,,,,,,
31,Aporocactus flagelliformis,194762,-96.99833,18.16556,,False,2,66.81,Equisetopsida,Caryophyllales,Cactaceae,2341,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44a30e1acc4e8d562469ca07e73f62fa,44a30e1acc4e8d562469ca07e73f62fa,Si,No,No Disponible,,Si,,,,
16,Aporocactus flagelliformis,194925,-96.6667,19.3333,,False,1,19.62,Equisetopsida,Caryophyllales,Cactaceae,463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=497f943b07621ba87e8fcc78f390d0b9,497f943b07621ba87e8fcc78f390d0b9,,,No Disponible,,,,,,
