,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Ariocarpus kotschoubeyanus,170658,-99.7155556,23.0180556,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1196,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a4eeca732c73b8ace0f2c4da36399ec5,a4eeca732c73b8ace0f2c4da36399ec5,No,
1,Ariocarpus kotschoubeyanus,170658,-99.7,23,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1199,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fd791ddbb455a492e772b3a55d44a431,fd791ddbb455a492e772b3a55d44a431,No,
2,Ariocarpus kotschoubeyanus,170658,-99.72,23.02,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1195,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fbbe0844962aa59b1cbe03e64edb13db,fbbe0844962aa59b1cbe03e64edb13db,No,
3,Ariocarpus kotschoubeyanus,170658,-99.70833,23.00278,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1174,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82f3ed749eca41dc996be8629896d201,82f3ed749eca41dc996be8629896d201,No,
4,Ariocarpus kotschoubeyanus,170658,-99.7083,23.0028,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1174,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=938c64640ab6f3ee0a7d322b079b251c,938c64640ab6f3ee0a7d322b079b251c,No,
5,Ariocarpus kotschoubeyanus,170658,-99.725,23.025,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1211,Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e31800a52e150ca1e9446de51f88eaaa,e31800a52e150ca1e9446de51f88eaaa,No,
6,Ariocarpus kotschoubeyanus,170658,-99.725,23.025,,False,3,19.24,Equisetopsida,Caryophyllales,Cactaceae,1211,Terrestre,1993,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b67c64a370e5146816f98fe148663ee,3b67c64a370e5146816f98fe148663ee,No,
7,Ariocarpus kotschoubeyanus,161274,-100.7136111,25.915,,False,3,13.24,Equisetopsida,Caryophyllales,Cactaceae,668,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=233d044e7d9b96856fd5bd4a042156ea,233d044e7d9b96856fd5bd4a042156ea,No,
8,Ariocarpus kotschoubeyanus,165728,-100.3358333,22.9027778,,False,4,31.14,Equisetopsida,Caryophyllales,Cactaceae,1348,Terrestre,1958,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a90e3aabf734750073e66cde1f5dcc7,5a90e3aabf734750073e66cde1f5dcc7,No,
9,Ariocarpus kotschoubeyanus,165728,-100.3333,22.90185,,False,4,31.14,Equisetopsida,Caryophyllales,Cactaceae,1325,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ad0f66de16f0f6050ab7a8ddb394ed3,5ad0f66de16f0f6050ab7a8ddb394ed3,No,
10,Ariocarpus kotschoubeyanus,170682,-99.5563889,23.3030556,,False,4,24.41,Equisetopsida,Caryophyllales,Cactaceae,1297,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b22a3dac2469f9004ff5eaf4ae499293,b22a3dac2469f9004ff5eaf4ae499293,No,
11,Ariocarpus kotschoubeyanus,170365,-99.5625,20.6825,,False,4,21.7,Equisetopsida,Caryophyllales,Cactaceae,1906,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9fd760a50a9935b331f856589e17390,b9fd760a50a9935b331f856589e17390,No,
12,Ariocarpus kotschoubeyanus,165726,-100.4499969,22.9169998,,False,4,32.45,Equisetopsida,Caryophyllales,Cactaceae,1444,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d512712e7be39bfda962c3948bb47aa,2d512712e7be39bfda962c3948bb47aa,No,
13,Ariocarpus kotschoubeyanus,170372,-99.9169998,20.9169998,,False,3,18.25,Equisetopsida,Caryophyllales,Cactaceae,1565,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3659791062b087ab8e93e69e734afe9e,3659791062b087ab8e93e69e734afe9e,No,
14,Ariocarpus kotschoubeyanus,170372,-99.9503702,20.9246699,,False,3,18.25,Equisetopsida,Caryophyllales,Cactaceae,1663,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=123e0b2d2b03874ec50e4753b948dc7e,123e0b2d2b03874ec50e4753b948dc7e,No,
15,Ariocarpus kotschoubeyanus,146731,-102.3550034,24.5319996,,False,3,11.43,Equisetopsida,Caryophyllales,Cactaceae,1591,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7fc05a30a5a029bd81a520c0f995bd3c,7fc05a30a5a029bd81a520c0f995bd3c,No,
16,Ariocarpus kotschoubeyanus,170359,-99.6330032,20.7169991,,False,4,27.25,Equisetopsida,Caryophyllales,Cactaceae,2022,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d0b912bc18f835c24533be6d3a70f5fd,d0b912bc18f835c24533be6d3a70f5fd,No,
17,Ariocarpus kotschoubeyanus,151663,-101.76667,25.69306,,False,2,5.54,Equisetopsida,Caryophyllales,Cactaceae,1187,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61333a450797ab2383d49126915239ed,61333a450797ab2383d49126915239ed,No,
18,Ariocarpus kotschoubeyanus,156298,-101.55528,24.63833,,False,3,18.22,Equisetopsida,Caryophyllales,Cactaceae,2285,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2cf7030be7d15200a23e864368b4d45,c2cf7030be7d15200a23e864368b4d45,No,
19,Ariocarpus kotschoubeyanus,146704,-102.6730555,24.7308333,,False,3,15.72,Equisetopsida,Caryophyllales,Cactaceae,1572,Terrestre,2014,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d3cbdeedad09e944a1c9f71b5712bd9,3d3cbdeedad09e944a1c9f71b5712bd9,No,
20,Ariocarpus kotschoubeyanus,170358,-99.7083333,20.7416666,,False,3,18.42,Equisetopsida,Caryophyllales,Cactaceae,2281,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e183927eff5c78921a355818de107230,e183927eff5c78921a355818de107230,No,
21,Ariocarpus kotschoubeyanus,170358,-99.7035361,20.7898988,,False,3,18.42,Equisetopsida,Caryophyllales,Cactaceae,2130,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=349c58fb0f5a885273d4838439950b51,349c58fb0f5a885273d4838439950b51,No,
22,Ariocarpus kotschoubeyanus,170358,-99.7183333,20.7433333,,False,3,18.42,Equisetopsida,Caryophyllales,Cactaceae,2219,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=abb29e5770ec33581274661d34aefb24,abb29e5770ec33581274661d34aefb24,No,
23,Ariocarpus kotschoubeyanus,160822,-100.8653894,22.3600119,,False,3,15.8,Equisetopsida,Caryophyllales,Cactaceae,1830,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=939906675c889667d89d9a0c8e298254,939906675c889667d89d9a0c8e298254,No,
24,Ariocarpus kotschoubeyanus,160822,-100.8528049,22.3687199,,False,3,15.8,Equisetopsida,Caryophyllales,Cactaceae,1825,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d35e4f8084f38e5a037e92c4174b0c,03d35e4f8084f38e5a037e92c4174b0c,No,
