,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Carnegiea gigantea,73894,-111.8111111,28.8225,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3062d70a792ab2715cb3508c2994b840,3062d70a792ab2715cb3508c2994b840,No,
1,Carnegiea gigantea,73894,-111.8111111,28.8225,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6229453386e69c10337d1d1a1ae6de0f,6229453386e69c10337d1d1a1ae6de0f,No,
2,Carnegiea gigantea,73894,-111.8111111,28.8225,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eca23041f57ab3c11c2fdbb7687a8cd4,eca23041f57ab3c11c2fdbb7687a8cd4,No,
3,Carnegiea gigantea,73894,-111.799052,28.830514,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=852ebe47d9a1d9a7f351144e2cfcf041,852ebe47d9a1d9a7f351144e2cfcf041,No,
4,Carnegiea gigantea,73894,-111.7732347,28.8288015,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4cc9b3cd7461f16d15f61b6c5195ba30,4cc9b3cd7461f16d15f61b6c5195ba30,No,
5,Carnegiea gigantea,73894,-111.7733147,28.8285303,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c7c4fb27d9739f329284c991eb918c74,c7c4fb27d9739f329284c991eb918c74,No,
6,Carnegiea gigantea,73894,-111.7735717,28.8286462,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01affb80c86556c697e886a86056d4fb,01affb80c86556c697e886a86056d4fb,No,
7,Carnegiea gigantea,73894,-111.7732958,28.828747,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f20bd92833181e2654162a024265f37,8f20bd92833181e2654162a024265f37,No,
8,Carnegiea gigantea,73894,-111.7732639,28.8286028,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9168e633a97d9dae8c6c372542f5ce6,a9168e633a97d9dae8c6c372542f5ce6,No,
9,Carnegiea gigantea,73894,-111.7735178,28.8282855,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e17bc33962192a591ac79a61df67771b,e17bc33962192a591ac79a61df67771b,No,
10,Carnegiea gigantea,73894,-111.7733292,28.8291169,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d3b099c548fbc95b839e2b0b1b1abb4f,d3b099c548fbc95b839e2b0b1b1abb4f,No,
11,Carnegiea gigantea,73894,-111.7739125,28.8289872,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e7f24a6dd86804f5f6cf779c3eb7b3c,0e7f24a6dd86804f5f6cf779c3eb7b3c,No,
12,Carnegiea gigantea,73894,-111.7738367,28.8284371,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6816aa3837c49d72a3be183ab76c9c1a,6816aa3837c49d72a3be183ab76c9c1a,No,
13,Carnegiea gigantea,73894,-111.7733659,28.82853,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0939dadb55a51a4070dfc1ae49537c72,0939dadb55a51a4070dfc1ae49537c72,No,
14,Carnegiea gigantea,73894,-111.7737041,28.8285191,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f2aa800fd2ffaa759df2647a452a8e87,f2aa800fd2ffaa759df2647a452a8e87,No,
15,Carnegiea gigantea,73894,-111.7731,28.8286038,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=659168a10ba5cc6e9ba25bb9603064bb,659168a10ba5cc6e9ba25bb9603064bb,No,
16,Carnegiea gigantea,73894,-111.7731314,28.8287029,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=162ecbaf2505643c0ef295315bb9a9a5,162ecbaf2505643c0ef295315bb9a9a5,No,
17,Carnegiea gigantea,73894,-111.7735894,28.828267,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aa2ea04cdbabe1af695817f97790b9bf,aa2ea04cdbabe1af695817f97790b9bf,No,
18,Carnegiea gigantea,73894,-111.7729971,28.8285502,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c2908609fec90a8484075605fc04d4f,8c2908609fec90a8484075605fc04d4f,No,
19,Carnegiea gigantea,73894,-111.7729971,28.8285502,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cefea4c5860640725d53ff5b2bbec956,cefea4c5860640725d53ff5b2bbec956,No,
20,Carnegiea gigantea,73894,-111.7729971,28.8285502,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dbff0654ae0265f490ee4750879be21b,dbff0654ae0265f490ee4750879be21b,No,
21,Carnegiea gigantea,73894,-111.773268,28.8291534,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=92379465a9eb9e975a00dbe6b481264c,92379465a9eb9e975a00dbe6b481264c,No,
22,Carnegiea gigantea,73894,-111.7738241,28.8281212,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98b050dea88ba0e38ea046af56128578,98b050dea88ba0e38ea046af56128578,No,
23,Carnegiea gigantea,73894,-111.774036,28.8290497,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cb6ce1ce7608d2f79087c90e7fb5fa1,2cb6ce1ce7608d2f79087c90e7fb5fa1,No,
24,Carnegiea gigantea,73894,-111.7729867,28.8285322,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ae1d560369f525c0cb2182e0fe954317,ae1d560369f525c0cb2182e0fe954317,No,
25,Carnegiea gigantea,73894,-111.7737061,28.8287988,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=accb0f1505c6401a34de5b31659c2118,accb0f1505c6401a34de5b31659c2118,No,
26,Carnegiea gigantea,73894,-111.7737051,28.8286635,,False,6,10.81,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d2d7bee1e11586b902e5c8d0f9de3d60,d2d7bee1e11586b902e5c8d0f9de3d60,No,
