,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
2,Cephalocereus apicicephalium,208789,-95.3783333,16.36,,False,3,30.63,Equisetopsida,Caryophyllales,Cactaceae,168,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1399964745bd9fc860a57abc76bfc5cd,1399964745bd9fc860a57abc76bfc5cd,No,
23,Cephalocereus apicicephalium,204159,-95.4583333,16.325,,False,2,24.06,Equisetopsida,Caryophyllales,Cactaceae,510,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16feb0ad93a87ecbf4584b8d25c5f14c,16feb0ad93a87ecbf4584b8d25c5f14c,No,
26,Cephalocereus apicicephalium,208791,-95.325,16.3583333,,False,3,35.48,Equisetopsida,Caryophyllales,Cactaceae,110,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=193c6fd11b173e7f91c7f35bdfe476b6,193c6fd11b173e7f91c7f35bdfe476b6,No,
15,Cephalocereus apicicephalium,199440,-96.3083333,16.675,,False,1,12.72,Equisetopsida,Caryophyllales,Cactaceae,973,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f1b7a0e6fc6256949021e954acddb2d,1f1b7a0e6fc6256949021e954acddb2d,No,
21,Cephalocereus apicicephalium,204165,-95.9833333,16.6333333,,True,0,-20.81,Equisetopsida,Caryophyllales,Cactaceae,651,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26391e17a6069bdd5e6b0426aad99758,26391e17a6069bdd5e6b0426aad99758,No,
8,Cephalocereus apicicephalium,208792,-95.3416667,16.3916667,,False,3,34.52,Equisetopsida,Caryophyllales,Cactaceae,950,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ae8fe3ff1782418d4547779c02865b9,3ae8fe3ff1782418d4547779c02865b9,No,
7,Cephalocereus apicicephalium,208875,-94.8866667,16.4583333,,False,2,20.7,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44d63d239966c266d3a5f8f544df0465,44d63d239966c266d3a5f8f544df0465,Si,aunque fuera del polígono dentro del Estado citado en Literatura
4,Cephalocereus apicicephalium,208824,-95.025,16.4416667,,False,2,20.7,Equisetopsida,Caryophyllales,Cactaceae,25,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=511c8b834417bee44f11d840bd2d602e,511c8b834417bee44f11d840bd2d602e,Si,aunque fuera del polígono dentro del Estado citado en Literatura
18,Cephalocereus apicicephalium,194566,-97.0916667,16.675,,False,1,5.35,Equisetopsida,Caryophyllales,Cactaceae,2047,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ff256ec8e6d71a6e89206f78bb7df33,5ff256ec8e6d71a6e89206f78bb7df33,No,
3,Cephalocereus apicicephalium,208789,-95.36845,16.3691,,False,3,30.63,Equisetopsida,Caryophyllales,Cactaceae,623,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=746d73e14dd49ce934447d8e4f8143e1,746d73e14dd49ce934447d8e4f8143e1,No,
16,Cephalocereus apicicephalium,199440,-96.3083333,16.675,,False,1,12.72,Equisetopsida,Caryophyllales,Cactaceae,973,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79a6bbb2ff32c4fbd68666cc26d06816,79a6bbb2ff32c4fbd68666cc26d06816,No,
19,Cephalocereus apicicephalium,213505,-94.83,16.4733333,,False,2,20.7,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7df92f250e10dc58d92b3f3fb989b5cd,7df92f250e10dc58d92b3f3fb989b5cd,Si,aunque fuera del polígono dentro del Estado citado en Literatura
17,Cephalocereus apicicephalium,199440,-96.3083333,16.675,,False,1,12.72,Equisetopsida,Caryophyllales,Cactaceae,973,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8eb4cd11d696e76df291bf7610cb1083,8eb4cd11d696e76df291bf7610cb1083,No,
14,Cephalocereus apicicephalium,199440,-96.33,16.6983333,,False,1,12.72,Equisetopsida,Caryophyllales,Cactaceae,1174,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ef2cc4f2d0e5719c2e8fdda71c53993,8ef2cc4f2d0e5719c2e8fdda71c53993,No,
12,Cephalocereus apicicephalium,230686,-92.375,15.2916667,,False,1,4.23,Equisetopsida,Caryophyllales,Cactaceae,932,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b83bc67693169683e291642a385eee1,9b83bc67693169683e291642a385eee1,Si,aunque fuera del polígono dentro del Estado citado en Literatura
29,Cephalocereus apicicephalium,213506,-94.7916667,16.5583333,,False,2,21.01,Equisetopsida,Caryophyllales,Cactaceae,27,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a29dfa37ba76adfeec72af2c30bf9265,a29dfa37ba76adfeec72af2c30bf9265,Si,aunque fuera del polígono dentro del Estado citado en Literatura
1,Cephalocereus apicicephalium,208789,-95.375,16.3583333,,False,3,30.63,Equisetopsida,Caryophyllales,Cactaceae,131,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a32464bd5a8e2d06c403ee7210e6715d,a32464bd5a8e2d06c403ee7210e6715d,No,
9,Cephalocereus apicicephalium,208792,-95.3416667,16.3916667,,False,3,34.52,Equisetopsida,Caryophyllales,Cactaceae,950,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ac4178c45ed77ed975dcdf59c27e40b5,ac4178c45ed77ed975dcdf59c27e40b5,No,
10,Cephalocereus apicicephalium,208792,-95.3416667,16.3916667,,False,3,34.52,Equisetopsida,Caryophyllales,Cactaceae,950,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9efae91090ea9975a544833da4f8a0f,b9efae91090ea9975a544833da4f8a0f,No,
13,Cephalocereus apicicephalium,208874,-94.9416667,16.5583333,,False,2,19.06,Equisetopsida,Caryophyllales,Cactaceae,51,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb4381b807033068fb47dcfa5138248a,bb4381b807033068fb47dcfa5138248a,Si,aunque fuera del polígono dentro del Estado citado en Literatura
25,Cephalocereus apicicephalium,208790,-95.375,16.375,,False,3,34.73,Equisetopsida,Caryophyllales,Cactaceae,271,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1e82efc9be8b7b6323660f18c6c01de,c1e82efc9be8b7b6323660f18c6c01de,No,
