,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Coryphantha compacta,123275,-105.5416667,25.0916667,,False,2,32.76,Equisetopsida,Caryophyllales,Cactaceae,2073,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=80727c7dc8ccc9d0ee2e13e3a2186dd8,80727c7dc8ccc9d0ee2e13e3a2186dd8,No,
1,Coryphantha compacta,119063,-106.2666703,28.5223656,,False,2,23.66,Equisetopsida,Caryophyllales,Cactaceae,1826,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=df9b223fd1aa43f678a93980c5a91ae3,df9b223fd1aa43f678a93980c5a91ae3,No,
2,Coryphantha compacta,132459,-104.1166667,23.5,,False,2,24.23,Equisetopsida,Caryophyllales,Cactaceae,2167,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e25be7c2bc3a3c7edd9c95a20a5bde0,0e25be7c2bc3a3c7edd9c95a20a5bde0,No,
3,Coryphantha compacta,114500,-106.83667,28.24111,,False,2,19.81,Equisetopsida,Caryophyllales,Cactaceae,2001,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a1e9c2e41bd5616369e613d0b3a7dab,5a1e9c2e41bd5616369e613d0b3a7dab,No,
4,Coryphantha compacta,114500,-106.83667,28.24111,,False,2,19.81,Equisetopsida,Caryophyllales,Cactaceae,2001,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=605f6e90cdacf873497b86cae4fa7429,605f6e90cdacf873497b86cae4fa7429,No,
5,Coryphantha compacta,114500,-106.83667,28.24111,,False,2,19.81,Equisetopsida,Caryophyllales,Cactaceae,2001,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=905d10f88beceb5dda67099f3316b6a6,905d10f88beceb5dda67099f3316b6a6,No,
6,Coryphantha compacta,114500,-106.83667,28.24111,,False,2,19.81,Equisetopsida,Caryophyllales,Cactaceae,2001,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ec186e69c7f1e780a6d03558d9928cb2,ec186e69c7f1e780a6d03558d9928cb2,No,
7,Coryphantha compacta,132378,-104.4916666,23.325,,False,2,25.8,Equisetopsida,Caryophyllales,Cactaceae,1735,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f5bd02281213b82e5bdda3d2ea54833,1f5bd02281213b82e5bdda3d2ea54833,No,
8,Coryphantha compacta,132378,-104.4916667,23.3083333,,False,2,25.8,Equisetopsida,Caryophyllales,Cactaceae,1579,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b666ee19832bb48df52de733a429574a,b666ee19832bb48df52de733a429574a,No,
9,Coryphantha compacta,132596,-104.2661111,24.8988888,,False,1,10.57,Equisetopsida,Caryophyllales,Cactaceae,1768,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=108a371d321a24d1621661823cc747ba,108a371d321a24d1621661823cc747ba,Si,"no debe marcarse, aunque fuera del polígono dentro del tipo de vegetación"
10,Coryphantha compacta,137093,-103.9916666,23.6083333,,False,2,23.48,Equisetopsida,Caryophyllales,Cactaceae,2083,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7eb1b5c0f5be86b2f9cd20076872d6de,7eb1b5c0f5be86b2f9cd20076872d6de,No,
11,Coryphantha compacta,132432,-104.3952777,23.6875,,False,2,21.23,Equisetopsida,Caryophyllales,Cactaceae,1838,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042739fc987e87d2b047de146f6e5c44,042739fc987e87d2b047de146f6e5c44,No,
12,Coryphantha compacta,127849,-104.7494444,24.0194444,,False,2,24.83,Equisetopsida,Caryophyllales,Cactaceae,1959,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fbbe88ebd6f2ac18d7ea6a3526c55ae,2fbbe88ebd6f2ac18d7ea6a3526c55ae,No,
13,Coryphantha compacta,132437,-104.6297222,23.9180555,,False,2,26.3,Equisetopsida,Caryophyllales,Cactaceae,1962,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ca5d168d033dcbda291ce7accdfdd01a,ca5d168d033dcbda291ce7accdfdd01a,No,
14,Coryphantha compacta,132427,-104.3922222,23.5102777,,False,2,22.05,Equisetopsida,Caryophyllales,Cactaceae,1424,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9898b1c34fd6f5f505785a104722688e,9898b1c34fd6f5f505785a104722688e,No,
15,Coryphantha compacta,114334,-106.76003,27.0600427,,False,2,18.25,Equisetopsida,Caryophyllales,Cactaceae,2014,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aa659425de745713d0e986930b9df3b3,aa659425de745713d0e986930b9df3b3,No,
16,Coryphantha compacta,146765,-102.7300638,25.211775,,False,1,0.33,Equisetopsida,Caryophyllales,Cactaceae,1393,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f28f23ca502c6356c7b23a446dd55277,f28f23ca502c6356c7b23a446dd55277,Si,completamente fuera del polígono
17,Coryphantha compacta,123299,-105.413775,25.0482027,,False,2,28.14,Equisetopsida,Caryophyllales,Cactaceae,1715,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=983ccf5df1e7b8726503d15627d73d22,983ccf5df1e7b8726503d15627d73d22,No,
18,Coryphantha compacta,175331,-99.0416667,21.3416667,,False,1,6.18,Equisetopsida,Caryophyllales,Cactaceae,828,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cc05c65b055566909bca15c1e5ac68ff,cc05c65b055566909bca15c1e5ac68ff,Si,completamente fuera del polígono
19,Coryphantha compacta,109926,-107.1727778,27.3188889,,False,2,17.49,Equisetopsida,Caryophyllales,Cactaceae,2231,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=86af086f7861718ae59a60cbd5cfc552,86af086f7861718ae59a60cbd5cfc552,No,
20,Coryphantha compacta,109906,-107.47778,27.42278,,False,2,24.06,Equisetopsida,Caryophyllales,Cactaceae,1901,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=179bcb284c81312dbd1b8c59aea8df1d,179bcb284c81312dbd1b8c59aea8df1d,No,
21,Coryphantha compacta,109906,-107.495,27.425,,False,2,24.06,Equisetopsida,Caryophyllales,Cactaceae,1887,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=343b84405a6c12da5442a1187e84a9b7,343b84405a6c12da5442a1187e84a9b7,No,
