,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
6,Coryphantha delaetiana,132617,-104.4916667,25.0416667,,False,3,23.11,Equisetopsida,Caryophyllales,Cactaceae,1487,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032bf07d1d1a791cadd48f6cc1007091,032bf07d1d1a791cadd48f6cc1007091,No,,NoDisponible,,,,,,
20,Coryphantha delaetiana,132614,-104.59,25.2819444,,False,2,14.18,Equisetopsida,Caryophyllales,Cactaceae,1364,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c93968ef8b7a80cce693d856d4f5224,0c93968ef8b7a80cce693d856d4f5224,No,,NoDisponible,,,,,,
13,Coryphantha delaetiana,123328,-105.2736111,25.5172222,,False,3,23.81,Equisetopsida,Caryophyllales,Cactaceae,1829,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=153538ea4aecd26f293fa21d71f20c83,153538ea4aecd26f293fa21d71f20c83,Si,Si,NoDisponible,Si,Si,,Si,Si,
8,Coryphantha delaetiana,128234,-104.7166667,27.2,,False,3,26.5,Equisetopsida,Caryophyllales,Cactaceae,1783,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1dbf7f6a84f3b153514185d75818093e,1dbf7f6a84f3b153514185d75818093e,No,,NoDisponible,,,,,,
3,Coryphantha delaetiana,119102,-105.88778,28.59389,,False,3,19.44,Equisetopsida,Caryophyllales,Cactaceae,1689,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e756ee3c27f502950618a80939f69ad,1e756ee3c27f502950618a80939f69ad,Si,Si,NoDisponible,Si,Si,,Si,Si,
7,Coryphantha delaetiana,137400,-103.7,26.0666667,,False,2,12.21,Equisetopsida,Caryophyllales,Cactaceae,1101,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c19765435191fd357462be1f7dd7e43,2c19765435191fd357462be1f7dd7e43,No,,NoDisponible,,,,,,
24,Coryphantha delaetiana,156374,-101.7382908,25.5419769,,False,2,10.35,Equisetopsida,Caryophyllales,Cactaceae,1305,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4bd20713eaf78b1230f215fd6d3aafba,4bd20713eaf78b1230f215fd6d3aafba,No,,NoDisponible,,,,,,
12,Coryphantha delaetiana,123328,-105.27,25.5097222,,False,3,23.81,Equisetopsida,Caryophyllales,Cactaceae,1875,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52f963d0bc352ed3cbfd228bbc468189,52f963d0bc352ed3cbfd228bbc468189,Si,Si,NoDisponible,Si,Si,,Si,Si,
19,Coryphantha delaetiana,128037,-104.8844444,25.7427777,,False,3,17.93,Equisetopsida,Caryophyllales,Cactaceae,2098,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57e0a63256a5596b50e919c5465decb9,57e0a63256a5596b50e919c5465decb9,No,,NoDisponible,,,,,,
15,Coryphantha delaetiana,137423,-103.8436111,26.2405555,,False,3,17.44,Equisetopsida,Caryophyllales,Cactaceae,1166,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60368ed783ae65c4512ea9eea64fb8a6,60368ed783ae65c4512ea9eea64fb8a6,No,,NoDisponible,,,,,,
23,Coryphantha delaetiana,161287,-101.1117549,26.2584869,,False,1,7.07,Equisetopsida,Caryophyllales,Cactaceae,824,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=769cd0c9e306c2e0e5d5b8107c517c51,769cd0c9e306c2e0e5d5b8107c517c51,Si,Si,NoDisponible,Si,Si,,Si,Si,
0,Coryphantha delaetiana,119102,-105.8877778,28.5938889,,False,3,19.44,Equisetopsida,Caryophyllales,Cactaceae,1689,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7dcf450007cfd66dd4a0d2576f989ec2,7dcf450007cfd66dd4a0d2576f989ec2,Si,Si,NoDisponible,Si,Si,,Si,Si,
16,Coryphantha delaetiana,128013,-105.0288888,25.71,,False,3,23.42,Equisetopsida,Caryophyllales,Cactaceae,1576,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f220d8ed822787ac1dcdbb5014f3f60,7f220d8ed822787ac1dcdbb5014f3f60,No,,NoDisponible,,,,,,
17,Coryphantha delaetiana,132627,-104.5133333,25.2972222,,False,3,29.74,Equisetopsida,Caryophyllales,Cactaceae,1657,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=88b7e8c71b71404d334fb82e5a8987e3,88b7e8c71b71404d334fb82e5a8987e3,No,,NoDisponible,,,,,,
9,Coryphantha delaetiana,137168,-103.8,24.2166667,,False,1,5.46,Equisetopsida,Caryophyllales,Cactaceae,2244,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=94c58d2564f387386fc997b14a52ed5b,94c58d2564f387386fc997b14a52ed5b,No,,NoDisponible,,,,,,
