,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Coryphantha elephantidens,174970,-98.9727778,18.4419444,,False,3,17.53,Equisetopsida,Caryophyllales,Cactaceae,1084,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=440156367c5085295b9e61244a8d12e6,440156367c5085295b9e61244a8d12e6,No,
1,Coryphantha elephantidens,174970,-99.0277778,18.4802778,,False,3,17.53,Equisetopsida,Caryophyllales,Cactaceae,1332,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9717727f4bb8bff7e5ce37444257edb9,9717727f4bb8bff7e5ce37444257edb9,No,
2,Coryphantha elephantidens,174963,-99.0433333,18.3672222,,False,3,16.12,Equisetopsida,Caryophyllales,Cactaceae,1023,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c23af766ff07362afe3b79e360701f67,c23af766ff07362afe3b79e360701f67,No,
3,Coryphantha elephantidens,137198,-103.6044444,24.2094444,,False,0,2.14,Equisetopsida,Caryophyllales,Cactaceae,2128,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8a8c8d2063b0f7b31275d1ad8157aaeb,8a8c8d2063b0f7b31275d1ad8157aaeb,Si,"completamente fuera del polígono, de la vegetación y del Estado referido todo en Literatura"
4,Coryphantha elephantidens,174988,-99.2099361,18.708975,,False,3,16.28,Equisetopsida,Caryophyllales,Cactaceae,1067,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=acab923c58e727e47ceaed97c5de7940,acab923c58e727e47ceaed97c5de7940,No,
5,Coryphantha elephantidens,174975,-98.9335361,18.5184305,,False,3,19.56,Equisetopsida,Caryophyllales,Cactaceae,1404,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=976a6c76cc569fb03e0a49b46e46202f,976a6c76cc569fb03e0a49b46e46202f,No,
6,Coryphantha elephantidens,174975,-98.9355649,18.5446488,,False,3,19.56,Equisetopsida,Caryophyllales,Cactaceae,1307,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=205290acafe8f96ba9330f1265e700ce,205290acafe8f96ba9330f1265e700ce,No,
7,Coryphantha elephantidens,160691,-100.8027769,21.0716658,,False,1,7.6,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fb26dd363e947413824e4671148a8c77,fb26dd363e947413824e4671148a8c77,No,
8,Coryphantha elephantidens,179860,-98.7886108,18.4561108,,False,2,13.57,Equisetopsida,Caryophyllales,Cactaceae,1093,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5904835554e6fb68147b3a1c4936b1ef,5904835554e6fb68147b3a1c4936b1ef,No,
9,Coryphantha elephantidens,160682,-100.7333327,20.9148327,,False,1,10.58,Equisetopsida,Caryophyllales,Cactaceae,2022,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c7f7c3fadf3c53f09639763041195b2,5c7f7c3fadf3c53f09639763041195b2,No,
10,Coryphantha elephantidens,160682,-100.7015,20.8954999,,False,1,10.58,Equisetopsida,Caryophyllales,Cactaceae,2036,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f5107052c6f562163f9e1a111a4125ff,f5107052c6f562163f9e1a111a4125ff,No,
11,Coryphantha elephantidens,160679,-100.7681658,20.9684999,,False,1,9.01,Equisetopsida,Caryophyllales,Cactaceae,1935,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fa008d2cbcbf692fd80c423235015197,fa008d2cbcbf692fd80c423235015197,No,
12,Coryphantha elephantidens,199439,-96.3,16.6427777,,False,3,21.7,Equisetopsida,Caryophyllales,Cactaceae,1170,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=da658f43ca67e6290b4b2abdd7bdfeb7,da658f43ca67e6290b4b2abdd7bdfeb7,No,
13,Coryphantha elephantidens,160681,-100.7306599,20.864,,False,3,16.21,Equisetopsida,Caryophyllales,Cactaceae,2284,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=feb0af180d1e00b11531a23907761c79,feb0af180d1e00b11531a23907761c79,No,
