,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Coryphantha macromeris,161184,-100.965,25.5022222,,False,3,6.97,Equisetopsida,Caryophyllales,Cactaceae,1453,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=772c86a63f4ed40a7883cf98402f13e2,772c86a63f4ed40a7883cf98402f13e2,No,
1,Coryphantha macromeris,142136,-103.09124,26.04279,,False,3,9.09,Equisetopsida,Caryophyllales,Cactaceae,1102,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e2e6bcbae92af156595bb85d5bc8999b,e2e6bcbae92af156595bb85d5bc8999b,No,
2,Coryphantha macromeris,156450,-101.4416667,25.675,,False,3,7.07,Equisetopsida,Caryophyllales,Cactaceae,1133,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a91889e0ad53f8c8fc4f42f806e0245,9a91889e0ad53f8c8fc4f42f806e0245,No,
3,Coryphantha macromeris,123750,-105.4833333,28.85,,False,3,3.94,Equisetopsida,Caryophyllales,Cactaceae,1080,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d3fcdd13b3f2bef07e762f07316a0f0,6d3fcdd13b3f2bef07e762f07316a0f0,No,
4,Coryphantha macromeris,123750,-105.4841666,28.8569441,,False,3,3.94,Equisetopsida,Caryophyllales,Cactaceae,1074,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dc92110cd95f55ca594a4e643ea84fa8,dc92110cd95f55ca594a4e643ea84fa8,No,
5,Coryphantha macromeris,106026,-107.6,31.7166667,,False,3,12.58,Equisetopsida,Caryophyllales,Cactaceae,1210,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3aea7bf17bb50a0101c349c93c884f6e,3aea7bf17bb50a0101c349c93c884f6e,No,
6,Coryphantha macromeris,105952,-107.8333333,31.6,,False,3,12.74,Equisetopsida,Caryophyllales,Cactaceae,1286,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5cc565494cee79d0f1aa81c201202ce9,5cc565494cee79d0f1aa81c201202ce9,No,
7,Coryphantha macromeris,114857,-106.4333333,30.6333333,,False,3,11.65,Equisetopsida,Caryophyllales,Cactaceae,1249,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98cf0adcb3b6936702b36d9dd9765825,98cf0adcb3b6936702b36d9dd9765825,No,
8,Coryphantha macromeris,114857,-106.4333327,30.633333,,False,3,11.65,Equisetopsida,Caryophyllales,Cactaceae,1249,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6b778748a6812cf1e2473af8cf637dbe,6b778748a6812cf1e2473af8cf637dbe,No,
9,Coryphantha macromeris,147111,-102.49805,27.74694,,False,3,9.43,Equisetopsida,Caryophyllales,Cactaceae,1227,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=887d197bdb61c5abeaaf65f7bd35966c,887d197bdb61c5abeaaf65f7bd35966c,No,
10,Coryphantha macromeris,147111,-102.4980555,27.7469441,,False,3,9.43,Equisetopsida,Caryophyllales,Cactaceae,1227,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c48b09324e2e61026c752367e464f248,c48b09324e2e61026c752367e464f248,No,
11,Coryphantha macromeris,146742,-102.61416,25.00111,,False,3,9.03,Equisetopsida,Caryophyllales,Cactaceae,1407,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dcc1af93330c8dc04f91e4b5d25ffb87,dcc1af93330c8dc04f91e4b5d25ffb87,No,
12,Coryphantha macromeris,142463,-102.938055,28.5455555,,False,3,5.88,Equisetopsida,Caryophyllales,Cactaceae,938,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ba868f9f6d3741a000db0e03afaa3d4e,ba868f9f6d3741a000db0e03afaa3d4e,No,
13,Coryphantha macromeris,142463,-102.9380549,28.5455549,,False,3,5.88,Equisetopsida,Caryophyllales,Cactaceae,938,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=abd942fc6171f918e2aed072be97da31,abd942fc6171f918e2aed072be97da31,No,
