,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
13,Coryphantha ottonis,160677,-100.8761108,20.940833,,False,2,21.31,Equisetopsida,Caryophyllales,Cactaceae,1935,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04dfa56df9a2d35862e7d8b0235adee0,04dfa56df9a2d35862e7d8b0235adee0,No,,,,,,,,
11,Coryphantha ottonis,160674,-100.8719441,20.9136108,,False,2,20.1,Equisetopsida,Caryophyllales,Cactaceae,1876,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ce9629dc2265bf1d54f955b64fa75e,06ce9629dc2265bf1d54f955b64fa75e,No,,,,,,,,
5,Coryphantha ottonis,132491,-104.3513888,24.0222222,,False,2,16.93,Equisetopsida,Caryophyllales,Cactaceae,1894,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d2a83147e733d7d524003e74a578b93,0d2a83147e733d7d524003e74a578b93,Si,No,Si,No,Si,,,Si,
22,Coryphantha ottonis,146481,-102.5563858,22.7313269,,False,2,22.68,Equisetopsida,Caryophyllales,Cactaceae,2667,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1df71b43601d0943b4f3f7a581663029,1df71b43601d0943b4f3f7a581663029,Si,No,Si,No,Si,,,Si,
1,Coryphantha ottonis,175093,-99.1708327,19.6472219,,False,3,28.21,Equisetopsida,Caryophyllales,Cactaceae,2258,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=228485ae2ba69fa9144cc7c9634b7a17,228485ae2ba69fa9144cc7c9634b7a17,No,,,,,,,,
20,Coryphantha ottonis,170272,-99.7625,20.1955549,,False,2,25.11,Equisetopsida,Caryophyllales,Cactaceae,2421,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c92d0c28907a59d5896ef59b13e621e,3c92d0c28907a59d5896ef59b13e621e,No,,,,,,,,
25,Coryphantha ottonis,175119,-99.1782186,19.8988341,,False,3,31.44,Equisetopsida,Caryophyllales,Cactaceae,2509,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44bcc4b71581c5cbed186b8c54237bf1,44bcc4b71581c5cbed186b8c54237bf1,No,,,,,,,,
2,Coryphantha ottonis,137097,-103.88167,23.47444,,False,3,28.84,Equisetopsida,Caryophyllales,Cactaceae,2291,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48ad1a777f1c25bb8e70666c9afbdde9,48ad1a777f1c25bb8e70666c9afbdde9,Si,No,Si,No,Si,,,Si,
8,Coryphantha ottonis,127913,-104.7316666,24.57,,False,1,8.86,Equisetopsida,Caryophyllales,Cactaceae,1936,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d8c027a43ce4703a1fea8bf78ca390a,4d8c027a43ce4703a1fea8bf78ca390a,Si,No,Si,No,Si,,,Si,
10,Coryphantha ottonis,170355,-99.6171388,20.5499719,,False,0,2.13,Equisetopsida,Caryophyllales,Cactaceae,1669,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52fc678304e6e48d83df9e815a17fbe7,52fc678304e6e48d83df9e815a17fbe7,No,,,,,,,,
24,Coryphantha ottonis,175119,-99.1905488,19.8986888,,False,3,31.44,Equisetopsida,Caryophyllales,Cactaceae,2543,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54626aa128d6256251ad11894ce5ad8c,54626aa128d6256251ad11894ce5ad8c,No,,,,,,,,
7,Coryphantha ottonis,127849,-104.7494444,24.0194444,,False,2,16.86,Equisetopsida,Caryophyllales,Cactaceae,1959,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6b0de2cd5ed4a8165f4c209003115b7c,6b0de2cd5ed4a8165f4c209003115b7c,Si,No,Si,No,Si,,,Si,
21,Coryphantha ottonis,175152,-98.9352774,19.9652769,,False,3,36.99,Equisetopsida,Caryophyllales,Cactaceae,2428,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6f90a1bc7da24695ae6affb65d271d63,6f90a1bc7da24695ae6affb65d271d63,No,,,,,,,,
0,Coryphantha ottonis,175093,-99.170833,19.6472222,,False,3,28.21,Equisetopsida,Caryophyllales,Cactaceae,2258,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=83af64c1c118cec066ea42cab0247d43,83af64c1c118cec066ea42cab0247d43,No,,,,,,,,
19,Coryphantha ottonis,175138,-99.1716663,19.8413886,,False,3,33.45,Equisetopsida,Caryophyllales,Cactaceae,2334,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8e46cbab69ffb8ae9aeae732c5ab9082,8e46cbab69ffb8ae9aeae732c5ab9082,No,,,,,,,,
9,Coryphantha ottonis,127913,-104.7316658,24.5699999,,False,1,8.86,Equisetopsida,Caryophyllales,Cactaceae,1936,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=957f8237f09cf64cfb6b76bce58b24ac,957f8237f09cf64cfb6b76bce58b24ac,Si,No,Si,No,Si,,,Si,
