,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,MapaUSV,DistHistorica
18,Coryphantha palmeri,170658,-99.70833,23.00278,,False,1,20.29,Equisetopsida,Caryophyllales,Cactaceae,1174,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22ef6193930d57fb16bab0a01f2d3a9f,22ef6193930d57fb16bab0a01f2d3a9f,No,NoDisponible,NoDisponible,,Si,,
11,Coryphantha palmeri,156298,-101.55528,24.63833,,False,1,25.71,Equisetopsida,Caryophyllales,Cactaceae,2285,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bbcb3b89030d95c40ae19032d84c412,2bbcb3b89030d95c40ae19032d84c412,No,NoDisponible,NoDisponible,,Si,,
2,Coryphantha palmeri,165704,-100.48472,22.63722,,False,1,21.32,Equisetopsida,Caryophyllales,Cactaceae,1704,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ef9f31b54a142870efe83855524734e,3ef9f31b54a142870efe83855524734e,No,NoDisponible,NoDisponible,,Si,,
13,Coryphantha palmeri,141816,-103.0616666,23.4386111,,False,1,18.18,Equisetopsida,Caryophyllales,Cactaceae,2159,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=401ec1b1ef6d1db06317d3142947773c,401ec1b1ef6d1db06317d3142947773c,No,NoDisponible,NoDisponible,,Si,,
7,Coryphantha palmeri,165785,-100.453889,23.2219445,,False,1,23.51,Equisetopsida,Caryophyllales,Cactaceae,1394,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=482cd4ae601dc6e77582a0ab683b1820,482cd4ae601dc6e77582a0ab683b1820,No,NoDisponible,NoDisponible,,Si,,
0,Coryphantha palmeri,175512,-99.38,23.4,,False,1,12.84,Equisetopsida,Caryophyllales,Cactaceae,753,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4996a3b73b303597d68ca67855b8b95a,4996a3b73b303597d68ca67855b8b95a,No,NoDisponible,NoDisponible,,Si,,
20,Coryphantha palmeri,165811,-100.215,23.2033333,,False,1,21.49,Equisetopsida,Caryophyllales,Cactaceae,1286,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61ed77b2b034c8448427cdbe36b59291,61ed77b2b034c8448427cdbe36b59291,No,NoDisponible,NoDisponible,,Si,,
25,Coryphantha palmeri,175555,-99.34639,23.50917,,False,1,11.88,Equisetopsida,Caryophyllales,Cactaceae,730,Terrestre,1991,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6eba2a5244085b823bc09d597db9cdea,6eba2a5244085b823bc09d597db9cdea,No,NoDisponible,NoDisponible,,Si,,
6,Coryphantha palmeri,165833,-100.42722,23.48444,,False,1,23.32,Equisetopsida,Caryophyllales,Cactaceae,1821,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7115f5e80f2dc68fb3974aa5d8dc63b8,7115f5e80f2dc68fb3974aa5d8dc63b8,No,NoDisponible,NoDisponible,,Si,,
21,Coryphantha palmeri,165822,-100.1183333,23.4233333,,False,1,23,Equisetopsida,Caryophyllales,Cactaceae,1671,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=71e17e0ab795d02979385662c7f8f711,71e17e0ab795d02979385662c7f8f711,No,NoDisponible,NoDisponible,,Si,,
3,Coryphantha palmeri,170683,-99.52166,23.26055,,False,1,23.02,Equisetopsida,Caryophyllales,Cactaceae,1446,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d79df5f52ea72af561ac60d1f5512bd,7d79df5f52ea72af561ac60d1f5512bd,No,NoDisponible,NoDisponible,,Si,,
1,Coryphantha palmeri,175512,-99.3803,23.4053,,False,1,12.84,Equisetopsida,Caryophyllales,Cactaceae,763,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=85253a55b08425e65f56338807168b4e,85253a55b08425e65f56338807168b4e,No,NoDisponible,NoDisponible,,Si,,
17,Coryphantha palmeri,175361,-99.3916667,21.875,,True,0,-199.57,Equisetopsida,Caryophyllales,Cactaceae,849,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=898f7d22b9a642f573640fe4d2595fab,898f7d22b9a642f573640fe4d2595fab,No,NoDisponible,NoDisponible,,Si,,
12,Coryphantha palmeri,151581,-102.1825,25.4403,,False,1,5.18,Equisetopsida,Caryophyllales,Cactaceae,1531,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ad13c23e642ba794bccd0692175456d,8ad13c23e642ba794bccd0692175456d,No,NoDisponible,NoDisponible,,Si,,
10,Coryphantha palmeri,175601,-99.14611,23.73611,,False,1,0.63,Equisetopsida,Caryophyllales,Cactaceae,325,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b22e529d349ceaeef74b51ad5be931a,8b22e529d349ceaeef74b51ad5be931a,No,NoDisponible,NoDisponible,,Si,,
14,Coryphantha palmeri,165751,-100.2256638,22.8361799,,False,1,24.92,Equisetopsida,Caryophyllales,Cactaceae,1292,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=965d4f522dcd34dc009e7c3e94e03523,965d4f522dcd34dc009e7c3e94e03523,No,NoDisponible,NoDisponible,,Si,,
16,Coryphantha palmeri,132460,-104.1083333,23.5583333,,False,1,11.1,Equisetopsida,Caryophyllales,Cactaceae,2057,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98543c871eebf706233e99bfd7f42f09,98543c871eebf706233e99bfd7f42f09,No,NoDisponible,NoDisponible,,Si,,
22,Coryphantha palmeri,165822,-100.1183333,23.4233333,,False,1,23,Equisetopsida,Caryophyllales,Cactaceae,1671,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b40354f78b4545b8442485e517cb5314,b40354f78b4545b8442485e517cb5314,No,NoDisponible,NoDisponible,,Si,,
4,Coryphantha palmeri,165730,-100.31666,22.5,,False,1,21.29,Equisetopsida,Caryophyllales,Cactaceae,1171,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5439366ca8e5a0b4ed7872c56864c9c,b5439366ca8e5a0b4ed7872c56864c9c,No,NoDisponible,NoDisponible,,Si,,
15,Coryphantha palmeri,165751,-100.2180577,22.8383299,,False,1,24.92,Equisetopsida,Caryophyllales,Cactaceae,1252,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf0d7456fedd21bc79e637400b77ce79,bf0d7456fedd21bc79e637400b77ce79,No,NoDisponible,NoDisponible,,Si,,
19,Coryphantha palmeri,165729,-100.2816667,22.4333333,,False,1,21.17,Equisetopsida,Caryophyllales,Cactaceae,1164,Terrestre,1995,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c352c41e6c73175d8a2db8dbfcdbac05,c352c41e6c73175d8a2db8dbfcdbac05,No,NoDisponible,NoDisponible,,Si,,
