,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
20,Coryphantha pseudonickelsiae,132612,-104.5269444,25.11,,False,1,14.54,Equisetopsida,Caryophyllales,Cactaceae,1353,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0256bbd043c5b9eb1fef9a6e8f4d1dfb,0256bbd043c5b9eb1fef9a6e8f4d1dfb,No,NoDisponible,NoDisponible,,Si,,,,
9,Coryphantha pseudonickelsiae,137421,-103.8463888,26.2391666,,False,1,11.45,Equisetopsida,Caryophyllales,Cactaceae,1156,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030c25d331b4972e9f249bdc0194c41a,030c25d331b4972e9f249bdc0194c41a,No,NoDisponible,NoDisponible,,Si,,,,
14,Coryphantha pseudonickelsiae,132602,-104.1838888,24.8902777,,False,2,25.77,Equisetopsida,Caryophyllales,Cactaceae,1658,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cbefbeecb4db9cae79ec6599e6c09a3,0cbefbeecb4db9cae79ec6599e6c09a3,No,NoDisponible,NoDisponible,,Si,,,,
11,Coryphantha pseudonickelsiae,127988,-104.8019444,25.4047222,,False,2,25.47,Equisetopsida,Caryophyllales,Cactaceae,1416,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cd59a3805ba8f9a9183ac8a20925e28,1cd59a3805ba8f9a9183ac8a20925e28,No,NoDisponible,NoDisponible,,Si,,,,
12,Coryphantha pseudonickelsiae,123326,-105.2847222,25.5394444,,False,1,20.56,Equisetopsida,Caryophyllales,Cactaceae,1643,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2107831bac022abb8f5ae036894848cc,2107831bac022abb8f5ae036894848cc,No,NoDisponible,NoDisponible,,Si,,,,
1,Coryphantha pseudonickelsiae,127980,-104.6952777,25.1188888,,False,2,29.13,Equisetopsida,Caryophyllales,Cactaceae,1961,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=215decf6ab32c118b4e433633445a4e6,215decf6ab32c118b4e433633445a4e6,No,NoDisponible,NoDisponible,,Si,,,,
23,Coryphantha pseudonickelsiae,137233,-104.0380555,24.8280555,,False,2,24.66,Equisetopsida,Caryophyllales,Cactaceae,1650,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28bb66cbc8dc5d00986184a5070400c5,28bb66cbc8dc5d00986184a5070400c5,No,NoDisponible,NoDisponible,,Si,,,,
6,Coryphantha pseudonickelsiae,123328,-105.2736111,25.5172222,,False,2,25.91,Equisetopsida,Caryophyllales,Cactaceae,1829,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=580f1749b14489d28b8a6751cc476506,580f1749b14489d28b8a6751cc476506,No,NoDisponible,NoDisponible,,Si,,,,
16,Coryphantha pseudonickelsiae,132573,-104.4905555,24.905,,False,2,24.85,Equisetopsida,Caryophyllales,Cactaceae,1619,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5e0380294f28938923802d287eda42c3,5e0380294f28938923802d287eda42c3,No,NoDisponible,NoDisponible,,Si,,,,
19,Coryphantha pseudonickelsiae,132612,-104.5388888,25.1102777,,False,1,14.54,Equisetopsida,Caryophyllales,Cactaceae,1413,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=857e50f1e87afd0649263b2b301feef2,857e50f1e87afd0649263b2b301feef2,No,NoDisponible,NoDisponible,,Si,,,,
10,Coryphantha pseudonickelsiae,132666,-104.1636111,25.3719444,,False,1,12.58,Equisetopsida,Caryophyllales,Cactaceae,1358,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98ed75c6369d969c642fcdae4c9a30c5,98ed75c6369d969c642fcdae4c9a30c5,No,NoDisponible,NoDisponible,,Si,,,,
8,Coryphantha pseudonickelsiae,132609,-104.5977777,25.0747222,,False,2,26.89,Equisetopsida,Caryophyllales,Cactaceae,1477,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9d5b4ac79a36d5429109564141b7b1dd,9d5b4ac79a36d5429109564141b7b1dd,No,NoDisponible,NoDisponible,,Si,,,,
7,Coryphantha pseudonickelsiae,132764,-104.3633333,26.4041666,,False,1,16.21,Equisetopsida,Caryophyllales,Cactaceae,1327,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9e18a22b44280b4f9454f006865f5a8e,9e18a22b44280b4f9454f006865f5a8e,No,NoDisponible,NoDisponible,,Si,,,,
21,Coryphantha pseudonickelsiae,128299,-104.6583333,27.6583333,,False,1,18.09,Equisetopsida,Caryophyllales,Cactaceae,1612,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a8157a6fad02037bd3e040e335384a21,a8157a6fad02037bd3e040e335384a21,No,NoDisponible,NoDisponible,,Si,,,,
15,Coryphantha pseudonickelsiae,128013,-105.0288888,25.71,,False,2,25.38,Equisetopsida,Caryophyllales,Cactaceae,1576,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aded6c0086b586499e80fcf8c280e7ec,aded6c0086b586499e80fcf8c280e7ec,No,NoDisponible,NoDisponible,,Si,,,,
24,Coryphantha pseudonickelsiae,127983,-104.6719444,25.2136111,,False,2,30.72,Equisetopsida,Caryophyllales,Cactaceae,1556,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b941a6f183210aa3cfe8b1209580d752,b941a6f183210aa3cfe8b1209580d752,No,NoDisponible,NoDisponible,,Si,,,,
18,Coryphantha pseudonickelsiae,132617,-104.4880555,25.0408333,,False,2,27.05,Equisetopsida,Caryophyllales,Cactaceae,1451,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c98facc2c92fc512fbdbe58d119e3561,c98facc2c92fc512fbdbe58d119e3561,No,NoDisponible,NoDisponible,,Si,,,,
2,Coryphantha pseudonickelsiae,123388,-105.225,25.925,,False,0,0.86,Equisetopsida,Caryophyllales,Cactaceae,1900,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c9cb44211bf63c1924a9c25c7f1b72bd,c9cb44211bf63c1924a9c25c7f1b72bd,No,NoDisponible,NoDisponible,,Si,,,,
4,Coryphantha pseudonickelsiae,132728,-104.2402777,26.0569444,,False,1,16.74,Equisetopsida,Caryophyllales,Cactaceae,1519,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dfa4b19184d3c9a9ca69f8f7de1fdeac,dfa4b19184d3c9a9ca69f8f7de1fdeac,No,NoDisponible,NoDisponible,,Si,,,,
3,Coryphantha pseudonickelsiae,123388,-105.225,25.925,,False,0,0.86,Equisetopsida,Caryophyllales,Cactaceae,1900,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f0d33fcfb24d138a6789113b9905c38e,f0d33fcfb24d138a6789113b9905c38e,No,NoDisponible,NoDisponible,,Si,,,,
5,Coryphantha pseudonickelsiae,123328,-105.27,25.5097222,,False,2,25.91,Equisetopsida,Caryophyllales,Cactaceae,1875,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f385a116ef435b7a68c7f87fe2268535,f385a116ef435b7a68c7f87fe2268535,No,NoDisponible,NoDisponible,,Si,,,,
22,Coryphantha pseudonickelsiae,123322,-105.3241666,25.4041666,,False,1,17.91,Equisetopsida,Caryophyllales,Cactaceae,1658,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f7490800bcf60ffdfb744665a7d4f8fe,f7490800bcf60ffdfb744665a7d4f8fe,No,NoDisponible,NoDisponible,,Si,,,,
17,Coryphantha pseudonickelsiae,128007,-105.1336111,25.7430555,,False,2,26.28,Equisetopsida,Caryophyllales,Cactaceae,1633,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f7729116e6167c66c9b87e6148e3ac5b,f7729116e6167c66c9b87e6148e3ac5b,No,NoDisponible,NoDisponible,,Si,,,,
13,Coryphantha pseudonickelsiae,128121,-104.7205555,26.3427777,,False,1,18.32,Equisetopsida,Caryophyllales,Cactaceae,1539,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f9b1e5c9e63a070aee48876ffd756307,f9b1e5c9e63a070aee48876ffd756307,No,NoDisponible,NoDisponible,,Si,,,,
0,Coryphantha pseudonickelsiae,127980,-104.6866666,25.1436111,,False,2,29.13,Equisetopsida,Caryophyllales,Cactaceae,1848,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fd7010216860c387cb3387d9f4959ba4,fd7010216860c387cb3387d9f4959ba4,No,NoDisponible,NoDisponible,,Si,,,,
