,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
23,Coryphantha reduncispina,194754,-97.14225,18.2005,,False,1,57.74,Equisetopsida,Caryophyllales,Cactaceae,928,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=066330a36ae7694322fcef5f626cf2f8,066330a36ae7694322fcef5f626cf2f8,No,NoDisponible,NoDisponible,,Si,,,,
22,Coryphantha reduncispina,194754,-97.1150799,18.1659999,,False,1,57.74,Equisetopsida,Caryophyllales,Cactaceae,893,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=074c849349e648ffd0d47e9a232e26d1,074c849349e648ffd0d47e9a232e26d1,No,NoDisponible,NoDisponible,,Si,,,,
51,Coryphantha reduncispina,194702,-97.00133,17.81355,,False,1,48.06,Equisetopsida,Caryophyllales,Cactaceae,628,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c8221a6cf8b0d34b097092695eb8cb,07c8221a6cf8b0d34b097092695eb8cb,No,NoDisponible,NoDisponible,,Si,,,,
40,Coryphantha reduncispina,194757,-97.1583333,18.2416667,,False,2,81.76,Equisetopsida,Caryophyllales,Cactaceae,1050,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=183a5b5371d81602d9d9054d5fbdd117,183a5b5371d81602d9d9054d5fbdd117,No,NoDisponible,NoDisponible,,Si,,,,
9,Coryphantha reduncispina,189808,-97.1666658,18.3,,False,1,48.81,Equisetopsida,Caryophyllales,Cactaceae,1107,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c142d7e740a51b5f2b787382fb38af5,1c142d7e740a51b5f2b787382fb38af5,No,NoDisponible,NoDisponible,,Si,,,,
26,Coryphantha reduncispina,194712,-97.0478799,18.05105,,False,1,43.84,Equisetopsida,Caryophyllales,Cactaceae,906,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fdf5803396c2fed4b16481204149f84,1fdf5803396c2fed4b16481204149f84,No,NoDisponible,NoDisponible,,Si,,,,
24,Coryphantha reduncispina,194754,-97.14225,18.2005,,False,1,57.74,Equisetopsida,Caryophyllales,Cactaceae,928,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2046ea8c6b3d80c25ca2ef690046ba9e,2046ea8c6b3d80c25ca2ef690046ba9e,No,NoDisponible,NoDisponible,,Si,,,,
37,Coryphantha reduncispina,194757,-97.1494399,18.25452,,False,2,81.76,Equisetopsida,Caryophyllales,Cactaceae,1151,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2263f92ccbe3c8538db655fe8c0a364a,2263f92ccbe3c8538db655fe8c0a364a,No,NoDisponible,NoDisponible,,Si,,,,
18,Coryphantha reduncispina,189773,-97.5500833,18.2508333,,False,1,41.43,Equisetopsida,Caryophyllales,Cactaceae,1723,Terrestre,2005,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2800891339dd4438117f125d38177261,2800891339dd4438117f125d38177261,No,NoDisponible,NoDisponible,,Si,,,,
46,Coryphantha reduncispina,189812,-97.3638611,18.4598333,,False,2,64.14,Equisetopsida,Caryophyllales,Cactaceae,1575,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cf8be5e2d5918e7297f95433faee11b,2cf8be5e2d5918e7297f95433faee11b,No,NoDisponible,NoDisponible,,Si,,,,
