,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
31,Coryphantha salinensis,166143,-100.0404658,25.9848988,,False,1,18.54,Equisetopsida,Caryophyllales,Cactaceae,550,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001daea7844066bf0e492fdd5f8a01bb,001daea7844066bf0e492fdd5f8a01bb,No,NoDisponible,NoDisponible,,Si,,,,
16,Coryphantha salinensis,161280,-100.6130877,26.0310558,,False,2,25.12,Equisetopsida,Caryophyllales,Cactaceae,645,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a625cae6158c088ff5d8a264472222,04a625cae6158c088ff5d8a264472222,No,NoDisponible,NoDisponible,,Si,,,,
41,Coryphantha salinensis,166133,-100.2908627,25.9662108,,False,2,22.87,Equisetopsida,Caryophyllales,Cactaceae,442,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06fd1f154015dd64af68d203f8b799ad,06fd1f154015dd64af68d203f8b799ad,No,NoDisponible,NoDisponible,,Si,,,,
42,Coryphantha salinensis,166098,-100.55234,25.9164788,,False,3,35.72,Equisetopsida,Caryophyllales,Cactaceae,819,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0db15b12c245bc171c6bc133897491f1,0db15b12c245bc171c6bc133897491f1,No,NoDisponible,NoDisponible,,Si,,,,
11,Coryphantha salinensis,166097,-100.5442299,25.8695038,,False,3,35.43,Equisetopsida,Caryophyllales,Cactaceae,949,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e7c70644cdd582351dc3cc86b7af5ac,0e7c70644cdd582351dc3cc86b7af5ac,No,NoDisponible,NoDisponible,,Si,,,,
57,Coryphantha salinensis,170965,-100.0362038,25.9882527,,False,1,18.79,Equisetopsida,Caryophyllales,Cactaceae,534,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fb5f5c7d91f376de8cce9cdd1e3e8e6,0fb5f5c7d91f376de8cce9cdd1e3e8e6,No,NoDisponible,NoDisponible,,Si,,,,
24,Coryphantha salinensis,171125,-99.7462461,26.9906186,,False,1,12.48,Equisetopsida,Caryophyllales,Cactaceae,159,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=117b99592d4faad086b129c1454f9967,117b99592d4faad086b129c1454f9967,No,NoDisponible,NoDisponible,,Si,,,,
6,Coryphantha salinensis,166102,-100.5639919,26.0248558,,False,2,23.43,Equisetopsida,Caryophyllales,Cactaceae,615,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19e206f86efb84467a2ae04be3e69261,19e206f86efb84467a2ae04be3e69261,No,NoDisponible,NoDisponible,,Si,,,,
14,Coryphantha salinensis,156515,-101.3802049,26.1198388,,False,1,13.93,Equisetopsida,Caryophyllales,Cactaceae,1061,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a082746caf01978b3cb66c3d19e8340,1a082746caf01978b3cb66c3d19e8340,No,NoDisponible,NoDisponible,,Si,,,,
18,Coryphantha salinensis,161316,-100.7873455,26.1729308,,False,2,28.89,Equisetopsida,Caryophyllales,Cactaceae,1615,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27a22d0607852fe08650dc8db4fe7f76,27a22d0607852fe08650dc8db4fe7f76,No,NoDisponible,NoDisponible,,Si,,,,
