,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Cylindropuntia fulgida,73870,-111.9408333,28.8227778,,False,4,12.46,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1979,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e302711e0f0bc34735a4f8bd3d82925f,e302711e0f0bc34735a4f8bd3d82925f,No,
1,Cylindropuntia fulgida,96405,-109.2166667,26.4833333,,False,4,9.25,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d78338d5b673c18c7a875fb20e95c09,6d78338d5b673c18c7a875fb20e95c09,No,
2,Cylindropuntia fulgida,96405,-109.2166667,26.4833333,,False,4,9.25,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c36a88fa1c1cc240df2b5018a6ac3e92,c36a88fa1c1cc240df2b5018a6ac3e92,No,
3,Cylindropuntia fulgida,73874,-112.0430556,28.9644444,,False,4,10.39,Equisetopsida,Caryophyllales,Cactaceae,454,Terrestre,1922,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9e349d17ff2a3b5a0a88249d5e6cf0c6,9e349d17ff2a3b5a0a88249d5e6cf0c6,No,
4,Cylindropuntia fulgida,96454,-109.235,26.7861111,,False,4,6.91,Equisetopsida,Caryophyllales,Cactaceae,77,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=88cf5c0199ef15d8b3232e3c92471e17,88cf5c0199ef15d8b3232e3c92471e17,No,
5,Cylindropuntia fulgida,91904,-109.2902778,26.5458333,,False,4,9.21,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0140aa2c0afc2654cfbf858b4c41c0bd,0140aa2c0afc2654cfbf858b4c41c0bd,No,
6,Cylindropuntia fulgida,91904,-109.2903,26.5569444,,False,4,9.21,Equisetopsida,Caryophyllales,Cactaceae,6,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9c29f03d3483118747618a75f7792100,9c29f03d3483118747618a75f7792100,No,
7,Cylindropuntia fulgida,92128,-109.5525,28.5708333,,False,3,0.9,Equisetopsida,Caryophyllales,Cactaceae,149,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b432ea191aa532a737cdb82f140c8ad,0b432ea191aa532a737cdb82f140c8ad,No,
8,Cylindropuntia fulgida,92128,-109.5597222,28.5958333,,False,3,0.9,Equisetopsida,Caryophyllales,Cactaceae,194,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=261c2492388f2ce12ece7eba9d5af8ec,261c2492388f2ce12ece7eba9d5af8ec,No,
9,Cylindropuntia fulgida,69362,-112.38954,28.99038,,False,4,9.59,Equisetopsida,Caryophyllales,Cactaceae,170,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09808f1ee6dadd22646fc748af1789bd,09808f1ee6dadd22646fc748af1789bd,No,
10,Cylindropuntia fulgida,69362,-112.38954,28.99038,,False,4,9.59,Equisetopsida,Caryophyllales,Cactaceae,170,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74b21b71e9bc6d99ea72395a1f8f0d13,74b21b71e9bc6d99ea72395a1f8f0d13,No,
11,Cylindropuntia fulgida,69540,-112.2781,30.24005,,False,4,12.95,Equisetopsida,Caryophyllales,Cactaceae,374,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fef83cf4c5c28e5a63660073308a759,1fef83cf4c5c28e5a63660073308a759,No,
12,Cylindropuntia fulgida,96494,-108.746628,26.811447,,False,4,2.21,Equisetopsida,Caryophyllales,Cactaceae,271,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20dc209fef7616ef3daf92424aa8bfb4,20dc209fef7616ef3daf92424aa8bfb4,No,
13,Cylindropuntia fulgida,69426,-112.387332,29.499923,,False,4,13.51,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=410c83db4f84ae88e06c3e8e5086b02d,410c83db4f84ae88e06c3e8e5086b02d,No,
14,Cylindropuntia fulgida,78649,-111.099912,29.898198,,False,4,7.09,Equisetopsida,Caryophyllales,Cactaceae,730,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a7995d9e8b8c5df761cc1136d6b93f7,9a7995d9e8b8c5df761cc1136d6b93f7,No,
15,Cylindropuntia fulgida,78649,-111.099912,29.898198,,False,4,7.09,Equisetopsida,Caryophyllales,Cactaceae,730,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9bdf4b2ebd1d6b6a7c6c26119bda9f92,9bdf4b2ebd1d6b6a7c6c26119bda9f92,No,
16,Cylindropuntia fulgida,69604,-112.276805,30.694219,,False,4,9.02,Equisetopsida,Caryophyllales,Cactaceae,235,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b570b485d8fb6b10c83281d2b0be765d,b570b485d8fb6b10c83281d2b0be765d,No,
17,Cylindropuntia fulgida,73844,-111.68528,28.45194,,False,4,11.73,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e3f1e932816199e97dfa2bd46da8a936,e3f1e932816199e97dfa2bd46da8a936,No,
18,Cylindropuntia fulgida,73844,-111.6831666,28.4519444,,False,4,11.73,Equisetopsida,Caryophyllales,Cactaceae,6,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d3db2e1745b305562c50389413385ad0,d3db2e1745b305562c50389413385ad0,No,
19,Cylindropuntia fulgida,69413,-112.33464,29.29231,,False,4,9.36,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=edd23440d9c84800d53f7b695c7c3147,edd23440d9c84800d53f7b695c7c3147,No,
20,Cylindropuntia fulgida,83268,-110.8777778,30.6958333,,False,3,0.33,Equisetopsida,Caryophyllales,Cactaceae,879,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b1aed88f4fc15f941722cbec44911d5b,b1aed88f4fc15f941722cbec44911d5b,No,
21,Cylindropuntia fulgida,105084,-107.5113889,24.3208333,,False,4,2.24,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06aa8cb250708a07e29953f597a08e13,06aa8cb250708a07e29953f597a08e13,No,
22,Cylindropuntia fulgida,65151,-112.7527778,31.5191667,,False,4,7.2,Equisetopsida,Caryophyllales,Cactaceae,426,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5e00220db914ea66c63432355995ba9c,5e00220db914ea66c63432355995ba9c,No,
23,Cylindropuntia fulgida,82931,-110.53785,27.90795,,False,4,8.97,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb11c73b942f6bb59130c8aaff36fc76,bb11c73b942f6bb59130c8aaff36fc76,No,
24,Cylindropuntia fulgida,87576,-110.24582,28.59115,,False,4,6.31,Equisetopsida,Caryophyllales,Cactaceae,341,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7cdf7978ddae722eeacd18afc03f1a28,7cdf7978ddae722eeacd18afc03f1a28,No,
25,Cylindropuntia fulgida,69640,-112.55258,31.30457,,False,4,7.56,Equisetopsida,Caryophyllales,Cactaceae,484,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c755ef79bc13d3122ba4ba3734a1fa9,4c755ef79bc13d3122ba4ba3734a1fa9,No,
26,Cylindropuntia fulgida,78793,-111.38298,31.12595,,False,3,-0.85,Equisetopsida,Caryophyllales,Cactaceae,857,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f2c83247727f8295b6101f31eeb6a7d5,f2c83247727f8295b6101f31eeb6a7d5,No,
27,Cylindropuntia fulgida,73894,-111.77339,28.82815,,False,4,12.4,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a13e44cf4a5cd592d681c4352eda373,0a13e44cf4a5cd592d681c4352eda373,No,
28,Cylindropuntia fulgida,73894,-111.7879488,28.8350499,,False,4,12.4,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d454773485f1e7ba1ffac69459711f1,2d454773485f1e7ba1ffac69459711f1,No,
29,Cylindropuntia fulgida,78598,-111.4803,29.85858,,False,3,0.28,Equisetopsida,Caryophyllales,Cactaceae,689,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6ce7ea6e9c3161d7b9ab6a347703884b,6ce7ea6e9c3161d7b9ab6a347703884b,No,
30,Cylindropuntia fulgida,82897,-110.8989,27.9183,,False,4,6.83,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8afe68b1c0bfc06db4009b0328982e85,8afe68b1c0bfc06db4009b0328982e85,No,
31,Cylindropuntia fulgida,82897,-110.8930555,27.9238888,,False,4,6.83,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=737a78e226a7122d3ad89675b178ce62,737a78e226a7122d3ad89675b178ce62,No,
32,Cylindropuntia fulgida,87908,-109.9916666,30.6916666,,True,2,-12.63,Equisetopsida,Caryophyllales,Cactaceae,1106,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8492cfb866a13fe435ca3fc27cfca780,8492cfb866a13fe435ca3fc27cfca780,No,
33,Cylindropuntia fulgida,69414,-112.3497222,29.3172222,,False,4,12.75,Equisetopsida,Caryophyllales,Cactaceae,6,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a0c45ebb1046f3db355ab20f72ed8c90,a0c45ebb1046f3db355ab20f72ed8c90,No,
34,Cylindropuntia fulgida,78413,-111.3866666,28.2647222,,False,4,12.44,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5210ee98a8c3006a84a97f5ffb654228,5210ee98a8c3006a84a97f5ffb654228,No,
35,Cylindropuntia fulgida,78413,-111.3865833,28.2647222,,False,4,12.44,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b15b347578c5b3f28e676203bd52c973,b15b347578c5b3f28e676203bd52c973,No,
36,Cylindropuntia fulgida,105079,-107.6944444,24.4372222,,False,4,4.88,Equisetopsida,Caryophyllales,Cactaceae,6,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e70fad16a13f4c385edca1d8026e6c1,3e70fad16a13f4c385edca1d8026e6c1,No,
37,Cylindropuntia fulgida,78410,-111.3739361,28.2294444,,False,4,10.32,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9333ac55440603e938b096e5bb92c111,9333ac55440603e938b096e5bb92c111,No,
38,Cylindropuntia fulgida,78417,-111.4941666,28.3891666,,False,4,10.95,Equisetopsida,Caryophyllales,Cactaceae,18,Terrestre,2011,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=613c4e22483a7b23ab41d32591a62338,613c4e22483a7b23ab41d32591a62338,No,
39,Cylindropuntia fulgida,78396,-110.9761111,27.9505555,,False,4,8.07,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=df2e188dfb4e2b4c274b29290358d461,df2e188dfb4e2b4c274b29290358d461,No,
