,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Cylindropuntia kleiniae,146797,-102.44,25.17,,False,2,12.09,Equisetopsida,Caryophyllales,Cactaceae,1412,Terrestre,1880,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30185e19c4003acd282e9965af335cae,30185e19c4003acd282e9965af335cae,No,
1,Cylindropuntia kleiniae,137266,-103.7416667,24.8416667,,False,2,13.06,Equisetopsida,Caryophyllales,Cactaceae,1742,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bded50cb95ae04fda82b9b752c72597,1bded50cb95ae04fda82b9b752c72597,No,
2,Cylindropuntia kleiniae,137266,-103.7591666,24.9005555,,False,2,13.06,Equisetopsida,Caryophyllales,Cactaceae,1621,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3392ceb90bd9bcb921c5df3582b185a6,3392ceb90bd9bcb921c5df3582b185a6,No,
3,Cylindropuntia kleiniae,175182,-99.3083333,20.485,,False,2,15.45,Equisetopsida,Caryophyllales,Cactaceae,1789,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fa9f19d253d77412ab221dfb373538f,1fa9f19d253d77412ab221dfb373538f,No,
4,Cylindropuntia kleiniae,189798,-97.3808333,18.35,,False,2,18,Equisetopsida,Caryophyllales,Cactaceae,1484,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=355af42436bc0b456cbb7965e975f030,355af42436bc0b456cbb7965e975f030,No,
5,Cylindropuntia kleiniae,189798,-97.407,18.3114444,,False,2,18,Equisetopsida,Caryophyllales,Cactaceae,1475,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d33a768fe4a323a2bd849fb776a024d,0d33a768fe4a323a2bd849fb776a024d,No,
6,Cylindropuntia kleiniae,189800,-97.3638889,18.3097222,,False,2,12.65,Equisetopsida,Caryophyllales,Cactaceae,1316,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c25b3d97bd69f8495914462eae6de936,c25b3d97bd69f8495914462eae6de936,No,
7,Cylindropuntia kleiniae,189800,-97.3641667,18.3177222,,False,2,12.65,Equisetopsida,Caryophyllales,Cactaceae,1273,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1137956ac4b1bc5aeb500f7382699f6d,1137956ac4b1bc5aeb500f7382699f6d,No,
8,Cylindropuntia kleiniae,189800,-97.35167,18.32056,,False,2,12.65,Equisetopsida,Caryophyllales,Cactaceae,1228,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ff431643de077c04bc81ad4bdc6fdfab,ff431643de077c04bc81ad4bdc6fdfab,No,
9,Cylindropuntia kleiniae,189800,-97.375,18.3083333,,False,2,12.65,Equisetopsida,Caryophyllales,Cactaceae,1403,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aa6dd2a960ecdc6f9dd0139fac512745,aa6dd2a960ecdc6f9dd0139fac512745,No,
