,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1,Cylindropuntia molesta,77953,-111.5083333,24.5583333,,False,1,13.6,Equisetopsida,Caryophyllales,Cactaceae,37,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=184a2eadcb69b156042f25d007a69c9c,184a2eadcb69b156042f25d007a69c9c,Si,No,NoDisponible,,Si,,,,
3,Cylindropuntia molesta,64558,-112.8083333,26.8083333,,False,1,14.23,Equisetopsida,Caryophyllales,Cactaceae,319,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=325dbb0e1c75819d88edf02ab4faaf82,325dbb0e1c75819d88edf02ab4faaf82,Si,Si,NoDisponible,Si,Si,,,,
9,Cylindropuntia molesta,46624,-115.325,30.0916667,,False,1,15.86,Equisetopsida,Caryophyllales,Cactaceae,496,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=648f28777e951fb9cb1976448316a56f,648f28777e951fb9cb1976448316a56f,No,,NoDisponible,,,,,,
0,Cylindropuntia molesta,60356,-113.7559602,28.7437683,,False,1,15.9,Equisetopsida,Caryophyllales,Cactaceae,425,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d8be099f11a3dad41de191d8a19b1ab,6d8be099f11a3dad41de191d8a19b1ab,No,,NoDisponible,,,,,,
5,Cylindropuntia molesta,64584,-113.1416667,27.325,,False,1,14.1,Equisetopsida,Caryophyllales,Cactaceae,131,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=860135e27475c2ffe492431596a61dca,860135e27475c2ffe492431596a61dca,Si,Si,NoDisponible,Si,Si,,,,
7,Cylindropuntia molesta,55830,-114.37519,29.59292,,False,1,17.23,Equisetopsida,Caryophyllales,Cactaceae,312,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8985d2d51d3632edc2ff51b8d46fca46,8985d2d51d3632edc2ff51b8d46fca46,No,,NoDisponible,,,,,,
6,Cylindropuntia molesta,73587,-111.7416667,26.375,,False,0,2.85,Equisetopsida,Caryophyllales,Cactaceae,396,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d25cb2019e18e7cbe4394b81b1e22fa5,d25cb2019e18e7cbe4394b81b1e22fa5,No,,NoDisponible,,,,,,
8,Cylindropuntia molesta,55748,-114.275,28.725,,False,0,4.61,Equisetopsida,Caryophyllales,Cactaceae,127,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d79bbd5332d232f1a259b1ddba677782,d79bbd5332d232f1a259b1ddba677782,No,,NoDisponible,,,,,,
4,Cylindropuntia molesta,64622,-112.775,27.3416667,,False,1,14.12,Equisetopsida,Caryophyllales,Cactaceae,184,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f043675b94b161701825c600119bf10f,f043675b94b161701825c600119bf10f,No,,NoDisponible,,,,,,
2,Cylindropuntia molesta,77953,-111.5083333,24.5583333,,False,1,13.6,Equisetopsida,Caryophyllales,Cactaceae,37,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fce04f733ba2831e5c5b799f3dc744a0,fce04f733ba2831e5c5b799f3dc744a0,Si,No,NoDisponible,,Si,,,,
