,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
37,Cylindropuntia tesajo,55834,-114.2083333,29.4583333,,False,3,15.55,Equisetopsida,Caryophyllales,Cactaceae,239,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00cab8b5b503fb51161d7ecdaed61582,00cab8b5b503fb51161d7ecdaed61582,No,,NoDisponible,,,,,,
61,Cylindropuntia tesajo,46792,-115.4335,31.3335556,,False,4,25.11,Equisetopsida,Caryophyllales,Cactaceae,768,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a819a993477a0d32e9905762826c49,02a819a993477a0d32e9905762826c49,No,,NoDisponible,,,,,,
109,Cylindropuntia tesajo,60376,-113.73504,29.07019,,False,4,22.09,Equisetopsida,Caryophyllales,Cactaceae,244,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04b02e76324b9b250c3cbc05a64fa0d6,04b02e76324b9b250c3cbc05a64fa0d6,No,,NoDisponible,,,,,,
123,Cylindropuntia tesajo,55772,-114.175,28.9916667,,False,3,17.78,Equisetopsida,Caryophyllales,Cactaceae,261,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09677f377b5317669b44dd5928a30aae,09677f377b5317669b44dd5928a30aae,No,,NoDisponible,,,,,,
21,Cylindropuntia tesajo,46889,-115.0833333,31.6333333,,False,3,12.59,Equisetopsida,Caryophyllales,Cactaceae,59,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cbf40cec19e485582a8f2161aa00de1,0cbf40cec19e485582a8f2161aa00de1,No,,NoDisponible,,,,,,
42,Cylindropuntia tesajo,55776,-114.152362,29.094804,,False,3,17.61,Equisetopsida,Caryophyllales,Cactaceae,390,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f02668daa93ac35a40fae8f8c372f84,0f02668daa93ac35a40fae8f8c372f84,No,,NoDisponible,,,,,,
6,Cylindropuntia tesajo,60372,-113.718447,28.977084,,False,4,21.57,Equisetopsida,Caryophyllales,Cactaceae,296,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f14bd33afa60ac98654630de51991d7,0f14bd33afa60ac98654630de51991d7,No,,NoDisponible,,,,,,
66,Cylindropuntia tesajo,55733,-114.0583333,28.5083333,,False,3,9.69,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fd9ee01228c0f071c0d94c91a6a5fe1,0fd9ee01228c0f071c0d94c91a6a5fe1,No,,NoDisponible,,,,,,
32,Cylindropuntia tesajo,55755,-114.1833333,28.6583333,,False,3,10.21,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=101c3930a8e78c8b59320bda3026733f,101c3930a8e78c8b59320bda3026733f,Si,Si,NoDisponible,Si,Si,,,,
74,Cylindropuntia tesajo,60355,-113.7001389,28.6832222,,False,4,22.58,Equisetopsida,Caryophyllales,Cactaceae,911,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=102e3f50187e0c275d976a4cd1c425ff,102e3f50187e0c275d976a4cd1c425ff,No,,NoDisponible,,,,,,
