,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Echinocereus cinerascens,180058,-98.6961111,20.0722222,,False,4,32.52,Equisetopsida,Caryophyllales,Cactaceae,2432,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d1829ff0b24f0c9e6d8a360f5b25ffb0,d1829ff0b24f0c9e6d8a360f5b25ffb0,No,
1,Echinocereus cinerascens,180058,-98.7222222,20.0722222,,False,4,32.52,Equisetopsida,Caryophyllales,Cactaceae,2477,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e492eb88d05273ebdcebbc26767cd10,1e492eb88d05273ebdcebbc26767cd10,No,
2,Echinocereus cinerascens,180058,-98.7222222,20.0722222,,False,4,32.52,Equisetopsida,Caryophyllales,Cactaceae,2477,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e65d7465a393b1ecff1ab849875c692f,e65d7465a393b1ecff1ab849875c692f,No,
3,Echinocereus cinerascens,180058,-98.6961111,20.0897222,,False,4,32.52,Equisetopsida,Caryophyllales,Cactaceae,2563,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=85ed3b3b939ffa36211ac1acfb1b1b94,85ed3b3b939ffa36211ac1acfb1b1b94,No,
4,Echinocereus cinerascens,180058,-98.7055556,20.1258333,,False,4,32.52,Equisetopsida,Caryophyllales,Cactaceae,2572,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d9561fea26cf789500ab891e26c4ad7f,d9561fea26cf789500ab891e26c4ad7f,No,
5,Echinocereus cinerascens,175202,-99.1271583,20.3572361,,False,4,35.01,Equisetopsida,Caryophyllales,Cactaceae,2307,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d18eaf1be2017a9bf470e07fcdcee56b,d18eaf1be2017a9bf470e07fcdcee56b,No,
6,Echinocereus cinerascens,180061,-98.7041667,20.1347222,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2757,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b9fc45317db3dbea88917928216550b,9b9fc45317db3dbea88917928216550b,No,
7,Echinocereus cinerascens,180061,-98.7125,20.1277778,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2497,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d7c2b4819b8af1019ec569cba79bc15,3d7c2b4819b8af1019ec569cba79bc15,No,
8,Echinocereus cinerascens,180061,-98.7125,20.1277778,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2497,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=df50bfa2dea4c98afe026828cd3326a2,df50bfa2dea4c98afe026828cd3326a2,No,
9,Echinocereus cinerascens,180061,-98.7125,20.1277778,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2497,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb0077192a86b9de7dc899838c1c3a81,eb0077192a86b9de7dc899838c1c3a81,No,
10,Echinocereus cinerascens,180061,-98.701427,20.133034,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2695,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d439ac55cfcd1d5b3cdb7aba8b8b417,0d439ac55cfcd1d5b3cdb7aba8b8b417,No,
11,Echinocereus cinerascens,180061,-98.7,20.1361111,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2777,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=81fb5c5cbe64d238022816138d8de81a,81fb5c5cbe64d238022816138d8de81a,No,
12,Echinocereus cinerascens,180061,-98.7083333,20.1416667,,False,3,20.83,Equisetopsida,Caryophyllales,Cactaceae,2599,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b6266e8b79cb50f7a4714e0a48e74f3f,b6266e8b79cb50f7a4714e0a48e74f3f,No,
13,Echinocereus cinerascens,180055,-98.7916667,20.1291667,,False,4,26.89,Equisetopsida,Caryophyllales,Cactaceae,2635,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ade618df86bc5cc2a0313d7ee0decb7b,ade618df86bc5cc2a0313d7ee0decb7b,No,
14,Echinocereus cinerascens,180055,-98.7916667,20.1291667,,False,4,26.89,Equisetopsida,Caryophyllales,Cactaceae,2635,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2f1de29b2f11dc886efa2055ae1817f,c2f1de29b2f11dc886efa2055ae1817f,No,
