,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Echinocereus enneacanthus,165986,-100.31488,24.59223,,False,2,6.07,Equisetopsida,Caryophyllales,Cactaceae,2035,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f66c12ca583b14567b3cb2aef216bb48,f66c12ca583b14567b3cb2aef216bb48,No,
1,Echinocereus enneacanthus,166027,-100.35469,25.04324,,True,0,-5.7,Equisetopsida,Caryophyllales,Cactaceae,2799,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=75b6f9f9142a59df3f9d85e35b217302,75b6f9f9142a59df3f9d85e35b217302,No,
2,Echinocereus enneacanthus,114869,-106.5916667,31.0416667,,False,1,2.87,Equisetopsida,Caryophyllales,Cactaceae,1384,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=76b83b5b13d795e50a8e6a17cd66c723,76b83b5b13d795e50a8e6a17cd66c723,No,
3,Echinocereus enneacanthus,151799,-101.9057611,27.0054806,,False,3,12.4,Equisetopsida,Caryophyllales,Cactaceae,699,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b38a01a406e4d5a3a02dc1b2717b01a4,b38a01a406e4d5a3a02dc1b2717b01a4,No,
4,Echinocereus enneacanthus,151657,-101.9018778,25.5985472,,False,3,11.06,Equisetopsida,Caryophyllales,Cactaceae,1223,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=452703cffcf8a9d26550d0c4373831ed,452703cffcf8a9d26550d0c4373831ed,No,
5,Echinocereus enneacanthus,166092,-100.3760139,25.6554361,,False,1,0.23,Equisetopsida,Caryophyllales,Cactaceae,623,Terrestre,1960,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=76e6482d79def15c4ebc819f3eef9d3d,76e6482d79def15c4ebc819f3eef9d3d,No,
6,Echinocereus enneacanthus,151775,-102.1037222,27.0260611,,False,3,14.41,Equisetopsida,Caryophyllales,Cactaceae,810,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dc736cd974043a50bbe75023fa7dda96,dc736cd974043a50bbe75023fa7dda96,No,
7,Echinocereus enneacanthus,151775,-102.1053886,26.9780747,,False,3,14.41,Equisetopsida,Caryophyllales,Cactaceae,758,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f22e8ed72abf9c88b0f58401802dbeaa,f22e8ed72abf9c88b0f58401802dbeaa,No,
8,Echinocereus enneacanthus,161336,-100.7833333,26.55,,False,3,13.5,Equisetopsida,Caryophyllales,Cactaceae,603,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09472a678f8653fc3fb43197a3c148cf,09472a678f8653fc3fb43197a3c148cf,No,
9,Echinocereus enneacanthus,171099,-99.8178111,26.8925778,,False,2,9.45,Equisetopsida,Caryophyllales,Cactaceae,136,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26dfed3cf569cda297bd9a476a2158e3,26dfed3cf569cda297bd9a476a2158e3,No,
10,Echinocereus enneacanthus,170983,-99.6252806,25.6944389,,False,1,-0.19,Equisetopsida,Caryophyllales,Cactaceae,207,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ba4952120aff8da71255f1f97baedc4,8ba4952120aff8da71255f1f97baedc4,No,
11,Echinocereus enneacanthus,166046,-100.4360278,25.4978056,,True,0,-3.24,Equisetopsida,Caryophyllales,Cactaceae,1536,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cac38273cde73daeb6a762425193e793,cac38273cde73daeb6a762425193e793,No,
12,Echinocereus enneacanthus,146766,-102.76416,25.27166,,False,2,8.7,Equisetopsida,Caryophyllales,Cactaceae,1159,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=919e6d7ce67541ceb1d503c6c6f6c32b,919e6d7ce67541ceb1d503c6c6f6c32b,No,
13,Echinocereus enneacanthus,151489,-102.33416,24.52694,,False,2,6.86,Equisetopsida,Caryophyllales,Cactaceae,1595,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77ca0e3900ade7a292a0bbf9aa665f72,77ca0e3900ade7a292a0bbf9aa665f72,No,
14,Echinocereus enneacanthus,166011,-100.07,24.82,,False,2,6.47,Equisetopsida,Caryophyllales,Cactaceae,1607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d624b80c68d123e97d44b319dc01622,5d624b80c68d123e97d44b319dc01622,No,
15,Echinocereus enneacanthus,147138,-102.858056,28.2352777,,False,3,12.09,Equisetopsida,Caryophyllales,Cactaceae,1132,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dbe063bd21ca607f0b72fd8dbb66e28f,dbe063bd21ca607f0b72fd8dbb66e28f,No,
