,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
16,Echinocereus knippelianus,170711,-99.9508805,23.8832388,,False,2,30.06,Equisetopsida,Caryophyllales,Cactaceae,2502,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=168eba3349c54941103aa866d98b403a,168eba3349c54941103aa866d98b403a,No,Si,NoDisponible,,Si,,,,
3,Echinocereus knippelianus,161205,-100.85,25.467,,True,0,-50.02,Equisetopsida,Caryophyllales,Cactaceae,1650,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27f3a9e69d44716bef294b4de17990ad,27f3a9e69d44716bef294b4de17990ad,No,Si,NoDisponible,,Si,,,,
5,Echinocereus knippelianus,161202,-100.8368774,25.3979208,,False,2,28.9,Equisetopsida,Caryophyllales,Cactaceae,2374,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e88310aaf61d4cd5f3501f036a5e4a2,2e88310aaf61d4cd5f3501f036a5e4a2,No,Si,NoDisponible,,Si,,,,
18,Echinocereus knippelianus,161179,-100.9699097,25.3074622,,False,4,64.04,Equisetopsida,Caryophyllales,Cactaceae,2508,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3434d6b33c0dac2bcecd890c51f81844,3434d6b33c0dac2bcecd890c51f81844,No,Si,NoDisponible,,Si,,,,
0,Echinocereus knippelianus,166051,-100.24294,25.05414,,False,4,72.97,Equisetopsida,Caryophyllales,Cactaceae,2101,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54ec7c70fd44f9ebb5380a35b020b925,54ec7c70fd44f9ebb5380a35b020b925,No,Si,NoDisponible,,Si,,,,
15,Echinocereus knippelianus,161177,-100.9885099,25.2950499,,False,2,24.75,Equisetopsida,Caryophyllales,Cactaceae,2236,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=56c8ce3455b8222102783f5184960b59,56c8ce3455b8222102783f5184960b59,No,Si,NoDisponible,,Si,,,,
19,Echinocereus knippelianus,161189,-100.86124,25.2203949,,False,3,57.62,Equisetopsida,Caryophyllales,Cactaceae,2228,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c04f3f0ff8e56d046b85496a48860e2,5c04f3f0ff8e56d046b85496a48860e2,No,Si,NoDisponible,,Si,,,,
12,Echinocereus knippelianus,170712,-99.8999627,23.966228,,False,2,15.56,Equisetopsida,Caryophyllales,Cactaceae,2471,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5e5862b8fc8fbfc1f738c1981daf5b2f,5e5862b8fc8fbfc1f738c1981daf5b2f,No,Si,NoDisponible,,Si,,,,
14,Echinocereus knippelianus,161166,-100.9914577,25.2819599,,False,2,36.26,Equisetopsida,Caryophyllales,Cactaceae,2154,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60fdbd49433bd76aafe5b9527da8c4df,60fdbd49433bd76aafe5b9527da8c4df,No,Si,NoDisponible,,Si,,,,
20,Echinocereus knippelianus,170820,-99.9489491,24.5875766,,False,2,35.88,Equisetopsida,Caryophyllales,Cactaceae,2242,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6adfadbd80a13a39f0c2432174e3fd38,6adfadbd80a13a39f0c2432174e3fd38,No,Si,NoDisponible,,Si,,,,
