,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Echinocereus pacificus,42176,-115.5666667,31.0666667,,False,3,52.01,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f986d1de50fece506f3c738b1bcc3401,f986d1de50fece506f3c738b1bcc3401,No,
1,Echinocereus pacificus,42176,-115.575,31.075,,False,3,52.01,Equisetopsida,Caryophyllales,Cactaceae,1686,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=152e715aaa8327bf13b23a9b53955bf4,152e715aaa8327bf13b23a9b53955bf4,No,
2,Echinocereus pacificus,42176,-115.575,31.075,,False,3,52.01,Equisetopsida,Caryophyllales,Cactaceae,1686,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8dc8ffab85cd0a7cbd8d28fed248ce0a,8dc8ffab85cd0a7cbd8d28fed248ce0a,No,
3,Echinocereus pacificus,46746,-115.3916667,30.9916667,,False,4,77.4,Equisetopsida,Caryophyllales,Cactaceae,2042,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e1ef335569f32a380a571f9bdf8fc466,e1ef335569f32a380a571f9bdf8fc466,No,
4,Echinocereus pacificus,46740,-115.4416667,30.975,,False,3,59.81,Equisetopsida,Caryophyllales,Cactaceae,2562,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9844c8bdb93201c5e09df0d98c1b7472,9844c8bdb93201c5e09df0d98c1b7472,No,
5,Echinocereus pacificus,46740,-115.475,30.9416667,,False,3,59.81,Equisetopsida,Caryophyllales,Cactaceae,2325,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d40c453edef257b96491c27f1ca0911a,d40c453edef257b96491c27f1ca0911a,No,
6,Echinocereus pacificus,46740,-115.4416667,30.975,,False,3,59.81,Equisetopsida,Caryophyllales,Cactaceae,2562,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ca3cfec1f91b42c680fee54bb67ed2f3,ca3cfec1f91b42c680fee54bb67ed2f3,No,
7,Echinocereus pacificus,46740,-115.4416667,30.975,,False,3,59.81,Equisetopsida,Caryophyllales,Cactaceae,2562,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c360e5ab019cb63a6ca13755126a4dd,8c360e5ab019cb63a6ca13755126a4dd,No,
8,Echinocereus pacificus,42172,-115.5916667,30.975,,False,3,51.69,Equisetopsida,Caryophyllales,Cactaceae,2072,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=537a6860b2411f51003dc90c97716610,537a6860b2411f51003dc90c97716610,No,
9,Echinocereus pacificus,42172,-115.5916667,30.975,,False,3,51.69,Equisetopsida,Caryophyllales,Cactaceae,2072,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a3a967022c1d20054ec8835d553eda64,a3a967022c1d20054ec8835d553eda64,No,
10,Echinocereus pacificus,42271,-115.9,32.0333333,,False,2,38.27,Equisetopsida,Caryophyllales,Cactaceae,1634,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d6c32b57197785209417131ac647f08f,d6c32b57197785209417131ac647f08f,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura para la especie"
11,Echinocereus pacificus,37971,-116.61083,31.86361,,False,1,11.67,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12bcf28820f4751e79a2fb9f9d633a9d,12bcf28820f4751e79a2fb9f9d633a9d,No,
12,Echinocereus pacificus,46749,-115.4083333,31.0416667,,False,4,70.43,Equisetopsida,Caryophyllales,Cactaceae,1191,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b8b672a712952c5f845e9c84e42efd6a,b8b672a712952c5f845e9c84e42efd6a,No,
13,Echinocereus pacificus,37967,-116.475,31.7916667,,False,2,29.76,Equisetopsida,Caryophyllales,Cactaceae,294,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15f57a1bff9c233f667f42fe09e8223c,15f57a1bff9c233f667f42fe09e8223c,No,
14,Echinocereus pacificus,37967,-116.475,31.7916667,,False,2,29.76,Equisetopsida,Caryophyllales,Cactaceae,294,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21532e20470f7c0c1c614932b862fd20,21532e20470f7c0c1c614932b862fd20,No,
15,Echinocereus pacificus,37967,-116.475,31.7916667,,False,2,29.76,Equisetopsida,Caryophyllales,Cactaceae,294,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d9b9621a31dcd7c1216bd2ace879ec9,7d9b9621a31dcd7c1216bd2ace879ec9,No,
