,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
11,Echinocereus pamanesiorum,132432,-104.3952777,23.6875,,False,2,27.89,Equisetopsida,Caryophyllales,Cactaceae,1838,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1860f9ccec795decfff9b100647332d6,1860f9ccec795decfff9b100647332d6,Si,No,NoDisponible,,,,,,
2,Echinocereus pamanesiorum,132460,-104.0780555,23.5811111,,False,2,31.4,Equisetopsida,Caryophyllales,Cactaceae,2080,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=677335dbd43b70afff1aa657e9ea2d59,677335dbd43b70afff1aa657e9ea2d59,Si,No,NoDisponible,,,,,,
12,Echinocereus pamanesiorum,132376,-104.5044444,23.4005555,,False,2,29.11,Equisetopsida,Caryophyllales,Cactaceae,2336,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6ed4e3bb238d5568e9d5a90abc75b265,6ed4e3bb238d5568e9d5a90abc75b265,Si,No,NoDisponible,,,,,,
5,Echinocereus pamanesiorum,132371,-104.5291666,23.2386111,,False,1,24.55,Equisetopsida,Caryophyllales,Cactaceae,1255,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72721ff3b7b6034b30904f3010ed875b,72721ff3b7b6034b30904f3010ed875b,Si,Si,NoDisponible,Si,Si,,,,
8,Echinocereus pamanesiorum,132427,-104.3716666,23.4713888,,False,2,30.42,Equisetopsida,Caryophyllales,Cactaceae,1515,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77c0c273eb03de7bd7193363c5b2a3cf,77c0c273eb03de7bd7193363c5b2a3cf,Si,No,NoDisponible,,,,,,
3,Echinocereus pamanesiorum,132426,-104.4216666,23.5836111,,False,3,34.52,Equisetopsida,Caryophyllales,Cactaceae,1662,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9407341891bb47af9114518c85872393,9407341891bb47af9114518c85872393,Si,No,NoDisponible,,,,,,
10,Echinocereus pamanesiorum,132381,-104.4916666,23.3583333,,False,3,39.18,Equisetopsida,Caryophyllales,Cactaceae,2010,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b9721687f72097deb73e5f15812e99c,9b9721687f72097deb73e5f15812e99c,Si,No,NoDisponible,,,,,,
4,Echinocereus pamanesiorum,132371,-104.5322222,23.22,,False,1,24.55,Equisetopsida,Caryophyllales,Cactaceae,1385,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9defc848a4cf9f413412b9f5eed724ca,9defc848a4cf9f413412b9f5eed724ca,Si,Si,NoDisponible,Si,Si,,,,
9,Echinocereus pamanesiorum,132442,-104.4591666,23.845,,False,1,26.58,Equisetopsida,Caryophyllales,Cactaceae,1935,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a2875b9a6905d2fc15da33eefed6f1e8,a2875b9a6905d2fc15da33eefed6f1e8,Si,No,NoDisponible,,,,,,
6,Echinocereus pamanesiorum,132371,-104.525,23.2022222,,False,1,24.55,Equisetopsida,Caryophyllales,Cactaceae,1267,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b7abefc561faa199ee2157705f2334f9,b7abefc561faa199ee2157705f2334f9,Si,Si,NoDisponible,Si,Si,,,,
0,Echinocereus pamanesiorum,132347,-104.0611111,22.6786111,,False,0,7.37,Equisetopsida,Caryophyllales,Cactaceae,1117,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bd73361947c25b8698b65ba47c004b90,bd73361947c25b8698b65ba47c004b90,No,,NoDisponible,,,,,,
13,Echinocereus pamanesiorum,132439,-104.5083333,23.8583333,,False,1,25.96,Equisetopsida,Caryophyllales,Cactaceae,1938,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d566bafd38e1cffb4e189e1ced0879f1,d566bafd38e1cffb4e189e1ced0879f1,Si,No,NoDisponible,,,,,,
7,Echinocereus pamanesiorum,132427,-104.4083333,23.5083333,,False,2,30.42,Equisetopsida,Caryophyllales,Cactaceae,1470,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=df660cd1fa72655ce869defaa06d0d1b,df660cd1fa72655ce869defaa06d0d1b,Si,No,NoDisponible,,,,,,
1,Echinocereus pamanesiorum,132372,-104.5136111,23.2961111,,False,2,31.41,Equisetopsida,Caryophyllales,Cactaceae,1364,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fa2028004fbfa4ff7ceb0a796fb42075,fa2028004fbfa4ff7ceb0a796fb42075,Si,Si,NoDisponible,Si,Si,,,,
