,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
12,Echinocereus sciurus,86943,-110.125,23.3583333,,False,1,32.54,Equisetopsida,Caryophyllales,Cactaceae,157,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034d3d9f03a9cb795f675095759d7de0,034d3d9f03a9cb795f675095759d7de0,No,,NoDisponible,,,,,,
6,Echinocereus sciurus,86959,-109.8583333,23.125,,False,1,15.33,Equisetopsida,Caryophyllales,Cactaceae,551,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d2014e7ea35f3e552c6261474289dea,0d2014e7ea35f3e552c6261474289dea,No,,NoDisponible,,,,,,
13,Echinocereus sciurus,91531,-109.5416667,23.5083333,,False,1,28.11,Equisetopsida,Caryophyllales,Cactaceae,112,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11e3061ec84ac71cd9ae6ff403d7ca66,11e3061ec84ac71cd9ae6ff403d7ca66,No,,NoDisponible,,,,,,
3,Echinocereus sciurus,91460,-109.70806,23.06139,,False,1,26.71,Equisetopsida,Caryophyllales,Cactaceae,43,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c974e4bca236785ea6502d93986ac33,1c974e4bca236785ea6502d93986ac33,No,,NoDisponible,,,,,,
5,Echinocereus sciurus,91460,-109.70806,23.06139,,False,1,26.71,Equisetopsida,Caryophyllales,Cactaceae,43,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=445787ae026865f06bdb525e5fb2240c,445787ae026865f06bdb525e5fb2240c,No,,NoDisponible,,,,,,
11,Echinocereus sciurus,64599,-113.1583333,27.4916667,,False,1,3.44,Equisetopsida,Caryophyllales,Cactaceae,264,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45efee02fe15b6f08b09d6e06fbc8f0a,45efee02fe15b6f08b09d6e06fbc8f0a,Si,No,NoDisponible,No,Si,,,,
1,Echinocereus sciurus,86910,-109.925,22.9083333,,False,1,29.66,Equisetopsida,Caryophyllales,Cactaceae,48,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48668205909aa6f3c5fb126e5d27725f,48668205909aa6f3c5fb126e5d27725f,No,,NoDisponible,,,,,,
0,Echinocereus sciurus,86910,-109.91556,22.88972,,False,1,29.66,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7cf7425c6cedf877cacf4041ae75e019,7cf7425c6cedf877cacf4041ae75e019,No,,NoDisponible,,,,,,
4,Echinocereus sciurus,91460,-109.70806,23.06139,,False,1,26.71,Equisetopsida,Caryophyllales,Cactaceae,43,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8330160bb9e0a00b50f43f5d89f32fd5,8330160bb9e0a00b50f43f5d89f32fd5,No,,NoDisponible,,,,,,
2,Echinocereus sciurus,86910,-109.91556,22.88972,,False,1,29.66,Equisetopsida,Caryophyllales,Cactaceae,19,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ba0e45de1039934f036f63c4945ca5c0,ba0e45de1039934f036f63c4945ca5c0,No,,NoDisponible,,,,,,
9,Echinocereus sciurus,86958,-109.9179272,23.1907024,,True,0,-140.63,Equisetopsida,Caryophyllales,Cactaceae,1222,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d497dd2e3ab6d5ba73b2e2edde5a68f8,d497dd2e3ab6d5ba73b2e2edde5a68f8,No,,NoDisponible,,,,,,
10,Echinocereus sciurus,86927,-110.125,23.0916667,,False,1,23.47,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d854c470a506325dd9333bff517794b6,d854c470a506325dd9333bff517794b6,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
7,Echinocereus sciurus,86955,-109.8737444,22.9942886,,False,1,33.22,Equisetopsida,Caryophyllales,Cactaceae,258,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e47e001548fc94b025bc6159f5357425,e47e001548fc94b025bc6159f5357425,No,,NoDisponible,,,,,,
8,Echinocereus sciurus,96351,-109.0104244,25.953033,,False,1,6.81,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e954da138c1f193e42fea89c0158acbd,e954da138c1f193e42fea89c0158acbd,Si,No,NoDisponible,No,Si,,,,
