,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
165,Echinocereus stramineus,156413,-101.2985799,25.4541247,,False,2,18.43,Equisetopsida,Caryophyllales,Cactaceae,1611,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01df28bbcce176c55c86f41258825a83,01df28bbcce176c55c86f41258825a83,No,,NoDisponible,,,,,,
88,Echinocereus stramineus,161249,-100.8937349,25.5785449,,False,2,19.41,Equisetopsida,Caryophyllales,Cactaceae,1323,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056d7afc301392c767571b28b54a1691,056d7afc301392c767571b28b54a1691,No,,NoDisponible,,,,,,
33,Echinocereus stramineus,137250,-103.7205555,24.6197222,,False,1,4.45,Equisetopsida,Caryophyllales,Cactaceae,2216,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=095935f8e1d9f46b91310fd0ee86feec,095935f8e1d9f46b91310fd0ee86feec,No,,NoDisponible,,,,,,
118,Echinocereus stramineus,161264,-100.6470716,25.788438,,False,2,24.07,Equisetopsida,Caryophyllales,Cactaceae,840,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cac0b9dc96829a71d41569b19817002,0cac0b9dc96829a71d41569b19817002,No,,NoDisponible,,,,,,
176,Echinocereus stramineus,170656,-99.8083333,23.4416667,,False,1,9.21,Equisetopsida,Caryophyllales,Cactaceae,2174,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d200d1905b61596a892d0b2e3e6497c,0d200d1905b61596a892d0b2e3e6497c,No,,NoDisponible,,,,,,
70,Echinocereus stramineus,161280,-100.6436788,26.0463338,,False,2,17.51,Equisetopsida,Caryophyllales,Cactaceae,764,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f8d7bab24801000293d2bcc411ec2fa,0f8d7bab24801000293d2bcc411ec2fa,No,,NoDisponible,,,,,,
68,Echinocereus stramineus,161280,-100.6774108,26.0427869,,False,2,17.51,Equisetopsida,Caryophyllales,Cactaceae,755,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=137b2a90a435c20f1e4535d68af8ea8c,137b2a90a435c20f1e4535d68af8ea8c,No,,NoDisponible,,,,,,
90,Echinocereus stramineus,161249,-100.8733688,25.5991719,,False,2,19.41,Equisetopsida,Caryophyllales,Cactaceae,1314,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15bad6a2515d62eb8fa33763f2888704,15bad6a2515d62eb8fa33763f2888704,No,,NoDisponible,,,,,,
49,Echinocereus stramineus,132606,-104.1483333,24.9775,,False,2,17.3,Equisetopsida,Caryophyllales,Cactaceae,1513,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16195e8a13deaf14b12525bb0a1cb276,16195e8a13deaf14b12525bb0a1cb276,No,,NoDisponible,,,,,,
137,Echinocereus stramineus,166101,-100.6041758,25.9661038,,False,2,18.58,Equisetopsida,Caryophyllales,Cactaceae,625,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17cbdc851988497369b712ddea0da026,17cbdc851988497369b712ddea0da026,No,,NoDisponible,,,,,,
