,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
20,Echinocereus triglochidiatus,105472,-107.5338889,27.6025,,True,3,-1.8,Equisetopsida,Caryophyllales,Cactaceae,2271,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=068bc0d3ff500d5957389d3bed4a0237,068bc0d3ff500d5957389d3bed4a0237,Si,No,NoDisponibe,No,Si,,,,
7,Echinocereus triglochidiatus,151581,-102.1825,25.4403,,True,1,-15.81,Equisetopsida,Caryophyllales,Cactaceae,1531,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=098f78c04b3cbfd9f594685d1ea6f0e8,098f78c04b3cbfd9f594685d1ea6f0e8,Si,No,NoDisponibe,No,Si,,,,
14,Echinocereus triglochidiatus,109933,-107.0321988,27.2532558,,True,2,-5.03,Equisetopsida,Caryophyllales,Cactaceae,2311,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13751537c8f22aecd2049f6a57343d5b,13751537c8f22aecd2049f6a57343d5b,Si,No,NoDisponibe,No,Si,,,,
8,Echinocereus triglochidiatus,151581,-102.1825,25.4403,,True,1,-15.81,Equisetopsida,Caryophyllales,Cactaceae,1531,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=143da68b149f10d748d0d450abc845b9,143da68b149f10d748d0d450abc845b9,Si,No,NoDisponibe,No,Si,,,,
11,Echinocereus triglochidiatus,137153,-103.9897158,24.0013077,,True,2,-8.97,Equisetopsida,Caryophyllales,Cactaceae,1943,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14b9197044f7bdff48def22185674a93,14b9197044f7bdff48def22185674a93,Si,No,NoDisponibe,No,Si,,,,
9,Echinocereus triglochidiatus,123818,-105.32694,29.20778,,True,2,-9.5,Equisetopsida,Caryophyllales,Cactaceae,1260,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=283b486ecc1182eebfa1d2397bc063c0,283b486ecc1182eebfa1d2397bc063c0,Si,No,NoDisponibe,No,Si,,,,
1,Echinocereus triglochidiatus,101291,-108.1413889,29.19,,True,3,-2.55,Equisetopsida,Caryophyllales,Cactaceae,2104,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4233f06285e6a766a73febecc95a7c53,4233f06285e6a766a73febecc95a7c53,Si,No,NoDisponibe,No,Si,,,,
17,Echinocereus triglochidiatus,105517,-107.6488889,27.7433333,,True,3,-0.41,Equisetopsida,Caryophyllales,Cactaceae,2361,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55700de869024a137c2dc1bbade5718e,55700de869024a137c2dc1bbade5718e,Si,No,NoDisponibe,No,Si,,,,
6,Echinocereus triglochidiatus,156941,-101.558333,29.808333,,True,3,-4.8,Equisetopsida,Caryophyllales,Cactaceae,388,Terrestre,1908,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5853196e1c0a0f90c23dac6f117c8738,5853196e1c0a0f90c23dac6f117c8738,Si,No,NoDisponibe,No,Si,,,,
18,Echinocereus triglochidiatus,105517,-107.6369444,27.795,,True,3,-0.41,Equisetopsida,Caryophyllales,Cactaceae,2446,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=612797f90ea95ce81af660b926be034c,612797f90ea95ce81af660b926be034c,Si,No,NoDisponibe,No,Si,,,,
21,Echinocereus triglochidiatus,105456,-107.53972,27.30111,,True,2,-10.61,Equisetopsida,Caryophyllales,Cactaceae,2139,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=62d36b8373200c18c1677ed04a8f4920,62d36b8373200c18c1677ed04a8f4920,Si,No,NoDisponibe,No,Si,,,,
19,Echinocereus triglochidiatus,105514,-107.6208333,27.7369444,,True,3,-0.59,Equisetopsida,Caryophyllales,Cactaceae,2411,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=751443bea5e5e598e6d37f0eb8b7617d,751443bea5e5e598e6d37f0eb8b7617d,Si,No,NoDisponibe,No,Si,,,,
16,Echinocereus triglochidiatus,133164,-104.1156288,29.2013969,,True,1,-16.93,Equisetopsida,Caryophyllales,Cactaceae,1405,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ecacdc0b156e9924fb6cc3f0171d7c6,8ecacdc0b156e9924fb6cc3f0171d7c6,Si,No,NoDisponibe,No,Si,,,,
5,Echinocereus triglochidiatus,132413,-104.1416667,23.3916667,,True,2,-7.85,Equisetopsida,Caryophyllales,Cactaceae,2303,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9234211db72ff5af0db8da9bbba2abf7,9234211db72ff5af0db8da9bbba2abf7,Si,No,NoDisponibe,No,Si,,,,
4,Echinocereus triglochidiatus,132413,-104.1430556,23.3930556,,True,2,-7.85,Equisetopsida,Caryophyllales,Cactaceae,2320,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ab2eaff9fd93497fb6bd05e710c42a97,ab2eaff9fd93497fb6bd05e710c42a97,Si,No,NoDisponibe,No,Si,,,,
15,Echinocereus triglochidiatus,147253,-102.5778658,29.0249927,,True,0,-22.31,Equisetopsida,Caryophyllales,Cactaceae,2031,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bd516ea340072d450376b2d2c5b3f3b3,bd516ea340072d450376b2d2c5b3f3b3,Si,No,NoDisponibe,No,Si,,,,
10,Echinocereus triglochidiatus,175601,-99.1461,23.7361,,True,1,-18.8,Equisetopsida,Caryophyllales,Cactaceae,325,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be00933160602a87530a29f18956159d,be00933160602a87530a29f18956159d,Si,No,NoDisponibe,No,Si,,,,
