,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Epiphyllum crenatum,218064,-94.0161111,16.6536111,,False,1,23.41,Equisetopsida,Caryophyllales,Cactaceae,1329,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b70454d1c78dbea43417686ddbdae8a2,b70454d1c78dbea43417686ddbdae8a2,No,
1,Epiphyllum crenatum,218064,-94.01,16.65,,False,1,23.41,Equisetopsida,Caryophyllales,Cactaceae,1339,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13771fdb7e508accdd49c217420f609f,13771fdb7e508accdd49c217420f609f,No,
2,Epiphyllum crenatum,218064,-94.0161,16.6536,,False,1,23.41,Equisetopsida,Caryophyllales,Cactaceae,1329,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a573ce9a108a58a9d038c0fa55245d3d,a573ce9a108a58a9d038c0fa55245d3d,No,
3,Epiphyllum crenatum,226725,-92.8463889,17.1916667,,False,3,50.81,Equisetopsida,Caryophyllales,Cactaceae,1545,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f6718714fc614a5d64bc98446aed8fc8,f6718714fc614a5d64bc98446aed8fc8,No,
4,Epiphyllum crenatum,239305,-91.2538889,17.0155556,,False,0,12.59,Equisetopsida,Caryophyllales,Cactaceae,270,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e3ba589fd77990f4fc4aaa94d78afffe,e3ba589fd77990f4fc4aaa94d78afffe,No,
5,Epiphyllum crenatum,209078,-95.0880556,18.5891667,,False,0,15,Equisetopsida,Caryophyllales,Cactaceae,159,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9c277783b2ba0afd6f0a3f32aeb93856,9c277783b2ba0afd6f0a3f32aeb93856,No,
6,Epiphyllum crenatum,230865,-92.5583333,16.7416667,,False,0,20.91,Equisetopsida,Caryophyllales,Cactaceae,2338,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f10c676cbccc6b49427414f708ce3fb5,f10c676cbccc6b49427414f708ce3fb5,No,
7,Epiphyllum crenatum,194838,-97.0916667,19.1416667,,False,1,29.33,Equisetopsida,Caryophyllales,Cactaceae,1836,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b089cb7c673331d517743b8a7005e3e7,b089cb7c673331d517743b8a7005e3e7,No,
8,Epiphyllum crenatum,194986,-96.6916667,19.7916667,,False,1,22.49,Equisetopsida,Caryophyllales,Cactaceae,894,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7a2d83a24b2b1ee59eaad212b59c6d33,7a2d83a24b2b1ee59eaad212b59c6d33,No,
9,Epiphyllum crenatum,239252,-91.3083333,16.825,,False,0,20.33,Equisetopsida,Caryophyllales,Cactaceae,633,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a928ada1448072c391f0cbf82a58926c,a928ada1448072c391f0cbf82a58926c,No,
