,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1,Epiphyllum hookeri,265643,-87.4319444,21.3513889,,True,3,-6.1,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cf944ac6f7c94522ede26f127bb684c,0cf944ac6f7c94522ede26f127bb684c,No,,NoDisponible,,,,,,
2,Epiphyllum hookeri,265643,-87.4319444,21.3513889,,True,3,-6.1,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5916da7dbd1ad3460cc0e763e8b10b9c,5916da7dbd1ad3460cc0e763e8b10b9c,No,,NoDisponible,,,,,,
7,Epiphyllum hookeri,261094,-88.2013889,19.395,,True,3,-4.14,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c190814609a23d9ce54e750a39e2ac8,5c190814609a23d9ce54e750a39e2ac8,No,,NoDisponible,,,,,,
13,Epiphyllum hookeri,256704,-88.5722222,19.1722222,,True,3,-4.98,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=672aad78f0c43c6c221d010457fb52ae,672aad78f0c43c6c221d010457fb52ae,No,,NoDisponible,,,,,,
8,Epiphyllum hookeri,261317,-88.5166667,21.5166667,,True,3,-11.76,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6dd924356db3cbbd910e8c9e615c8094,6dd924356db3cbbd910e8c9e615c8094,Si,Si,NoDisponible,Si,Si,,,,
0,Epiphyllum hookeri,165294,-100.12056,18.90083,,True,0,-54.44,Equisetopsida,Caryophyllales,Cactaceae,1413,Terrestre,1933,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72347fff5dd491ea95ae0bcbaad12a0b,72347fff5dd491ea95ae0bcbaad12a0b,Si,No,NoDisponible,No,No,,,,
14,Epiphyllum hookeri,208889,-94.9788888,16.7429722,,True,2,-22.12,Equisetopsida,Caryophyllales,Cactaceae,285,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=731761e9f95f1e8b6f0d4a6a1ccb999d,731761e9f95f1e8b6f0d4a6a1ccb999d,No,,NoDisponible,,,,,,
6,Epiphyllum hookeri,252213,-89.3869444,17.9977778,,True,3,-9.48,Equisetopsida,Caryophyllales,Cactaceae,259,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d69ddb4f48f7f6264db2e14b8e8daf5,7d69ddb4f48f7f6264db2e14b8e8daf5,No,,NoDisponible,,,,,,
5,Epiphyllum hookeri,256594,-89.1,18.4333333,,True,3,-10.37,Equisetopsida,Caryophyllales,Cactaceae,140,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=847e871d6aff69ee1929c4bbd702167b,847e871d6aff69ee1929c4bbd702167b,No,,NoDisponible,,,,,,
12,Epiphyllum hookeri,261102,-88.0569444,19.3875,,True,3,-5,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c4a1552bf78a79d7b7d278136f7586c,8c4a1552bf78a79d7b7d278136f7586c,No,,NoDisponible,,,,,,
