,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Epiphyllum pumilum,218144,-94.0288889,17.53,,False,2,37.16,Equisetopsida,Caryophyllales,Cactaceae,101,Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=191f90ccbbdfcf4a16ef682ba8d8e60d,191f90ccbbdfcf4a16ef682ba8d8e60d,Si,"fuera del polígono, la literatura no refiere Estados, refiere a todo México como especie de amplia distribución, pero rara de encontrar en vida silvestre"
1,Epiphyllum pumilum,218144,-94.0288889,17.53,,False,2,37.16,Equisetopsida,Caryophyllales,Cactaceae,101,Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=326ab546f95e0c6c5bf51ef0ae8f4fd0,326ab546f95e0c6c5bf51ef0ae8f4fd0,Si,"fuera del polígono, la literatura no refiere Estados, refiere a todo México como especie de amplia distribución, pero rara de encontrar en vida silvestre"
2,Epiphyllum pumilum,218144,-94.0288889,17.53,,False,2,37.16,Equisetopsida,Caryophyllales,Cactaceae,101,Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3583ea366f29fc1fbc4afc3f9c82fc8d,3583ea366f29fc1fbc4afc3f9c82fc8d,Si,"fuera del polígono, la literatura no refiere Estados, refiere a todo México como especie de amplia distribución, pero rara de encontrar en vida silvestre"
3,Epiphyllum pumilum,218144,-94.0288889,17.53,,False,2,37.16,Equisetopsida,Caryophyllales,Cactaceae,101,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f9196ff78e1163c8bb6987d0e1c465c,8f9196ff78e1163c8bb6987d0e1c465c,Si,"fuera del polígono, la literatura no refiere Estados, refiere a todo México como especie de amplia distribución, pero rara de encontrar en vida silvestre"
4,Epiphyllum pumilum,218144,-94.0288889,17.53,,False,2,37.16,Equisetopsida,Caryophyllales,Cactaceae,101,Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cdf90f24b5e557e29a3d203c71ca64e2,cdf90f24b5e557e29a3d203c71ca64e2,Si,"fuera del polígono, la literatura no refiere Estados, refiere a todo México como especie de amplia distribución, pero rara de encontrar en vida silvestre"
5,Epiphyllum pumilum,209080,-95.0522222,18.5861111,,False,2,27.67,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cdcdf7fd12b1b2e7281657855fb83e49,cdcdf7fd12b1b2e7281657855fb83e49,No,
6,Epiphyllum pumilum,209080,-95.07,18.6016667,,False,2,27.67,Equisetopsida,Caryophyllales,Cactaceae,31,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c6d7a0b1fdab5698e05efc445f5790,02c6d7a0b1fdab5698e05efc445f5790,No,
7,Epiphyllum pumilum,209080,-95.07,18.6016667,,False,2,27.67,Equisetopsida,Caryophyllales,Cactaceae,31,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a913223fbee88045a53cb9f9cd5812e7,a913223fbee88045a53cb9f9cd5812e7,No,
8,Epiphyllum pumilum,209080,-95.07194,18.61944,,False,2,27.67,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a82348c6b0af62f84218b935f12879b,6a82348c6b0af62f84218b935f12879b,No,
9,Epiphyllum pumilum,222529,-93.65574,17.00809,,False,2,37.63,Equisetopsida,Caryophyllales,Cactaceae,880,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f5af6474f511c1753360bc4d24a6c91,7f5af6474f511c1753360bc4d24a6c91,Si,"fuera del polígono, la literatura no refiere Estados, refiere a todo México como especie de amplia distribución, pero rara de encontrar en vida silvestre"
