,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
27,Epithelantha micromeris,151553,-102.30833,25.07778,,False,2,7.09,Equisetopsida,Caryophyllales,Cactaceae,1296,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000b1e6826bc4b8ee6515790b3ad0690,000b1e6826bc4b8ee6515790b3ad0690,No,,NoDisponible,,,,,,
28,Epithelantha micromeris,161177,-100.9746781,25.3382069,,False,3,16.08,Equisetopsida,Caryophyllales,Cactaceae,2106,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017f8248f8ae3f7ec5bfdfbc8e829899,017f8248f8ae3f7ec5bfdfbc8e829899,No,,NoDisponible,,,,,,
84,Epithelantha micromeris,166146,-100.5628036,26.1886149,,False,3,28.93,Equisetopsida,Caryophyllales,Cactaceae,711,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0180dcbb34844fad31ac777e1d9080ed,0180dcbb34844fad31ac777e1d9080ed,No,,NoDisponible,,,,,,
65,Epithelantha micromeris,146819,-102.8199905,25.6136661,,False,2,11.17,Equisetopsida,Caryophyllales,Cactaceae,1136,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=064846905eb4b039164b670c375d5a17,064846905eb4b039164b670c375d5a17,No,,NoDisponible,,,,,,
60,Epithelantha micromeris,151794,-102.0231958,26.9113869,,False,2,8.16,Equisetopsida,Caryophyllales,Cactaceae,707,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf58d36bda051694713314b23a1c3f7,0bf58d36bda051694713314b23a1c3f7,No,,NoDisponible,,,,,,
59,Epithelantha micromeris,161166,-101.0354324,25.258108,,False,2,10.48,Equisetopsida,Caryophyllales,Cactaceae,2089,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d62bea1ffc00f7ab93d491d78adee21,0d62bea1ffc00f7ab93d491d78adee21,No,,NoDisponible,,,,,,
64,Epithelantha micromeris,161159,-101.1115308,25.2068366,,False,2,10.55,Equisetopsida,Caryophyllales,Cactaceae,1909,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=108d1bfd7d5a12001293fbbb3aa42ff4,108d1bfd7d5a12001293fbbb3aa42ff4,No,,NoDisponible,,,,,,
47,Epithelantha micromeris,166011,-100.0857297,24.7847438,,False,3,18.05,Equisetopsida,Caryophyllales,Cactaceae,1652,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1156c4b5ec858b5c71283a8159e636a0,1156c4b5ec858b5c71283a8159e636a0,No,,NoDisponible,,,,,,
70,Epithelantha micromeris,166169,-100.4554302,26.3807741,,False,3,22.5,Equisetopsida,Caryophyllales,Cactaceae,680,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16a5437c3027f21a9426cc1dd4947622,16a5437c3027f21a9426cc1dd4947622,Si,Si,NoDisponible,Si,Si,,,,
72,Epithelantha micromeris,161338,-100.7132788,26.4526569,,False,2,12.43,Equisetopsida,Caryophyllales,Cactaceae,646,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1aa83198adc276962bfe73ea753c6069,1aa83198adc276962bfe73ea753c6069,No,,NoDisponible,,,,,,
