,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Escobaria emskoetteriana,166133,-100.27089,26.00302,,False,3,27.88,Equisetopsida,Caryophyllales,Cactaceae,435,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dd2a9871c79b51ef42e84a416d81d525,dd2a9871c79b51ef42e84a416d81d525,No,
1,Escobaria emskoetteriana,142136,-103.09196,26.04249,,True,0,-5.65,Equisetopsida,Caryophyllales,Cactaceae,1100,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61ebec51516d54321a79a1a40a1cefd5,61ebec51516d54321a79a1a40a1cefd5,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
2,Escobaria emskoetteriana,166134,-100.25405,26.01473,,False,3,25,Equisetopsida,Caryophyllales,Cactaceae,437,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5cae6566e4ec2e6a19e4a21ae528c14c,5cae6566e4ec2e6a19e4a21ae528c14c,No,
3,Escobaria emskoetteriana,166134,-100.25405,26.01473,,False,3,25,Equisetopsida,Caryophyllales,Cactaceae,437,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b55fb8ca2609e3058c273a7835d53d5d,b55fb8ca2609e3058c273a7835d53d5d,No,
4,Escobaria emskoetteriana,166134,-100.25453,26.01572,,False,3,25,Equisetopsida,Caryophyllales,Cactaceae,438,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=557dd1593e6bc89c19c332df9c8ad8aa,557dd1593e6bc89c19c332df9c8ad8aa,No,
5,Escobaria emskoetteriana,175776,-99.2011,25.52459,,False,3,18.86,Equisetopsida,Caryophyllales,Cactaceae,191,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=793596bc82ee6e2c5ac3edcad2802da1,793596bc82ee6e2c5ac3edcad2802da1,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
6,Escobaria emskoetteriana,166104,-100.53252,26.04036,,False,2,12.37,Equisetopsida,Caryophyllales,Cactaceae,668,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6f3380b6265c90fc9234fb51aaa3db52,6f3380b6265c90fc9234fb51aaa3db52,No,
7,Escobaria emskoetteriana,166104,-100.53,26.02,,False,2,12.37,Equisetopsida,Caryophyllales,Cactaceae,644,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b36d7f0ce9cfed214a14976f6af5fc63,b36d7f0ce9cfed214a14976f6af5fc63,No,
8,Escobaria emskoetteriana,166310,-100.32,27.3,,False,2,17.92,Equisetopsida,Caryophyllales,Cactaceae,212,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c3bb5a975be5d2c307f99257bcf8bb10,c3bb5a975be5d2c307f99257bcf8bb10,No,
9,Escobaria emskoetteriana,166310,-100.32,27.3,,False,2,17.92,Equisetopsida,Caryophyllales,Cactaceae,212,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d464100e261549e241529f86a3a93e73,d464100e261549e241529f86a3a93e73,No,
10,Escobaria emskoetteriana,166310,-100.32,27.3,,False,2,17.92,Equisetopsida,Caryophyllales,Cactaceae,212,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f1342f982b7e805df1db5229ec26049a,f1342f982b7e805df1db5229ec26049a,No,
11,Escobaria emskoetteriana,166310,-100.32,27.3,,False,2,17.92,Equisetopsida,Caryophyllales,Cactaceae,212,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=291abef8689eda019aa52b12e3afecd2,291abef8689eda019aa52b12e3afecd2,No,
12,Escobaria emskoetteriana,175826,-99.4,25.91,,False,3,21.09,Equisetopsida,Caryophyllales,Cactaceae,144,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=639a1e93702dcc8c10b4c1a8a7591557,639a1e93702dcc8c10b4c1a8a7591557,No,
13,Escobaria emskoetteriana,175826,-99.3955399,25.9184838,,False,3,21.09,Equisetopsida,Caryophyllales,Cactaceae,168,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d11578e519bed60833b1029cdad1247b,d11578e519bed60833b1029cdad1247b,No,
14,Escobaria emskoetteriana,175826,-99.3955399,25.9184838,,False,3,21.09,Equisetopsida,Caryophyllales,Cactaceae,168,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e34ca02287ce5a1abfd6a6b6a796d60f,e34ca02287ce5a1abfd6a6b6a796d60f,No,
15,Escobaria emskoetteriana,175826,-99.4394499,25.9062819,,False,3,21.09,Equisetopsida,Caryophyllales,Cactaceae,144,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ec927cacf0e56884658aaa325710168e,ec927cacf0e56884658aaa325710168e,No,
16,Escobaria emskoetteriana,171004,-99.4828838,25.8902008,,False,3,24.02,Equisetopsida,Caryophyllales,Cactaceae,166,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39460193cadac6f996b0835e5486dced,39460193cadac6f996b0835e5486dced,No,
17,Escobaria emskoetteriana,166191,-100.0956858,26.2162119,,False,3,25.28,Equisetopsida,Caryophyllales,Cactaceae,482,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5dbdc14596009f4c069b7e72edb008bf,5dbdc14596009f4c069b7e72edb008bf,No,
18,Escobaria emskoetteriana,166191,-100.0956858,26.2162119,,False,3,25.28,Equisetopsida,Caryophyllales,Cactaceae,482,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9911b4fbad7141ccf7001949535e398c,9911b4fbad7141ccf7001949535e398c,No,
19,Escobaria emskoetteriana,166108,-100.3606222,25.8911949,,False,3,26.28,Equisetopsida,Caryophyllales,Cactaceae,512,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ae3bce379d4a691d3d683b0320263141,ae3bce379d4a691d3d683b0320263141,No,
20,Escobaria emskoetteriana,166107,-100.3638408,25.8686844,,False,3,25.26,Equisetopsida,Caryophyllales,Cactaceae,523,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d34e8c078b277909c455bddf0754c461,d34e8c078b277909c455bddf0754c461,No,
21,Escobaria emskoetteriana,166132,-100.2120786,25.9164416,,False,3,22.12,Equisetopsida,Caryophyllales,Cactaceae,417,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=115c222674ee15d8e456a34b72f0ac98,115c222674ee15d8e456a34b72f0ac98,No,
