,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Ferocactus fordii,42082,-115.7916667,30.1916667,,False,5,20.72,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f31265e90a1208f478fe0f0153403a7,5f31265e90a1208f478fe0f0153403a7,No,
1,Ferocactus fordii,42082,-115.7916667,30.1916667,,False,5,20.72,Equisetopsida,Caryophyllales,Cactaceae,15,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4665224655375abdfcb05dc2f9f4744a,4665224655375abdfcb05dc2f9f4744a,No,
2,Ferocactus fordii,42039,-115.7280556,30.0588889,,False,5,21.63,Equisetopsida,Caryophyllales,Cactaceae,42,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25e7e7b22097bda43218f1e094dbb4c4,25e7e7b22097bda43218f1e094dbb4c4,No,
3,Ferocactus fordii,42170,-115.6630556,30.9672222,,False,2,5.79,Equisetopsida,Caryophyllales,Cactaceae,1251,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f8110ad3f2973a27e220e81858d93b61,f8110ad3f2973a27e220e81858d93b61,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
4,Ferocactus fordii,42086,-115.816667,30.35,,False,5,19.8,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=241e4961cd5cb0a20563bd7146848bb4,241e4961cd5cb0a20563bd7146848bb4,No,
5,Ferocactus fordii,42086,-115.825,30.3416667,,False,5,19.8,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d56177efe948363ca3241db5a69f1e9,5d56177efe948363ca3241db5a69f1e9,No,
6,Ferocactus fordii,42081,-115.7838888,30.1833333,,False,5,19.85,Equisetopsida,Caryophyllales,Cactaceae,133,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4bfe226895e09a4e6427eb648ff8f41f,4bfe226895e09a4e6427eb648ff8f41f,No,
7,Ferocactus fordii,51012,-114.89583,27.69167,,False,4,15.19,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d4f4ababd900049d72260339b7ada1f,1d4f4ababd900049d72260339b7ada1f,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
8,Ferocactus fordii,51012,-114.89583,27.69167,,False,4,15.19,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=231388e42d8b43ad98897a4400f5145a,231388e42d8b43ad98897a4400f5145a,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
9,Ferocactus fordii,51012,-114.89583,27.69167,,False,4,15.19,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7a6635912c1567446d1345e3eb54b006,7a6635912c1567446d1345e3eb54b006,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
10,Ferocactus fordii,51012,-114.89583,27.69167,,False,4,15.19,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=baa58a907463553d814f658e0e2a9c32,baa58a907463553d814f658e0e2a9c32,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
11,Ferocactus fordii,51012,-114.89583,27.69167,,False,4,15.19,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e42e0f111a2e37d6ff78cd153ead6e38,e42e0f111a2e37d6ff78cd153ead6e38,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
12,Ferocactus fordii,46581,-115.2675,29.52222,,False,4,16.16,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7fa29140bf7160e531120c42be090888,7fa29140bf7160e531120c42be090888,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
13,Ferocactus fordii,55715,-114.0083333,28.175,,False,5,20.69,Equisetopsida,Caryophyllales,Cactaceae,27,Terrestre,1898,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52d4933449a6d199c103c08c05724093,52d4933449a6d199c103c08c05724093,No,
14,Ferocactus fordii,46625,-115.2083333,29.6416667,,False,4,13.09,Equisetopsida,Caryophyllales,Cactaceae,188,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f34b6c076cad8ea66d7bd4aa1f2406c,8f34b6c076cad8ea66d7bd4aa1f2406c,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
15,Ferocactus fordii,42073,-115.925,30.4083333,,False,5,20.05,Equisetopsida,Caryophyllales,Cactaceae,5,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c910e55d4da93397d8d61097a795a45,3c910e55d4da93397d8d61097a795a45,No,
16,Ferocactus fordii,42085,-115.8083333,30.3083333,,False,5,20.71,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06630d306c19d7779e78c4c3e981aa9d,06630d306c19d7779e78c4c3e981aa9d,No,
17,Ferocactus fordii,42068,-116.0416667,30.475,,False,5,21.78,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=736affb602b76f3235bc01ad0b2bfa6f,736affb602b76f3235bc01ad0b2bfa6f,No,
18,Ferocactus fordii,42269,-115.9347055,32.0209388,,True,0,-2.25,Equisetopsida,Caryophyllales,Cactaceae,1662,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3ce0b8cd610a11881a72511af46be9,0b3ce0b8cd610a11881a72511af46be9,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
19,Ferocactus fordii,55605,-114.1182402,27.5326277,,False,4,14.89,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=449ec966897cf54b8bbb480e2b9a8c4f,449ec966897cf54b8bbb480e2b9a8c4f,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
20,Ferocactus fordii,55623,-114.2658761,27.757815,,False,3,9.84,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=331ff9bbd7ba8c533f5a9783cc185e0b,331ff9bbd7ba8c533f5a9783cc185e0b,Si,"aunque fuera del polígono, en el mar, dentro con margen de tolerancia"
21,Ferocactus fordii,55668,-114.0230661,27.9809072,,False,1,1.47,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9c87076a523f79fcc37e78fc5e44fb7c,9c87076a523f79fcc37e78fc5e44fb7c,No,
22,Ferocactus fordii,42099,-115.7696552,30.3990883,,False,4,16.85,Equisetopsida,Caryophyllales,Cactaceae,88,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a85ec8df4c91bd6f450c4e00b66d211,9a85ec8df4c91bd6f450c4e00b66d211,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
23,Ferocactus fordii,46627,-115.17718,29.63577,,False,4,13.42,Equisetopsida,Caryophyllales,Cactaceae,311,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e66e6dba0869ecf86e0089fe355e6a3c,e66e6dba0869ecf86e0089fe355e6a3c,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
24,Ferocactus fordii,34139,-117.0583333,32.3583333,,False,4,15.17,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=961392073d92e4485ec569bec8c93b05,961392073d92e4485ec569bec8c93b05,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
