,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
91,Ferocactus haematacanthus,189858,-97.4015555,18.7059444,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2374,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c73bd2798dc9ac2565b1ceee11fd00,00c73bd2798dc9ac2565b1ceee11fd00,No,,NoDisponible,,,,,,
229,Ferocactus haematacanthus,189787,-97.4862219,18.365083,,False,7,51.64,Equisetopsida,Caryophyllales,Cactaceae,2376,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fcc3cd90c7757af6b9272f07c28860,01fcc3cd90c7757af6b9272f07c28860,No,,NoDisponible,,,,,,
214,Ferocactus haematacanthus,189787,-97.486083,18.36525,,False,7,51.64,Equisetopsida,Caryophyllales,Cactaceae,2390,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c3a47ae53f397438939fa79de77f9c,03c3a47ae53f397438939fa79de77f9c,No,,NoDisponible,,,,,,
99,Ferocactus haematacanthus,189858,-97.3954166,18.707,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=040cd1e442d8ea2a16d41e19b94341e3,040cd1e442d8ea2a16d41e19b94341e3,No,,NoDisponible,,,,,,
117,Ferocactus haematacanthus,189775,-97.45,18.2666667,,False,5,40.65,Equisetopsida,Caryophyllales,Cactaceae,2429,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a1dacce8b307ac464270047e3870205,0a1dacce8b307ac464270047e3870205,No,,NoDisponible,,,,,,
154,Ferocactus haematacanthus,189857,-97.381,18.6828055,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2236,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a76498c90cec0ba78d708aa21c1887c,0a76498c90cec0ba78d708aa21c1887c,No,,NoDisponible,,,,,,
28,Ferocactus haematacanthus,189858,-97.4000138,18.7050138,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2417,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0adbfb3f771b8242d301f16b46c2f85f,0adbfb3f771b8242d301f16b46c2f85f,No,,NoDisponible,,,,,,
142,Ferocactus haematacanthus,189857,-97.38362,18.68151,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2233,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b44c555bba8f0fb7ebaf4bbe03edfcb,0b44c555bba8f0fb7ebaf4bbe03edfcb,No,,NoDisponible,,,,,,
224,Ferocactus haematacanthus,189787,-97.4861666,18.3648055,,False,7,51.64,Equisetopsida,Caryophyllales,Cactaceae,2367,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0be61461e657d21ef7f49fa416a418b2,0be61461e657d21ef7f49fa416a418b2,No,,NoDisponible,,,,,,
143,Ferocactus haematacanthus,189857,-97.38362,18.68151,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2233,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c1469af9a9193142c3da72553bf8461,0c1469af9a9193142c3da72553bf8461,No,,NoDisponible,,,,,,
29,Ferocactus haematacanthus,189858,-97.4000138,18.7050138,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2417,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cd951338fb8e43b54e45495dd7b95ac,0cd951338fb8e43b54e45495dd7b95ac,No,,NoDisponible,,,,,,
245,Ferocactus haematacanthus,189779,-97.6011111,18.4111111,,False,7,51.93,Equisetopsida,Caryophyllales,Cactaceae,2430,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10efa5f6e2d6790d8ccf9b2b94d4df00,10efa5f6e2d6790d8ccf9b2b94d4df00,No,,NoDisponible,,,,,,
216,Ferocactus haematacanthus,189787,-97.4861108,18.3653608,,False,7,51.64,Equisetopsida,Caryophyllales,Cactaceae,2390,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=111c6908b206ed1fed34453a5353c8de,111c6908b206ed1fed34453a5353c8de,No,,NoDisponible,,,,,,
30,Ferocactus haematacanthus,189858,-97.4000138,18.7050138,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2417,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=120d52b062024b406e3c3479242fdbbc,120d52b062024b406e3c3479242fdbbc,No,,NoDisponible,,,,,,
176,Ferocactus haematacanthus,189857,-97.40875,18.6987219,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2413,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=121d8165c63ae13ad7a11db9b8ccbc70,121d8165c63ae13ad7a11db9b8ccbc70,No,,NoDisponible,,,,,,
138,Ferocactus haematacanthus,189857,-97.4077219,18.6976666,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2433,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12a10ff5c2a67091a80b7df1e9555c3b,12a10ff5c2a67091a80b7df1e9555c3b,No,,NoDisponible,,,,,,
111,Ferocactus haematacanthus,189858,-97.3999441,18.7033055,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2431,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12bf008b6158d6009c9ad1c6c92b45a5,12bf008b6158d6009c9ad1c6c92b45a5,No,,NoDisponible,,,,,,
194,Ferocactus haematacanthus,189857,-97.38457,18.68228,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2256,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=162e047d7e6e64e4f1561b1d96432f65,162e047d7e6e64e4f1561b1d96432f65,No,,NoDisponible,,,,,,
166,Ferocactus haematacanthus,189857,-97.408583,18.7001941,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2430,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19e2c2253dcb75128ebfe5edcd4e571f,19e2c2253dcb75128ebfe5edcd4e571f,No,,NoDisponible,,,,,,
155,Ferocactus haematacanthus,189857,-97.3822219,18.6821666,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2235,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b36fa786d0a5b29193a6329d2b68ff5,1b36fa786d0a5b29193a6329d2b68ff5,No,,NoDisponible,,,,,,
31,Ferocactus haematacanthus,189858,-97.4000138,18.7050138,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2417,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20aa4ff7ba8235643dea9de71e3abaa6,20aa4ff7ba8235643dea9de71e3abaa6,No,,NoDisponible,,,,,,
177,Ferocactus haematacanthus,189857,-97.408083,18.6972777,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2437,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20c6dacc0c821bdbc877f40d18121209,20c6dacc0c821bdbc877f40d18121209,No,,NoDisponible,,,,,,
97,Ferocactus haematacanthus,189858,-97.3935,18.7040555,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2357,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20c75dda6d208ac6cbe6e8ba8062ed7f,20c75dda6d208ac6cbe6e8ba8062ed7f,No,,NoDisponible,,,,,,
24,Ferocactus haematacanthus,189858,-97.4054719,18.7051666,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2380,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=218d8f0976246726845d66be2af979c6,218d8f0976246726845d66be2af979c6,No,,NoDisponible,,,,,,
32,Ferocactus haematacanthus,189858,-97.4000138,18.7050138,,False,5,41.56,Equisetopsida,Caryophyllales,Cactaceae,2417,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2268dff0d181ed1712446c02555a6064,2268dff0d181ed1712446c02555a6064,No,,NoDisponible,,,,,,
195,Ferocactus haematacanthus,189857,-97.4010277,18.7024166,,False,6,47.8,Equisetopsida,Caryophyllales,Cactaceae,2428,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=237b670669aef4e065ca07106cb21a98,237b670669aef4e065ca07106cb21a98,No,,NoDisponible,,,,,,
