,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
10,Ferocactus herrerae,109524,-107.4333333,24.3333333,,False,3,15.15,Equisetopsida,Caryophyllales,Cactaceae,8,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16efda16a4db68824438add6cd9e6834,16efda16a4db68824438add6cd9e6834,Si,Si,NoDisponible,Si,Si,,,,
22,Ferocactus herrerae,113919,-106.427588,23.3850994,,True,1,-30.32,Equisetopsida,Caryophyllales,Cactaceae,55,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19f6f9273ed9c6c12331679ff9f4b256,19f6f9273ed9c6c12331679ff9f4b256,Si,No,NoDisponible,No,Si,,,,
26,Ferocactus herrerae,96373,-108.9428902,25.9473161,,False,3,17.76,Equisetopsida,Caryophyllales,Cactaceae,21,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a5e2f04bd5da7ac17a318ec010fecfa,1a5e2f04bd5da7ac17a318ec010fecfa,No,,,,,,,,
15,Ferocactus herrerae,96329,-109.0497,25.6,,False,3,18.28,Equisetopsida,Caryophyllales,Cactaceae,10,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c995fc6b30b1faf35a236169f7466f9,2c995fc6b30b1faf35a236169f7466f9,No,,,,,,,,
19,Ferocactus herrerae,100823,-108.5839447,25.9761772,,False,3,10.71,Equisetopsida,Caryophyllales,Cactaceae,123,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3483426cc737266b95048639adbf14b4,3483426cc737266b95048639adbf14b4,Si,Si,NoDisponible,Si,Si,,,,
28,Ferocactus herrerae,96356,-108.8587133,25.6405438,,False,3,20.65,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=474bdfa3d09651fce4e8aa9fa93c70b0,474bdfa3d09651fce4e8aa9fa93c70b0,No,,,,,,,,
9,Ferocactus herrerae,109575,-107.3683333,24.6916667,,False,3,13.12,Equisetopsida,Caryophyllales,Cactaceae,42,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4ee79444e1b9e05ed8f302b2d2530241,4ee79444e1b9e05ed8f302b2d2530241,Si,Si,NoDisponible,Si,Si,,,,
18,Ferocactus herrerae,96349,-109.0483333,25.9877778,,False,3,25.02,Equisetopsida,Caryophyllales,Cactaceae,45,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55af5f972d11b793f45913e270c2595a,55af5f972d11b793f45913e270c2595a,No,,,,,,,,
16,Ferocactus herrerae,92012,-109.25889,27.225,,False,3,12.88,Equisetopsida,Caryophyllales,Cactaceae,70,Terrestre,1899,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=56686febd0b04a5beb76bbdad109e3dd,56686febd0b04a5beb76bbdad109e3dd,Si,Si,NoDisponible,Si,Si,,,,
29,Ferocactus herrerae,100734,-108.204163,25.0129533,,False,3,12.94,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66445eca2971629536e59c3f2f0c1fc1,66445eca2971629536e59c3f2f0c1fc1,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
