,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
4,Ferocactus johnstonianus,60461,-113.3959611,29.2900472,,False,1,27.55,Equisetopsida,Caryophyllales,Cactaceae,238,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11a3b8e2e8f2d0282be12a63b6d459f1,11a3b8e2e8f2d0282be12a63b6d459f1,No,,NoDisponible,,,,,,
6,Ferocactus johnstonianus,60455,-113.41667,29.28333,,False,1,28.05,Equisetopsida,Caryophyllales,Cactaceae,147,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18d1cbf5771468a73ec41356eb0b69c3,18d1cbf5771468a73ec41356eb0b69c3,No,,NoDisponible,,,,,,
2,Ferocactus johnstonianus,60457,-113.3416667,29.1416667,,False,1,28.51,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2736a2d48349bc9b2468f36bc53f0ea5,2736a2d48349bc9b2468f36bc53f0ea5,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
5,Ferocactus johnstonianus,60459,-113.31475,29.1491389,,False,1,28.89,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c1d6fbe47bf4a617b5ffca6c53dc31d,3c1d6fbe47bf4a617b5ffca6c53dc31d,No,,NoDisponible,,,,,,
0,Ferocactus johnstonianus,60457,-113.3416667,29.1416667,,False,1,28.51,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=499b851d0f39f8c61b90447d067613c8,499b851d0f39f8c61b90447d067613c8,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
3,Ferocactus johnstonianus,60457,-113.3416667,29.1416667,,False,1,28.51,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f4cbb529dabc2df1b6ee8c2625b0e9b,5f4cbb529dabc2df1b6ee8c2625b0e9b,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
1,Ferocactus johnstonianus,60457,-113.3416667,29.1416667,,False,1,28.51,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6876f2c6fa5cd0ee0c60a92f0d5a3395,6876f2c6fa5cd0ee0c60a92f0d5a3395,Si,Si,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
7,Ferocactus johnstonianus,60455,-113.41667,29.28333,,False,1,28.05,Equisetopsida,Caryophyllales,Cactaceae,147,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d3615931d53f04a1b1ea5d7be4da1eb,7d3615931d53f04a1b1ea5d7be4da1eb,No,,NoDisponible,,,,,,
10,Ferocactus johnstonianus,60469,-113.5083333,29.5083333,,False,1,30.04,Equisetopsida,Caryophyllales,Cactaceae,292,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=83e44c26d52392e1de3ef5496bb8c09f,83e44c26d52392e1de3ef5496bb8c09f,No,,NoDisponible,,,,,,
9,Ferocactus johnstonianus,55854,-113.9083333,29.3416667,,False,0,13.5,Equisetopsida,Caryophyllales,Cactaceae,430,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98b010a5b597f47d2c1906db3bf4f1ec,98b010a5b597f47d2c1906db3bf4f1ec,Si,No,NoDisponible,No,Si,,,,
8,Ferocactus johnstonianus,60455,-113.41667,29.28333,,False,1,28.05,Equisetopsida,Caryophyllales,Cactaceae,147,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ec60d2044721e03c1f7f6c151ebadd52,ec60d2044721e03c1f7f6c151ebadd52,No,,NoDisponible,,,,,,
