,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
195,Ferocactus latispinus,175119,-99.1890338,19.9013758,,False,4,26.94,Equisetopsida,Caryophyllales,Cactaceae,2533,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ab6a4c4c295732c4d4fc241d96db68,02ab6a4c4c295732c4d4fc241d96db68,No,,NoDisponible,,,,,,
166,Ferocactus latispinus,170328,-99.9486111,20.7675,,False,4,27.47,Equisetopsida,Caryophyllales,Cactaceae,2096,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d219f592fdd8a27ecbad65568eb111,03d219f592fdd8a27ecbad65568eb111,No,,NoDisponible,,,,,,
181,Ferocactus latispinus,170340,-99.6512419,20.3452758,,False,4,35.3,Equisetopsida,Caryophyllales,Cactaceae,2184,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053a75873abf05cf45fcb1b18b459fbd,053a75873abf05cf45fcb1b18b459fbd,No,,NoDisponible,,,,,,
274,Ferocactus latispinus,170335,-99.8032269,20.6829049,,False,4,23.85,Equisetopsida,Caryophyllales,Cactaceae,2085,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e058357ab3c5348bd282890faedbee,05e058357ab3c5348bd282890faedbee,No,,NoDisponible,,,,,,
186,Ferocactus latispinus,170333,-99.8317277,20.6967199,,False,4,25.11,Equisetopsida,Caryophyllales,Cactaceae,2092,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06704551f279df2b82d7ab164d97d3c6,06704551f279df2b82d7ab164d97d3c6,No,,NoDisponible,,,,,,
249,Ferocactus latispinus,184833,-98.2497861,18.6403736,,False,3,-0.17,Equisetopsida,Caryophyllales,Cactaceae,1410,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=068e37e693cb13cc47aa7d2e2aba203d,068e37e693cb13cc47aa7d2e2aba203d,Si,Si,NoDisponible,Si,Si,,,,
61,Ferocactus latispinus,189798,-97.4473333,18.3404444,,False,4,14.75,Equisetopsida,Caryophyllales,Cactaceae,1642,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=075d9100218d9b3aaf356172e71bc23f,075d9100218d9b3aaf356172e71bc23f,No,,NoDisponible,,,,,,
280,Ferocactus latispinus,160777,-101.0014338,21.8971808,,False,4,34.01,Equisetopsida,Caryophyllales,Cactaceae,2378,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=081e33c52e7d1415cf877a5edbcc84b5,081e33c52e7d1415cf877a5edbcc84b5,No,,NoDisponible,,,,,,
18,Ferocactus latispinus,189776,-97.5030556,18.3033333,,False,4,20.1,Equisetopsida,Caryophyllales,Cactaceae,1526,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=082bac9c30c274ea9a10e29c17d5e85e,082bac9c30c274ea9a10e29c17d5e85e,No,,NoDisponible,,,,,,
193,Ferocactus latispinus,175119,-99.1840549,19.9036358,,False,4,26.94,Equisetopsida,Caryophyllales,Cactaceae,2508,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ae872119c7cd6a5c52b7046f81361d1,0ae872119c7cd6a5c52b7046f81361d1,No,,NoDisponible,,,,,,
276,Ferocactus latispinus,160788,-101.0915024,22.25498,,False,4,23.19,Equisetopsida,Caryophyllales,Cactaceae,1999,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c254720b9f05fde59cdd3b6559f2834,0c254720b9f05fde59cdd3b6559f2834,No,,NoDisponible,,,,,,
155,Ferocactus latispinus,160793,-100.9855408,22.1564697,,False,4,20.47,Equisetopsida,Caryophyllales,Cactaceae,1883,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d0985e455f6ad135b3ba75868b88343,0d0985e455f6ad135b3ba75868b88343,No,,NoDisponible,,,,,,
231,Ferocactus latispinus,160824,-100.7678027,22.3566069,,False,4,19.55,Equisetopsida,Caryophyllales,Cactaceae,1915,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d8ebd82131e680fa025f2ddcf5f0e30,0d8ebd82131e680fa025f2ddcf5f0e30,No,,NoDisponible,,,,,,
177,Ferocactus latispinus,160876,-100.6729008,22.4983638,,False,4,19.62,Equisetopsida,Caryophyllales,Cactaceae,1601,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ecef4771f9b6deb517e29d0bb1a72d5,0ecef4771f9b6deb517e29d0bb1a72d5,No,,NoDisponible,,,,,,
134,Ferocactus latispinus,161258,-100.75,25.65,,False,4,13.87,Equisetopsida,Caryophyllales,Cactaceae,1236,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fa4853a8660d694e7975df97d15603c,0fa4853a8660d694e7975df97d15603c,Si,No,NoDisponible,No,Si,,,,
