,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Ferocactus peninsulae,60280,-113.4083333,28.0916667,,False,2,14.09,Equisetopsida,Caryophyllales,Cactaceae,368,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4aaaf848e526fc8c52a58c0a19e0b036,4aaaf848e526fc8c52a58c0a19e0b036,No,
1,Ferocactus peninsulae,60280,-113.428396,28.11438,,False,2,14.09,Equisetopsida,Caryophyllales,Cactaceae,341,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29b7370825d8e88e45af0a0eb0fa5fbd,29b7370825d8e88e45af0a0eb0fa5fbd,No,
2,Ferocactus peninsulae,60280,-113.4083333,28.0916667,,False,2,14.09,Equisetopsida,Caryophyllales,Cactaceae,368,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=aa7cabdc96b4f3f21909887bf3d6c39d,aa7cabdc96b4f3f21909887bf3d6c39d,No,
3,Ferocactus peninsulae,73374,-111.925,24.9916667,,False,2,16.77,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=852c47f38a030da9482047d1ed9c725e,852c47f38a030da9482047d1ed9c725e,No,
4,Ferocactus peninsulae,73374,-111.925,24.9916667,,False,2,16.77,Equisetopsida,Caryophyllales,Cactaceae,23,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=111815973e071f41571c764513a144ca,111815973e071f41571c764513a144ca,No,
5,Ferocactus peninsulae,64616,-112.8333333,27.3122222,,False,2,18.32,Equisetopsida,Caryophyllales,Cactaceae,298,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b3eb90adc8a7784f402a393c84c0aa39,b3eb90adc8a7784f402a393c84c0aa39,No,
6,Ferocactus peninsulae,64616,-112.8416667,27.3416667,,False,2,18.32,Equisetopsida,Caryophyllales,Cactaceae,301,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9bf6b42d2e8131fba276b90ca211dbf4,9bf6b42d2e8131fba276b90ca211dbf4,No,
7,Ferocactus peninsulae,64616,-112.890371,27.301669,,False,2,18.32,Equisetopsida,Caryophyllales,Cactaceae,131,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=176feca8aa5ad5414f85c845b2825b4f,176feca8aa5ad5414f85c845b2825b4f,No,
8,Ferocactus peninsulae,73343,-111.55,24.42,,False,1,4.67,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5dbec950a604caef9e6305d3f9aa213a,5dbec950a604caef9e6305d3f9aa213a,No,
9,Ferocactus peninsulae,73343,-111.5416667,24.4416667,,False,1,4.67,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6c349fe1b5d17a3441afbff485d803be,6c349fe1b5d17a3441afbff485d803be,No,
10,Ferocactus peninsulae,73343,-111.5539,24.4222,,False,1,4.67,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a19f205c8fae58c5c816bfa0b52e75db,a19f205c8fae58c5c816bfa0b52e75db,No,
11,Ferocactus peninsulae,73413,-112.05,25.2,,False,2,11.28,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fc464c0b5c7c3317d4e526dcd3a9f226,fc464c0b5c7c3317d4e526dcd3a9f226,No,
12,Ferocactus peninsulae,73413,-112.06,25.18,,False,2,11.28,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7762e113f0b25dfe0a6e1a1943bc5fce,7762e113f0b25dfe0a6e1a1943bc5fce,No,
13,Ferocactus peninsulae,73413,-112.075,25.1916667,,False,2,11.28,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d25c3a4e5df9c8db681700fea74fc30,7d25c3a4e5df9c8db681700fea74fc30,No,
14,Ferocactus peninsulae,73413,-112.0509,25.2087,,False,2,11.28,Equisetopsida,Caryophyllales,Cactaceae,11,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fecf4d2f6b4d9871f113f0d8269275f7,fecf4d2f6b4d9871f113f0d8269275f7,No,
15,Ferocactus peninsulae,86939,-110.11,23.23,,False,2,15.31,Equisetopsida,Caryophyllales,Cactaceae,72,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f368d05716721cceb2ce8ef9ee3ece1,7f368d05716721cceb2ce8ef9ee3ece1,No,
16,Ferocactus peninsulae,86939,-110.125,23.2416667,,False,2,15.31,Equisetopsida,Caryophyllales,Cactaceae,41,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c7b46fd5c0a07b1a0057b16a49b25ca,0c7b46fd5c0a07b1a0057b16a49b25ca,No,
17,Ferocactus peninsulae,86995,-110.28,23.73,,False,2,15.11,Equisetopsida,Caryophyllales,Cactaceae,213,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fd7dc023cdc1702ef8b95587bc546af6,fd7dc023cdc1702ef8b95587bc546af6,No,
18,Ferocactus peninsulae,86995,-110.2916667,23.7416667,,False,2,15.11,Equisetopsida,Caryophyllales,Cactaceae,193,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f21f0e156b6aa6981ec3651846c23b04,f21f0e156b6aa6981ec3651846c23b04,No,
19,Ferocactus peninsulae,69145,-112.54,27.4,,False,2,16.02,Equisetopsida,Caryophyllales,Cactaceae,580,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=454d09a5bec0ac9750557341bb19f5dd,454d09a5bec0ac9750557341bb19f5dd,No,
20,Ferocactus peninsulae,69145,-112.54,27.4,,False,2,16.02,Equisetopsida,Caryophyllales,Cactaceae,580,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fefafeed0f2b438747d0e55284c0c1eb,fefafeed0f2b438747d0e55284c0c1eb,No,
