,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Ferocactus rectispinus,78101,-111.4797222,25.9683333,,False,3,25.66,Equisetopsida,Caryophyllales,Cactaceae,354,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb0f16c70fb0f422bcdec922d682daed,bb0f16c70fb0f422bcdec922d682daed,No,
1,Ferocactus rectispinus,78101,-111.4797222,25.9683333,,False,3,25.66,Equisetopsida,Caryophyllales,Cactaceae,354,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=decb441081d80195bc9a97b4354f4ba1,decb441081d80195bc9a97b4354f4ba1,No,
2,Ferocactus rectispinus,73611,-111.8313889,26.6375,,False,3,27.93,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a6c0b0f5963782a51cae485870021a4,4a6c0b0f5963782a51cae485870021a4,No,
3,Ferocactus rectispinus,73611,-111.8313889,26.6375,,False,3,27.93,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dc58191c048c98e56b4acc48defac22a,dc58191c048c98e56b4acc48defac22a,No,
4,Ferocactus rectispinus,78096,-111.3063889,25.8102778,,False,2,18.47,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1983,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c36e6b274c3c9e64ab7cd80ce6dced16,c36e6b274c3c9e64ab7cd80ce6dced16,Si,"aunque fuera, porque aunque cae en el mar, muy cerca del borde, puede considerarse dentro con margen de tolerancia"
5,Ferocactus rectispinus,73587,-111.73,26.36,,False,3,25.26,Equisetopsida,Caryophyllales,Cactaceae,330,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28efeea4f4c21aef58feff13a9b7c85d,28efeea4f4c21aef58feff13a9b7c85d,No,
6,Ferocactus rectispinus,73587,-111.724397,26.36628,,False,3,25.26,Equisetopsida,Caryophyllales,Cactaceae,336,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2adb2750ebc4958d0b97ea4a6e4a99ac,2adb2750ebc4958d0b97ea4a6e4a99ac,No,
7,Ferocactus rectispinus,73587,-111.724397,26.36628,,False,3,25.26,Equisetopsida,Caryophyllales,Cactaceae,336,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=87a139653e1e5d978926fe280b3b08e6,87a139653e1e5d978926fe280b3b08e6,No,
8,Ferocactus rectispinus,73587,-111.7416667,26.375,,False,3,25.26,Equisetopsida,Caryophyllales,Cactaceae,396,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ed90fa20c9da7580457b2b6869961d7,5ed90fa20c9da7580457b2b6869961d7,No,
9,Ferocactus rectispinus,64606,-113.06,27.55,,False,1,15.29,Equisetopsida,Caryophyllales,Cactaceae,538,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=266db1ca5a6b7a7a141bc8e5bd9cefb2,266db1ca5a6b7a7a141bc8e5bd9cefb2,No,
