,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
24,Ferocactus recurvus,189774,-97.5238889,18.2997222,,False,2,37.34,Equisetopsida,Caryophyllales,Cactaceae,1574,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0419d5785bb16a6e2282b49e0eed0d28,0419d5785bb16a6e2282b49e0eed0d28,No,NoDisponible,NoDisponible,,,,,,
96,Ferocactus recurvus,189691,-97.2315556,17.3335667,,False,2,30.37,Equisetopsida,Caryophyllales,Cactaceae,2133,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0499188da81f62768bf53fe6d613ca0b,0499188da81f62768bf53fe6d613ca0b,No,NoDisponible,NoDisponible,,,,,,
0,Ferocactus recurvus,189677,-97.2411111,17.1944444,,False,2,41.11,Equisetopsida,Caryophyllales,Cactaceae,1917,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05dcc065bdb5aeeeaa3d75e99a12dec0,05dcc065bdb5aeeeaa3d75e99a12dec0,No,NoDisponible,NoDisponible,,,,,,
41,Ferocactus recurvus,189742,-97.2490278,17.8157222,,False,3,54.32,Equisetopsida,Caryophyllales,Cactaceae,2264,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=064eb43426b8239986da5295a7298c08,064eb43426b8239986da5295a7298c08,No,NoDisponible,NoDisponible,,,,,,
25,Ferocactus recurvus,189774,-97.5283333,18.3225,,False,2,37.34,Equisetopsida,Caryophyllales,Cactaceae,1552,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f053454c72fa39ffef0f344e397b2a,06f053454c72fa39ffef0f344e397b2a,No,NoDisponible,NoDisponible,,,,,,
87,Ferocactus recurvus,189800,-97.3597222,18.3039167,,False,1,15.89,Equisetopsida,Caryophyllales,Cactaceae,1303,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0be5d65968c33ffe595a7d4a105a6c30,0be5d65968c33ffe595a7d4a105a6c30,No,NoDisponible,NoDisponible,,,,,,
76,Ferocactus recurvus,194754,-97.1575,18.1994444,,False,2,36.8,Equisetopsida,Caryophyllales,Cactaceae,899,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eeff4b333d7a02a14061a12d53cf4c9,0eeff4b333d7a02a14061a12d53cf4c9,No,NoDisponible,NoDisponible,,,,,,
129,Ferocactus recurvus,189810,-97.4083333,18.4583333,,False,2,37.69,Equisetopsida,Caryophyllales,Cactaceae,1654,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=113a4088bfb6de29b79a2636d1a4714f,113a4088bfb6de29b79a2636d1a4714f,No,NoDisponible,NoDisponible,,,,,,
122,Ferocactus recurvus,189801,-97.2427369,18.1562908,,False,3,64.31,Equisetopsida,Caryophyllales,Cactaceae,1311,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=117d65b11702e9569b5dac2ed6807dd9,117d65b11702e9569b5dac2ed6807dd9,No,NoDisponible,NoDisponible,,,,,,
12,Ferocactus recurvus,189772,-97.5038889,18.1622222,,False,2,42.78,Equisetopsida,Caryophyllales,Cactaceae,2037,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=126cd4dce776d989ca191d84cfe94523,126cd4dce776d989ca191d84cfe94523,No,NoDisponible,NoDisponible,,,,,,
95,Ferocactus recurvus,189680,-97.1753611,17.2078333,,False,2,31.36,Equisetopsida,Caryophyllales,Cactaceae,1780,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=145cb86660e1138400c2cdbb566e2fa9,145cb86660e1138400c2cdbb566e2fa9,No,NoDisponible,NoDisponible,,,,,,
63,Ferocactus recurvus,189773,-97.5372222,18.2830556,,False,2,44.55,Equisetopsida,Caryophyllales,Cactaceae,1648,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a84e366f0f99c2b383c3b45b403b2f5,1a84e366f0f99c2b383c3b45b403b2f5,No,NoDisponible,NoDisponible,,,,,,
34,Ferocactus recurvus,189807,-97.1991667,18.2833333,,False,1,13.18,Equisetopsida,Caryophyllales,Cactaceae,1037,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b46ce5aec3413eb991d9d2899a95711,1b46ce5aec3413eb991d9d2899a95711,No,NoDisponible,NoDisponible,,,,,,
48,Ferocactus recurvus,189755,-97.2299722,17.8393056,,False,3,55.73,Equisetopsida,Caryophyllales,Cactaceae,2170,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f86657c99669bc53f3c5424f12f586d,1f86657c99669bc53f3c5424f12f586d,No,NoDisponible,NoDisponible,,,,,,
32,Ferocactus recurvus,194713,-96.9666944,17.8253333,,False,2,33.28,Equisetopsida,Caryophyllales,Cactaceae,857,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24cdfd891f7bb08e262d3d1306849789,24cdfd891f7bb08e262d3d1306849789,No,NoDisponible,NoDisponible,,,,,,
19,Ferocactus recurvus,189798,-97.4405556,18.3167778,,False,2,36.11,Equisetopsida,Caryophyllales,Cactaceae,1434,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=290210e5882e0a0de71d3b7fcc7ac72a,290210e5882e0a0de71d3b7fcc7ac72a,No,NoDisponible,NoDisponible,,,,,,
7,Ferocactus recurvus,189819,-97.2087222,18.4002778,,False,3,61.99,Equisetopsida,Caryophyllales,Cactaceae,1692,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2afaca8d42d315482393c35f51b3de39,2afaca8d42d315482393c35f51b3de39,No,NoDisponible,NoDisponible,,,,,,
5,Ferocactus recurvus,189954,-97.695,19.7983333,,False,2,34.21,Equisetopsida,Caryophyllales,Cactaceae,2168,Terrestre,1942,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2dd1795ff3ddda7bbceb4e8eb424e69c,2dd1795ff3ddda7bbceb4e8eb424e69c,No,NoDisponible,NoDisponible,,,,,,
11,Ferocactus recurvus,189772,-97.47275,18.1780833,,False,2,42.78,Equisetopsida,Caryophyllales,Cactaceae,2043,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2de2e09340d78521019f31cd130a803d,2de2e09340d78521019f31cd130a803d,No,NoDisponible,NoDisponible,,,,,,
38,Ferocactus recurvus,194717,-96.9743056,17.9567778,,False,2,32.69,Equisetopsida,Caryophyllales,Cactaceae,925,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f1c4614b70b086955820ab54f12134b,2f1c4614b70b086955820ab54f12134b,No,NoDisponible,NoDisponible,,,,,,
45,Ferocactus recurvus,189787,-97.4669444,18.4195,,False,2,47.75,Equisetopsida,Caryophyllales,Cactaceae,1825,Terrestre,2006,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ff9debdf4200d698dfc744629129bab,2ff9debdf4200d698dfc744629129bab,No,NoDisponible,NoDisponible,,,,,,
81,Ferocactus recurvus,194754,-97.1416667,18.1916667,,False,2,36.8,Equisetopsida,Caryophyllales,Cactaceae,900,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31e7dae7213bad80946366fa4979f9ac,31e7dae7213bad80946366fa4979f9ac,No,NoDisponible,NoDisponible,,,,,,
26,Ferocactus recurvus,189774,-97.5288889,18.3202778,,False,2,37.34,Equisetopsida,Caryophyllales,Cactaceae,1537,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3288d559de900af010e1f2f6674841cf,3288d559de900af010e1f2f6674841cf,No,NoDisponible,NoDisponible,,,,,,
16,Ferocactus recurvus,189798,-97.4350556,18.3235,,False,2,36.11,Equisetopsida,Caryophyllales,Cactaceae,1389,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=337a13057bd23fe3a63b49b9e9babf7b,337a13057bd23fe3a63b49b9e9babf7b,No,NoDisponible,NoDisponible,,,,,,
55,Ferocactus recurvus,189776,-97.4576666,18.3324722,,False,2,41.67,Equisetopsida,Caryophyllales,Cactaceae,1471,Terrestre,2005,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35fa6ef796dc83fe4af91f4581749c5f,35fa6ef796dc83fe4af91f4581749c5f,No,NoDisponible,NoDisponible,,,,,,
79,Ferocactus recurvus,194754,-97.1301944,18.2084444,,False,2,36.8,Equisetopsida,Caryophyllales,Cactaceae,1027,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3796eb620db081b3170f7a9d07cceffe,3796eb620db081b3170f7a9d07cceffe,No,NoDisponible,NoDisponible,,,,,,
104,Ferocactus recurvus,194647,-97.0568056,17.4713056,,False,2,45.64,Equisetopsida,Caryophyllales,Cactaceae,1804,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39ec6dc85664a12ef32a43a5670392cb,39ec6dc85664a12ef32a43a5670392cb,No,NoDisponible,NoDisponible,,,,,,
54,Ferocactus recurvus,189776,-97.4870278,18.3269722,,False,2,41.67,Equisetopsida,Caryophyllales,Cactaceae,1499,Terrestre,1992,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b5306bd4fc3169c726832e2d32d953d,3b5306bd4fc3169c726832e2d32d953d,No,NoDisponible,NoDisponible,,,,,,
110,Ferocactus recurvus,189862,-97.3916667,18.8583333,,False,1,24.19,Equisetopsida,Caryophyllales,Cactaceae,2411,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3be8c2a5afa1b685330f35a7603b20a9,3be8c2a5afa1b685330f35a7603b20a9,No,NoDisponible,NoDisponible,,,,,,
