,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Hylocereus ocamponis,184883,-97.9002778,18.9511111,,False,0,4.13,Equisetopsida,Caryophyllales,Cactaceae,2232,Terrestre,1996,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=267a869fa73bb8113a7efbb4f20dbe94,267a869fa73bb8113a7efbb4f20dbe94,Si,fuera del polígono y en un Estado que no refiere la Literatura
1,Hylocereus ocamponis,109565,-107.0125,24.4094444,,False,0,7.87,Equisetopsida,Caryophyllales,Cactaceae,125,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bc1e9d192559a4a12881546507e9c6cc,bc1e9d192559a4a12881546507e9c6cc,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
2,Hylocereus ocamponis,109628,-106.9783333,24.8766667,,False,0,11.27,Equisetopsida,Caryophyllales,Cactaceae,168,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb7b8524255716132603e325caea692f,eb7b8524255716132603e325caea692f,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
3,Hylocereus ocamponis,194911,-96.8916667,19.5916667,,False,1,19.81,Equisetopsida,Caryophyllales,Cactaceae,1253,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=517eb51aa76a801c903fba2055e49e74,517eb51aa76a801c903fba2055e49e74,Si,fuera del polígono y en un Estado que no refiere la Literatura
4,Hylocereus ocamponis,175353,-98.98,21.64,,False,0,8.92,Equisetopsida,Caryophyllales,Cactaceae,68,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c7e1099ebe955be9fada8a710193a7bf,c7e1099ebe955be9fada8a710193a7bf,Si,fuera del polígono y en un Estado que no refiere la Literatura
5,Hylocereus ocamponis,175353,-98.9801,21.6457,,False,0,8.92,Equisetopsida,Caryophyllales,Cactaceae,64,Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e64804ef35fe85ed896176b2f3037d9,3e64804ef35fe85ed896176b2f3037d9,Si,fuera del polígono y en un Estado que no refiere la Literatura
6,Hylocereus ocamponis,141463,-103.3461,20.6764,,False,0,12.93,Equisetopsida,Caryophyllales,Cactaceae,1561,Terrestre,1907,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a577241066426d23757a6fcb32749fa9,a577241066426d23757a6fcb32749fa9,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
7,Hylocereus ocamponis,169885,-99.8916667,16.8916667,,False,1,23.51,Equisetopsida,Caryophyllales,Cactaceae,485,Terrestre,1985,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=835113dd5d218057c36d12ce6539224a,835113dd5d218057c36d12ce6539224a,No,
8,Hylocereus ocamponis,127687,-105.0916666,23.0916666,,False,1,24.21,Equisetopsida,Caryophyllales,Cactaceae,1491,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=71d4852d1165ca2f91ba431d88edd0fc,71d4852d1165ca2f91ba431d88edd0fc,Si,fuera del polígono y en un Estado que no refiere la Literatura
9,Hylocereus ocamponis,123063,-105.3602777,23.3611111,,False,1,25.04,Equisetopsida,Caryophyllales,Cactaceae,1158,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a2cf181975d77d5fab16d0af270cfd3,6a2cf181975d77d5fab16d0af270cfd3,Si,fuera del polígono y en un Estado que no refiere la Literatura
10,Hylocereus ocamponis,123063,-105.3608333,23.3480555,,False,1,25.04,Equisetopsida,Caryophyllales,Cactaceae,1110,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=de8e5d08ffb86d163a66da56b0c76e6f,de8e5d08ffb86d163a66da56b0c76e6f,Si,fuera del polígono y en un Estado que no refiere la Literatura
11,Hylocereus ocamponis,123063,-105.3630555,23.3366666,,False,1,25.04,Equisetopsida,Caryophyllales,Cactaceae,965,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6231c5b03387885ebc069892b28f1587,6231c5b03387885ebc069892b28f1587,Si,fuera del polígono y en un Estado que no refiere la Literatura
12,Hylocereus ocamponis,123022,-105.6238888,23.1338888,,False,1,26.4,Equisetopsida,Caryophyllales,Cactaceae,386,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23c8aea823e17cb6fecc45cf4cb238d2,23c8aea823e17cb6fecc45cf4cb238d2,Si,fuera del polígono y en un Estado que no refiere la Literatura
13,Hylocereus ocamponis,123093,-105.7583333,23.9083333,,False,1,25.45,Equisetopsida,Caryophyllales,Cactaceae,868,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f8f3f4a11f4f964211cf2280ee4d50b,4f8f3f4a11f4f964211cf2280ee4d50b,Si,fuera del polígono y en un Estado que no refiere la Literatura
14,Hylocereus ocamponis,127289,-104.7176389,19.5168889,,False,1,21.72,Equisetopsida,Caryophyllales,Cactaceae,271,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38dd77d3cc1f25411f48a3c85cd44954,38dd77d3cc1f25411f48a3c85cd44954,No,
