,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Hylocereus purpusii,194648,-97.0519444,17.4841111,,False,1,46.14,Equisetopsida,Caryophyllales,Cactaceae,1432,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0539718913800266faf473d0e6eea811,0539718913800266faf473d0e6eea811,No,NoDisponible,NoDisponible,,,,,,
22,Hylocereus purpusii,127612,-104.675,22.2583333,,False,1,36.27,Equisetopsida,Caryophyllales,Cactaceae,1663,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=098ea3105bcc1d86de46b787e61ec1da,098ea3105bcc1d86de46b787e61ec1da,No,NoDisponible,NoDisponible,,,,,,
10,Hylocereus purpusii,194714,-96.9503889,17.9253889,,False,1,47.22,Equisetopsida,Caryophyllales,Cactaceae,1279,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c99b1099ac34c2b9fdc7189520ee57e,1c99b1099ac34c2b9fdc7189520ee57e,No,NoDisponible,NoDisponible,,,,,,
13,Hylocereus purpusii,194714,-96.9604167,17.9324167,,False,1,47.22,Equisetopsida,Caryophyllales,Cactaceae,838,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fc3374dd03a6a5fcf0905cf7730e57d,2fc3374dd03a6a5fcf0905cf7730e57d,No,NoDisponible,NoDisponible,,,,,,
4,Hylocereus purpusii,127515,-104.966667,21.6166667,,False,0,20.3,Equisetopsida,Caryophyllales,Cactaceae,626,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40380017372168528b10ad3ca10cfc23,40380017372168528b10ad3ca10cfc23,No,NoDisponible,NoDisponible,,,,,,
0,Hylocereus purpusii,132002,-104.2833333,19.845,,False,1,36.72,Equisetopsida,Caryophyllales,Cactaceae,892,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4583e73a680403447a208206446af94b,4583e73a680403447a208206446af94b,No,NoDisponible,NoDisponible,,,,,,
3,Hylocereus purpusii,194703,-96.9215,17.7183333,,False,2,63.78,Equisetopsida,Caryophyllales,Cactaceae,657,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4cbad2828c9bfa9ebc7f4f9a9fb61f3e,4cbad2828c9bfa9ebc7f4f9a9fb61f3e,No,NoDisponible,NoDisponible,,,,,,
2,Hylocereus purpusii,194703,-96.9215,17.7182222,,False,2,63.78,Equisetopsida,Caryophyllales,Cactaceae,657,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60db69bd0ce50771df5c287734caa800,60db69bd0ce50771df5c287734caa800,No,NoDisponible,NoDisponible,,,,,,
11,Hylocereus purpusii,194714,-96.9538889,17.9111389,,False,1,47.22,Equisetopsida,Caryophyllales,Cactaceae,963,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74ca3ff7148d7f5d98c0eb49611c6ed5,74ca3ff7148d7f5d98c0eb49611c6ed5,No,NoDisponible,NoDisponible,,,,,,
12,Hylocereus purpusii,194714,-96.9538889,17.9111389,,False,1,47.22,Equisetopsida,Caryophyllales,Cactaceae,963,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7811f674b023639d3289da776d39537c,7811f674b023639d3289da776d39537c,No,NoDisponible,NoDisponible,,,,,,
14,Hylocereus purpusii,113973,-106.6201,23.88511,,False,0,14.58,Equisetopsida,Caryophyllales,Cactaceae,38,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a141ea4e33529ffc211a813e530fe846,a141ea4e33529ffc211a813e530fe846,No,NoDisponible,NoDisponible,,,,,,
6,Hylocereus purpusii,194648,-97.0301944,17.5097778,,False,1,46.14,Equisetopsida,Caryophyllales,Cactaceae,1400,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a487098113557ce48c9691700254760f,a487098113557ce48c9691700254760f,No,NoDisponible,NoDisponible,,,,,,
19,Hylocereus purpusii,180618,-98.7131666,24.6411111,,False,0,19.41,Equisetopsida,Caryophyllales,Cactaceae,682,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a745c76421e75565a29833f4774b6655,a745c76421e75565a29833f4774b6655,Si,NoDisponible,NoDisponible,,No,,,,
1,Hylocereus purpusii,132110,-104.4805556,21.0561111,,False,1,33.72,Equisetopsida,Caryophyllales,Cactaceae,995,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=abce89b9f1fb7ef83b14210630c9b490,abce89b9f1fb7ef83b14210630c9b490,No,NoDisponible,NoDisponible,,,,,,
7,Hylocereus purpusii,194716,-96.9175278,17.9239722,,False,2,61.76,Equisetopsida,Caryophyllales,Cactaceae,1059,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5ca12cb6f14ad21d52da194d942778f,b5ca12cb6f14ad21d52da194d942778f,No,NoDisponible,NoDisponible,,,,,,
20,Hylocereus purpusii,155903,-101.1916667,21.2083333,,False,0,19.45,Equisetopsida,Caryophyllales,Cactaceae,2596,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d0f52a88941252dfba49fdbae6258c83,d0f52a88941252dfba49fdbae6258c83,Si,NoDisponible,NoDisponible,,No,,,,
15,Hylocereus purpusii,113973,-106.6201,23.88511,,False,0,14.58,Equisetopsida,Caryophyllales,Cactaceae,38,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d42a94a995a6ebbba29d75c608db3791,d42a94a995a6ebbba29d75c608db3791,No,NoDisponible,NoDisponible,,,,,,
21,Hylocereus purpusii,132104,-104.5016667,21.0633333,,False,1,40.95,Equisetopsida,Caryophyllales,Cactaceae,996,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e480aa723e3022b607436348dd7e1e00,e480aa723e3022b607436348dd7e1e00,No,NoDisponible,NoDisponible,,,,,,
