,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
44,Lophophora williamsii,137470,-103.5613056,26.5778333,,False,5,11.21,Equisetopsida,Caryophyllales,Cactaceae,1254,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00872658e4c6415e21442b1d095a8361,00872658e4c6415e21442b1d095a8361,Si,Si,NoDisponible,Si,Si,,,,
3,Lophophora williamsii,161181,-101,25.4333333,,False,5,20.98,Equisetopsida,Caryophyllales,Cactaceae,1573,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019e258f67450955a9cc108372112a05,019e258f67450955a9cc108372112a05,No,,NoDisponible,,,,,,
17,Lophophora williamsii,156531,-101.3619444,26.3383333,,False,5,20.14,Equisetopsida,Caryophyllales,Cactaceae,1198,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04289922494bc3b6cc7e43c53f32d893,04289922494bc3b6cc7e43c53f32d893,No,,NoDisponible,,,,,,
132,Lophophora williamsii,165718,-100.5503372,22.9284311,,False,5,22.48,Equisetopsida,Caryophyllales,Cactaceae,1357,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0623d2d94ff73c913843ec874f953d8d,0623d2d94ff73c913843ec874f953d8d,No,,NoDisponible,,,,,,
119,Lophophora williamsii,165846,-100.6005144,23.9855269,,False,5,15.14,Equisetopsida,Caryophyllales,Cactaceae,1848,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063bdf341e2e105a9b71432081d2ef16,063bdf341e2e105a9b71432081d2ef16,No,,NoDisponible,,,,,,
123,Lophophora williamsii,161022,-100.6871169,23.9781155,,False,5,13.86,Equisetopsida,Caryophyllales,Cactaceae,1940,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0892ccadcd2b538a8151166f87c512ff,0892ccadcd2b538a8151166f87c512ff,No,,NoDisponible,,,,,,
67,Lophophora williamsii,128422,-104.8652822,28.8615186,,True,3,-39.59,Equisetopsida,Caryophyllales,Cactaceae,1155,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf32baa68dcf5c195ae51836aa328de,0bf32baa68dcf5c195ae51836aa328de,No,,NoDisponible,,,,,,
51,Lophophora williamsii,160963,-101.0814302,23.525108,,False,5,14.41,Equisetopsida,Caryophyllales,Cactaceae,1941,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d06ac7c3a11afc9a3e30e73b4567825,0d06ac7c3a11afc9a3e30e73b4567825,No,,NoDisponible,,,,,,
167,Lophophora williamsii,165761,-100.5641961,22.9345183,,False,5,20.04,Equisetopsida,Caryophyllales,Cactaceae,1367,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=135951ea26f5b9050707109d2ce84626,135951ea26f5b9050707109d2ce84626,No,,NoDisponible,,,,,,
46,Lophophora williamsii,166097,-100.5765908,25.8268416,,False,4,-6.85,Equisetopsida,Caryophyllales,Cactaceae,728,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13c7a041774b32d0c2d066e446643b5b,13c7a041774b32d0c2d066e446643b5b,No,,NoDisponible,,,,,,
139,Lophophora williamsii,165716,-100.5107797,22.7474277,,False,5,22.37,Equisetopsida,Caryophyllales,Cactaceae,1432,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13d2a5beb223ce7c9baae542e98833d3,13d2a5beb223ce7c9baae542e98833d3,No,,NoDisponible,,,,,,
23,Lophophora williamsii,161252,-100.8212,25.6237,,False,5,27.79,Equisetopsida,Caryophyllales,Cactaceae,1273,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=145725a73ef705adaa2c5a26548f8851,145725a73ef705adaa2c5a26548f8851,No,,NoDisponible,,,,,,
86,Lophophora williamsii,156495,-101.5096594,26.2085327,,False,5,23.55,Equisetopsida,Caryophyllales,Cactaceae,1756,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16a5a88d1b034b5d6a3dda6e1b3803c5,16a5a88d1b034b5d6a3dda6e1b3803c5,No,,NoDisponible,,,,,,
0,Lophophora williamsii,165728,-100.3947222,22.9152778,,False,5,25.24,Equisetopsida,Caryophyllales,Cactaceae,1365,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=173737fcfbb01e9cb830bf2099bfbe99,173737fcfbb01e9cb830bf2099bfbe99,No,,NoDisponible,,,,,,
16,Lophophora williamsii,161250,-100.83806,25.62056,,False,5,22.49,Equisetopsida,Caryophyllales,Cactaceae,1238,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1739f6228bd7161610fa393d208930ac,1739f6228bd7161610fa393d208930ac,No,,NoDisponible,,,,,,
2,Lophophora williamsii,165854,-100.42,23.97,,False,5,20.79,Equisetopsida,Caryophyllales,Cactaceae,1660,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=191ade1cd84ceb35183685d8739c8ee8,191ade1cd84ceb35183685d8739c8ee8,No,,NoDisponible,,,,,,
216,Lophophora williamsii,127498,-105.0294444,21.4591667,,True,2,-67.43,Equisetopsida,Caryophyllales,Cactaceae,1034,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c269c12a0fc81c1a2cf0baef4d5a6af,1c269c12a0fc81c1a2cf0baef4d5a6af,Si,No,NoDisponible,No,Si,,,,
170,Lophophora williamsii,180717,-98.4233419,25.1798405,,True,3,-33.26,Equisetopsida,Caryophyllales,Cactaceae,141,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c92e5fbd09948a3f5751b1d89deaf89,1c92e5fbd09948a3f5751b1d89deaf89,Si,Si,NoDisponible,Si,Si,,,,
60,Lophophora williamsii,161024,-100.6771269,23.9290555,,False,5,14.53,Equisetopsida,Caryophyllales,Cactaceae,1839,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cbe9a519ed20c3b9ca4ac77e3b7cc9e,1cbe9a519ed20c3b9ca4ac77e3b7cc9e,No,,NoDisponible,,,,,,
114,Lophophora williamsii,161251,-100.7902922,25.6013211,,False,4,-4.06,Equisetopsida,Caryophyllales,Cactaceae,1618,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e408dcc27919d4ad005d3fbdec43ff3,1e408dcc27919d4ad005d3fbdec43ff3,No,,NoDisponible,,,,,,
106,Lophophora williamsii,161073,-100.8428588,24.2612625,,False,5,12.15,Equisetopsida,Caryophyllales,Cactaceae,1710,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=208c9141155efe055bae0acd546ebbd9,208c9141155efe055bae0acd546ebbd9,No,,NoDisponible,,,,,,
137,Lophophora williamsii,161018,-100.7221094,23.8357602,,False,5,21.87,Equisetopsida,Caryophyllales,Cactaceae,1712,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22f570a9a9383c946347a237d3b80f9c,22f570a9a9383c946347a237d3b80f9c,No,,NoDisponible,,,,,,
206,Lophophora williamsii,156235,-101.4790116,23.9903977,,False,5,7.3,Equisetopsida,Caryophyllales,Cactaceae,2173,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=247986ae7de5ce3dfac555d0738de093,247986ae7de5ce3dfac555d0738de093,No,,NoDisponible,,,,,,
208,Lophophora williamsii,165717,-100.5466088,22.85807,,False,5,21.07,Equisetopsida,Caryophyllales,Cactaceae,1464,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26ce3735c1f658dda9ec6bbb0deb3c5d,26ce3735c1f658dda9ec6bbb0deb3c5d,No,,NoDisponible,,,,,,
43,Lophophora williamsii,137470,-103.5894444,26.5233333,,False,5,11.21,Equisetopsida,Caryophyllales,Cactaceae,1333,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28f4720e9dd13b2b703dab82f39da9a2,28f4720e9dd13b2b703dab82f39da9a2,Si,Si,NoDisponible,Si,Si,,,,
