,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Mammillaria beneckei,208792,-95.34314,16.38826,,False,4,37.18,Equisetopsida,Caryophyllales,Cactaceae,990,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=158e19713960dc178babd22a207316b7,158e19713960dc178babd22a207316b7,No,,NoDisponible,,,,,,
9,Mammillaria beneckei,127548,-104.6698611,21.7250556,,False,3,19.99,Equisetopsida,Caryophyllales,Cactaceae,208,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=192827113ec5225025c474e01fec8e3d,192827113ec5225025c474e01fec8e3d,No,,NoDisponible,,,,,,
13,Mammillaria beneckei,127248,-104.9947222,19.4286111,,False,3,21.95,Equisetopsida,Caryophyllales,Cactaceae,30,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19dcce37b442cdc8309949fd868e7d16,19dcce37b442cdc8309949fd868e7d16,No,,NoDisponible,,,,,,
20,Mammillaria beneckei,136790,-104.01,21.3183333,,True,1,-4.4,Equisetopsida,Caryophyllales,Cactaceae,1427,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=229d535d2c05ba0e9b2f4c733d5d3fc6,229d535d2c05ba0e9b2f4c733d5d3fc6,No,,NoDisponible,,,,,,
0,Mammillaria beneckei,155454,-101.27389,17.53722,,False,3,27.16,Equisetopsida,Caryophyllales,Cactaceae,50,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e71ddfdcde5945eb26050377ec813a7,2e71ddfdcde5945eb26050377ec813a7,No,,NoDisponible,,,,,,
17,Mammillaria beneckei,150918,-102.2856077,19.9886877,,False,2,5.73,Equisetopsida,Caryophyllales,Cactaceae,1571,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=429383f2d823bf050416a8d0cde9ee76,429383f2d823bf050416a8d0cde9ee76,Si,No,NoDisponible,No,Si,,,,
15,Mammillaria beneckei,109587,-107.4008333,24.8086111,,True,0,-14.29,Equisetopsida,Caryophyllales,Cactaceae,38,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4cd799ec4ee61a601a7d7cafe2644e53,4cd799ec4ee61a601a7d7cafe2644e53,Si,No,NoDisponible,No,Si,,,,
14,Mammillaria beneckei,208789,-95.36845,16.3691,,False,4,33.02,Equisetopsida,Caryophyllales,Cactaceae,623,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57db6ede1d6f25326949c320689ce940,57db6ede1d6f25326949c320689ce940,No,,NoDisponible,,,,,,
6,Mammillaria beneckei,208792,-95.3227778,16.3808333,,False,4,37.18,Equisetopsida,Caryophyllales,Cactaceae,402,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=664fd685ff4988df8013ed08c7634bd9,664fd685ff4988df8013ed08c7634bd9,No,,NoDisponible,,,,,,
16,Mammillaria beneckei,127257,-105.0316667,19.4569444,,False,3,23.95,Equisetopsida,Caryophyllales,Cactaceae,54,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=70a9a5b8f23bcf470cd402b3f5d71cbf,70a9a5b8f23bcf470cd402b3f5d71cbf,No,,NoDisponible,,,,,,
19,Mammillaria beneckei,150824,-101.9138889,18.8583333,,False,4,32.42,Equisetopsida,Caryophyllales,Cactaceae,399,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8177547a0fba89e7416398cd9a2d75ea,8177547a0fba89e7416398cd9a2d75ea,No,,NoDisponible,,,,,,
8,Mammillaria beneckei,141205,-103.475,18.5083333,,False,3,29.24,Equisetopsida,Caryophyllales,Cactaceae,177,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=87ae15888c86d5e3a36bc132f1deb7cc,87ae15888c86d5e3a36bc132f1deb7cc,No,,NoDisponible,,,,,,
