,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammillaria brandegeei,64616,-112.8416667,27.3083333,,False,1,11.71,Equisetopsida,Caryophyllales,Cactaceae,238,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6f6e7608f77b6c5a6e3b7bc1ab8ca3ac,6f6e7608f77b6c5a6e3b7bc1ab8ca3ac,No,
1,Mammillaria brandegeei,64616,-112.8416667,27.3083333,,False,1,11.71,Equisetopsida,Caryophyllales,Cactaceae,238,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98fdbccd7e42f4ba914261025d8d975b,98fdbccd7e42f4ba914261025d8d975b,No,
2,Mammillaria brandegeei,42040,-115.7583333,30.075,,False,3,18.36,Equisetopsida,Caryophyllales,Cactaceae,249,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a25334dfede55b4b3f466b3e69b532b,4a25334dfede55b4b3f466b3e69b532b,No,
3,Mammillaria brandegeei,42040,-115.7583333,30.1083333,,False,3,18.36,Equisetopsida,Caryophyllales,Cactaceae,119,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=436622f55700cf704ffe8fc377a49b9f,436622f55700cf704ffe8fc377a49b9f,No,
4,Mammillaria brandegeei,42040,-115.7583333,30.1083333,,False,3,18.36,Equisetopsida,Caryophyllales,Cactaceae,119,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8466c50bb2bac744d3c7fda8eb7c6156,8466c50bb2bac744d3c7fda8eb7c6156,No,
5,Mammillaria brandegeei,42040,-115.7583333,30.1083333,,False,3,18.36,Equisetopsida,Caryophyllales,Cactaceae,119,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=86896b354d61e721a852771dd39e7c6c,86896b354d61e721a852771dd39e7c6c,No,
6,Mammillaria brandegeei,42040,-115.736938,30.093237,,False,3,18.36,Equisetopsida,Caryophyllales,Cactaceae,265,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7df836860f5976f30c4a8450daad4beb,7df836860f5976f30c4a8450daad4beb,No,
7,Mammillaria brandegeei,42040,-115.7583333,30.125,,False,3,18.36,Equisetopsida,Caryophyllales,Cactaceae,180,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4788b449579013db1235e095b0c1480b,4788b449579013db1235e095b0c1480b,No,
8,Mammillaria brandegeei,42086,-115.816667,30.35,,False,3,17.26,Equisetopsida,Caryophyllales,Cactaceae,61,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c62e7996d577949303b9707bfb151e63,c62e7996d577949303b9707bfb151e63,No,
9,Mammillaria brandegeei,51283,-114.866667,29.8833333,,False,1,12.71,Equisetopsida,Caryophyllales,Cactaceae,679,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08fa00c2465f5100718d35cbf7ad4900,08fa00c2465f5100718d35cbf7ad4900,No,
