,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
21,Mammillaria candida,165822,-100.1183333,23.4233333,,False,3,32.13,Equisetopsida,Caryophyllales,Cactaceae,1671,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cb9136d7db3d263959690267130e45b,0cb9136d7db3d263959690267130e45b,No,,NoDisponible,,,,,,
10,Mammillaria candida,161177,-100.9746781,25.3382069,,False,3,35.91,Equisetopsida,Caryophyllales,Cactaceae,2106,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1311c0238c31b255ab3d2ed9b2788a33,1311c0238c31b255ab3d2ed9b2788a33,No,,NoDisponible,,,,,,
4,Mammillaria candida,165794,-100.31444,23.04305,,False,3,31.62,Equisetopsida,Caryophyllales,Cactaceae,1689,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15d02b5058077881ff21198f8ac34bd7,15d02b5058077881ff21198f8ac34bd7,No,,NoDisponible,,,,,,
20,Mammillaria candida,165823,-100.0630556,23.3547222,,False,3,30.2,Equisetopsida,Caryophyllales,Cactaceae,1653,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=177dfe38a9c4d28be3fdfee5859cb68e,177dfe38a9c4d28be3fdfee5859cb68e,No,,NoDisponible,,,,,,
18,Mammillaria candida,170392,-99.9466667,21.3216667,,False,3,36.36,Equisetopsida,Caryophyllales,Cactaceae,934,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21fc70bdd9b2ae30085bd70a634cd364,21fc70bdd9b2ae30085bd70a634cd364,No,,NoDisponible,,,,,,
19,Mammillaria candida,170392,-99.9466667,21.3216667,,False,3,36.36,Equisetopsida,Caryophyllales,Cactaceae,934,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fdbcdfe6f0136419b9a14d87de1795a,2fdbcdfe6f0136419b9a14d87de1795a,No,,NoDisponible,,,,,,
23,Mammillaria candida,151322,-102.1563889,23.2697222,,True,1,-14.13,Equisetopsida,Caryophyllales,Cactaceae,1952,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=377cd7d145204a9de6b60afbd97dbcf2,377cd7d145204a9de6b60afbd97dbcf2,Si,No,NoDisponible,No,Si,,,,
1,Mammillaria candida,165683,-100.246667,22.1691667,,False,3,24.71,Equisetopsida,Caryophyllales,Cactaceae,1211,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a4743ab3243d5389d1d5071d9d04243,3a4743ab3243d5389d1d5071d9d04243,No,,NoDisponible,,,,,,
0,Mammillaria candida,166091,-100.3416667,25.6083333,,True,1,-11.09,Equisetopsida,Caryophyllales,Cactaceae,1024,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5392ea8ecb47d9b830e22b4d80dffa20,5392ea8ecb47d9b830e22b4d80dffa20,No,,NoDisponible,,,,,,
24,Mammillaria candida,165625,-100.1083333,21.6216667,,False,3,30.74,Equisetopsida,Caryophyllales,Cactaceae,1094,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=53fa8a809e7b4c4b3b05e4c8851a7f1e,53fa8a809e7b4c4b3b05e4c8851a7f1e,No,,NoDisponible,,,,,,
7,Mammillaria candida,165710,-100.3983333,22.6166667,,False,3,38.44,Equisetopsida,Caryophyllales,Cactaceae,1647,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d17d4cdb93178713dbf78ce62a314b4,5d17d4cdb93178713dbf78ce62a314b4,No,,NoDisponible,,,,,,
8,Mammillaria candida,165729,-100.28167,22.43278,,False,3,26.11,Equisetopsida,Caryophyllales,Cactaceae,1162,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7835d1e33ad607fb6e83bfd7aba0c9d5,7835d1e33ad607fb6e83bfd7aba0c9d5,No,,NoDisponible,,,,,,
17,Mammillaria candida,170421,-99.7186111,21.2666667,,False,3,45.51,Equisetopsida,Caryophyllales,Cactaceae,1256,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=95b62e1344991ba51c75fe0865695279,95b62e1344991ba51c75fe0865695279,No,,NoDisponible,,,,,,
6,Mammillaria candida,165710,-100.435997,22.6359997,,False,3,38.44,Equisetopsida,Caryophyllales,Cactaceae,1925,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=97822bd8c439d215719e38e268d62a97,97822bd8c439d215719e38e268d62a97,No,,NoDisponible,,,,,,
11,Mammillaria candida,161177,-100.976017,25.338207,,False,3,35.91,Equisetopsida,Caryophyllales,Cactaceae,2100,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a1e23451aaffb898e8324e11835d7437,a1e23451aaffb898e8324e11835d7437,No,,NoDisponible,,,,,,
12,Mammillaria candida,123281,-105.7231,25.3433,,True,0,-39.8,Equisetopsida,Caryophyllales,Cactaceae,1793,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a53a942f72b08d2ca62fd625ba8c98a0,a53a942f72b08d2ca62fd625ba8c98a0,Si,No,NoDisponible,No,No,,,,
9,Mammillaria candida,175601,-99.14611,23.73611,,False,2,3.62,Equisetopsida,Caryophyllales,Cactaceae,325,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9552126b110f8168230b0c83d7500be,a9552126b110f8168230b0c83d7500be,No,,NoDisponible,,,,,,
3,Mammillaria candida,165810,-100.31138,23.28861,,False,3,32.1,Equisetopsida,Caryophyllales,Cactaceae,1761,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ac28356f53a71445952905a97c0edc2c,ac28356f53a71445952905a97c0edc2c,Si,Si,NoDisponible,Si,Si,,,,
22,Mammillaria candida,165822,-100.1183333,23.4233333,,False,3,32.13,Equisetopsida,Caryophyllales,Cactaceae,1671,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ba8a4d7c1688035469ca9e2a475df702,ba8a4d7c1688035469ca9e2a475df702,No,,NoDisponible,,,,,,
5,Mammillaria candida,170435,-99.96194,21.34277,,False,3,38.93,Equisetopsida,Caryophyllales,Cactaceae,1005,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c706854f8ad62d943e758d549600238c,c706854f8ad62d943e758d549600238c,No,,NoDisponible,,,,,,
16,Mammillaria candida,175509,-99.427126,23.386487,,False,3,28.44,Equisetopsida,Caryophyllales,Cactaceae,818,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d2935b2454c4e962000d69d2364d82d9,d2935b2454c4e962000d69d2364d82d9,No,,NoDisponible,,,,,,
13,Mammillaria candida,161181,-101,25.43333,,False,2,17.5,Equisetopsida,Caryophyllales,Cactaceae,1573,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e63632d39e5a9e15479366f639051111,e63632d39e5a9e15479366f639051111,No,,NoDisponible,,,,,,
2,Mammillaria candida,170399,-99.75055,21.26,,False,3,30.62,Equisetopsida,Caryophyllales,Cactaceae,1385,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e7714c176ea6bd5cc7a1e02b13810028,e7714c176ea6bd5cc7a1e02b13810028,No,,NoDisponible,,,,,,
15,Mammillaria candida,165620,-100.194335,21.731961,,False,3,40.59,Equisetopsida,Caryophyllales,Cactaceae,1399,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e7997a11e4a29c65f0f4d3d164e9a4b4,e7997a11e4a29c65f0f4d3d164e9a4b4,No,,NoDisponible,,,,,,
14,Mammillaria candida,161181,-101,25.43333,,False,2,17.5,Equisetopsida,Caryophyllales,Cactaceae,1573,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f48236c3d36f26b6cf601272deb1fcfc,f48236c3d36f26b6cf601272deb1fcfc,No,,NoDisponible,,,,,,
