,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
14,Mammillaria goodridgii,42076,-115.9117833,30.4422027,,False,2,5.46,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014e31565ea0c69e8efade5989f5e605,014e31565ea0c69e8efade5989f5e605,No,NoDisponible,NoDisponible,,,,,,
5,Mammillaria goodridgii,73619,-111.98083,26.89167,,True,1,-8.88,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0198f06392124f4c4fc237031a1aa4f8,0198f06392124f4c4fc237031a1aa4f8,No,NoDisponible,NoDisponible,,,,,,
10,Mammillaria goodridgii,46412,-115.275,28.2416667,,False,2,8.87,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ded40b9fa9123923ac5b2ec6fbc1d80,1ded40b9fa9123923ac5b2ec6fbc1d80,Si,NoDisponible,NoDisponible,,Si,No,BufferCosteroMarinoContinental,,
1,Mammillaria goodridgii,46437,-115.2583333,28.2916667,,False,2,14.1,Equisetopsida,Caryophyllales,Cactaceae,38,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a7f0dda61a63f0e08c7074f39bea32a,2a7f0dda61a63f0e08c7074f39bea32a,No,NoDisponible,NoDisponible,,,,,,
11,Mammillaria goodridgii,46412,-115.275,28.2416667,,False,2,8.87,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44a3a73b5c866cce3c273cbe9881dd64,44a3a73b5c866cce3c273cbe9881dd64,Si,NoDisponible,NoDisponible,,Si,No,BufferCosteroMarinoContinental,,
12,Mammillaria goodridgii,46412,-115.275,28.2416667,,False,2,8.87,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51a6d52b1a01667a7e0a6837d19cc961,51a6d52b1a01667a7e0a6837d19cc961,Si,NoDisponible,NoDisponible,,Si,No,BufferCosteroMarinoContinental,,
9,Mammillaria goodridgii,46438,-115.2416667,28.3583333,,False,2,12.55,Equisetopsida,Caryophyllales,Cactaceae,14,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=578ff3677a5278207f7c0c22d1ca1baa,578ff3677a5278207f7c0c22d1ca1baa,Si,NoDisponible,NoDisponible,,Si,No,BufferCosteroMarinoContinental,,
0,Mammillaria goodridgii,46437,-115.2583333,28.2916667,,False,2,14.1,Equisetopsida,Caryophyllales,Cactaceae,38,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=581be8049a44e3e7da5aea22ab46b8bb,581be8049a44e3e7da5aea22ab46b8bb,No,NoDisponible,NoDisponible,,,,,,
13,Mammillaria goodridgii,46433,-115.2583333,28.175,,False,2,12.87,Equisetopsida,Caryophyllales,Cactaceae,151,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=870d1fc3e5324a4fc151a27d1460feae,870d1fc3e5324a4fc151a27d1460feae,No,NoDisponible,NoDisponible,,,,,,
6,Mammillaria goodridgii,73619,-111.98083,26.89167,,True,1,-8.88,Equisetopsida,Caryophyllales,Cactaceae,17,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=931df745965455eae1edb5ea3427467e,931df745965455eae1edb5ea3427467e,No,NoDisponible,NoDisponible,,,,,,
