,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
16,Mammillaria heyderi,127851,-104.66972,24.02361,,False,3,6.64,Equisetopsida,Caryophyllales,Cactaceae,1892,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004ceb19c4465c926b37e3f3fadde0c6,004ceb19c4465c926b37e3f3fadde0c6,No,,NoDisponible,,,,,,
215,Mammillaria heyderi,166130,-100.3098136,25.9153324,,False,3,5.91,Equisetopsida,Caryophyllales,Cactaceae,465,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c747ef7f159d5b1c34442a8d56e14c,02c747ef7f159d5b1c34442a8d56e14c,No,,NoDisponible,,,,,,
174,Mammillaria heyderi,128474,-105.0059508,29.4993777,,False,3,-0.63,Equisetopsida,Caryophyllales,Cactaceae,1065,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d90c79d166b9dedf6fe7bb4aec7805,04d90c79d166b9dedf6fe7bb4aec7805,No,,NoDisponible,,,,,,
25,Mammillaria heyderi,137161,-103.8563888,23.9958333,,False,3,9.06,Equisetopsida,Caryophyllales,Cactaceae,2127,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058aa6af34b0005af9b68baae4510c06,058aa6af34b0005af9b68baae4510c06,No,,NoDisponible,,,,,,
79,Mammillaria heyderi,127852,-104.6791666,24.0775,,False,3,7.5,Equisetopsida,Caryophyllales,Cactaceae,1973,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c807515a6763d809027582554777a8,05c807515a6763d809027582554777a8,No,,NoDisponible,,,,,,
69,Mammillaria heyderi,137385,-103.5927777,25.6030555,,False,3,4.46,Equisetopsida,Caryophyllales,Cactaceae,1132,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071e305bc69b705a67c3b527b714100e,071e305bc69b705a67c3b527b714100e,No,,NoDisponible,,,,,,
52,Mammillaria heyderi,137216,-103.5013888,24.4519444,,False,3,6.76,Equisetopsida,Caryophyllales,Cactaceae,1953,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=075302baa635590f288501fe6906cba5,075302baa635590f288501fe6906cba5,No,,NoDisponible,,,,,,
37,Mammillaria heyderi,132593,-104.3175,24.8336111,,False,3,7.07,Equisetopsida,Caryophyllales,Cactaceae,1920,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0803c3170665705e89133022d3fe633a,0803c3170665705e89133022d3fe633a,No,,NoDisponible,,,,,,
225,Mammillaria heyderi,175559,-99.375,23.625,,False,3,3.59,Equisetopsida,Caryophyllales,Cactaceae,695,Terrestre,1993,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08f6fbef9bacb75823f8ad2ef2f5cc4e,08f6fbef9bacb75823f8ad2ef2f5cc4e,No,,NoDisponible,,,,,,
162,Mammillaria heyderi,166168,-100.5233988,26.5339077,,False,3,9.46,Equisetopsida,Caryophyllales,Cactaceae,478,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=097fcd1f503eccd89f1442d183edc3ff,097fcd1f503eccd89f1442d183edc3ff,No,,NoDisponible,,,,,,
