,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammillaria huitzilopochtli,194711,-97.0236111,17.9555556,,False,2,51.71,Equisetopsida,Caryophyllales,Cactaceae,614,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a12f3338c182ca2593157fa5fb5a05e6,a12f3338c182ca2593157fa5fb5a05e6,No,
1,Mammillaria huitzilopochtli,194711,-97.0319167,17.9880556,,False,2,51.71,Equisetopsida,Caryophyllales,Cactaceae,744,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6b3bdfcc4c7bf592b16f6711f45959d9,6b3bdfcc4c7bf592b16f6711f45959d9,No,
2,Mammillaria huitzilopochtli,194711,-97.0287222,18.0139167,,False,2,51.71,Equisetopsida,Caryophyllales,Cactaceae,879,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2067d23a473c356420cf7df1ebb73a9c,2067d23a473c356420cf7df1ebb73a9c,No,
3,Mammillaria huitzilopochtli,194713,-96.9666667,17.8833333,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,730,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=88def9b8b9792a3114137809835dd75e,88def9b8b9792a3114137809835dd75e,No,
4,Mammillaria huitzilopochtli,194713,-96.97475,17.8443611,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,747,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e32a56ee62ee8b91284e018da5fb20c4,e32a56ee62ee8b91284e018da5fb20c4,No,
5,Mammillaria huitzilopochtli,194713,-96.9839638,17.8574583,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,698,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1120238ef42dd46e1283f8beeee1f268,1120238ef42dd46e1283f8beeee1f268,No,
6,Mammillaria huitzilopochtli,194713,-96.9839638,17.8574583,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,698,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d964f423f7dd926c596b5a5709927d3,2d964f423f7dd926c596b5a5709927d3,No,
7,Mammillaria huitzilopochtli,194713,-96.9839638,17.8574583,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,698,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42bcb16094076f1ff293d790e8939d80,42bcb16094076f1ff293d790e8939d80,No,
8,Mammillaria huitzilopochtli,194713,-96.9839638,17.8574583,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,698,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43714cce367fcba6e9a66652a3c77374,43714cce367fcba6e9a66652a3c77374,No,
9,Mammillaria huitzilopochtli,194713,-96.9839638,17.8574583,,False,6,65.98,Equisetopsida,Caryophyllales,Cactaceae,698,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48c498b40a8f0557454214c1df4efdac,48c498b40a8f0557454214c1df4efdac,No,
