,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Mammillaria mazatlanensis,105120,-107.8333333,25.0125,,False,0,9.39,Equisetopsida,Caryophyllales,Cactaceae,369,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f151b51d6db72822f656f52fbb8196d,0f151b51d6db72822f656f52fbb8196d,No,,,,,,,,
9,Mammillaria mazatlanensis,113939,-106.8444444,23.7625,,False,1,11.28,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=380ec39e6a89f4b6143a4355e004cfa2,380ec39e6a89f4b6143a4355e004cfa2,No,,,,,,,,
12,Mammillaria mazatlanensis,113913,-106.4444444,23.2444444,,False,1,12.17,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=398edb4700200e6d97dfc9fb9b5a0a88,398edb4700200e6d97dfc9fb9b5a0a88,No,,,,,,,,
11,Mammillaria mazatlanensis,105094,-108.0416667,24.7666667,,False,0,10.31,Equisetopsida,Caryophyllales,Cactaceae,7,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3de474e286cf86849079c210b907d6bf,3de474e286cf86849079c210b907d6bf,No,,,,,,,,
4,Mammillaria mazatlanensis,113915,-106.4153,23.2361,,False,2,14.89,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41fa3ad68ef612cdd56d3a269a5c6687,41fa3ad68ef612cdd56d3a269a5c6687,No,,,,,,,,
5,Mammillaria mazatlanensis,113915,-106.4153,23.2361,,False,2,14.89,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f1c51b9a4494acb89dbc069768d8351,4f1c51b9a4494acb89dbc069768d8351,No,,,,,,,,
8,Mammillaria mazatlanensis,105120,-107.8333333,25.0125,,False,0,9.39,Equisetopsida,Caryophyllales,Cactaceae,369,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5276b251ccf1bf8c3c8cc9b54c36b4b0,5276b251ccf1bf8c3c8cc9b54c36b4b0,No,,,,,,,,
16,Mammillaria mazatlanensis,96331,-109.0094444,25.5713889,,False,0,10.19,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=789e032209b6891c18a8593414e19f21,789e032209b6891c18a8593414e19f21,Si,No,NoDisponible,Si,Si,No,BufferCosteroMarinoContinental,,
15,Mammillaria mazatlanensis,113914,-106.4399999,23.2989999,,False,3,16.73,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=855316d799df2c8e18f88bbb77c67880,855316d799df2c8e18f88bbb77c67880,No,,,,,,,,
18,Mammillaria mazatlanensis,96331,-109.0105556,25.5705556,,False,0,10.19,Equisetopsida,Caryophyllales,Cactaceae,,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=85f22f06c0a99afb88e89adfdb198b6c,85f22f06c0a99afb88e89adfdb198b6c,No,,,,,,,,
13,Mammillaria mazatlanensis,96336,-108.9725302,25.7839713,,False,1,11.62,Equisetopsida,Caryophyllales,Cactaceae,16,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89f2a9838ae4f026e82704de2fbbe151,89f2a9838ae4f026e82704de2fbbe151,No,,,,,,,,
6,Mammillaria mazatlanensis,113915,-106.4153,23.2361,,False,2,14.89,Equisetopsida,Caryophyllales,Cactaceae,9,Terrestre,1922,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8edc6f27045c018faa90d340a997980c,8edc6f27045c018faa90d340a997980c,No,,,,,,,,
