,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
4,Mammillaria muehlenpfordtii,165535,-100.3266599,21.2416599,,False,3,36,Equisetopsida,Caryophyllales,Cactaceae,1950,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07dc2c4b20f330d2ef8275c58c5a2aca,07dc2c4b20f330d2ef8275c58c5a2aca,Si,No,Si,,,,,,
12,Mammillaria muehlenpfordtii,160750,-100.7368611,21.5946341,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ced59f7f2b5e875063e7f467c761d65,1ced59f7f2b5e875063e7f467c761d65,Si,No,Si,,,,,,
23,Mammillaria muehlenpfordtii,160762,-100.6833299,21.7333299,,False,1,26.35,Equisetopsida,Caryophyllales,Cactaceae,1790,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d35fef98176230a6b18b50b687c9839,2d35fef98176230a6b18b50b687c9839,Si,No,Si,,,,,,
11,Mammillaria muehlenpfordtii,160750,-100.75,21.5516666,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,2036,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ffbb02c945455f25136954531373b33,2ffbb02c945455f25136954531373b33,Si,No,Si,,,,,,
19,Mammillaria muehlenpfordtii,160745,-100.7333327,21.4,,False,1,24.04,Equisetopsida,Caryophyllales,Cactaceae,2010,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=311db2269c44964c3351d01549cc296d,311db2269c44964c3351d01549cc296d,Si,No,Si,,,,,,
13,Mammillaria muehlenpfordtii,160750,-100.7368611,21.5946341,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=34551333e408b5eb54eff10dbc90aa61,34551333e408b5eb54eff10dbc90aa61,Si,No,Si,,,,,,
34,Mammillaria muehlenpfordtii,165589,-100.6102499,21.7689655,,False,2,29.87,Equisetopsida,Caryophyllales,Cactaceae,2018,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36481f510c5f51cc7fa6ed1c750f247f,36481f510c5f51cc7fa6ed1c750f247f,Si,No,Si,,,,,,
25,Mammillaria muehlenpfordtii,165575,-100.5230549,21.5224999,,False,1,26.58,Equisetopsida,Caryophyllales,Cactaceae,1999,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=368e872a0ed180231b31a55e128ad5fb,368e872a0ed180231b31a55e128ad5fb,Si,No,Si,,,,,,
38,Mammillaria muehlenpfordtii,160723,-101.0438889,21.665,,False,2,31.91,Equisetopsida,Caryophyllales,Cactaceae,1873,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4054eb5990fc22621b927e21d236f4f8,4054eb5990fc22621b927e21d236f4f8,Si,No,Si,,,,,,
35,Mammillaria muehlenpfordtii,165589,-100.6102499,21.7689655,,False,2,29.87,Equisetopsida,Caryophyllales,Cactaceae,2018,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48a3b77be708c6cdcd3f9e187a7e931b,48a3b77be708c6cdcd3f9e187a7e931b,Si,No,Si,,,,,,
27,Mammillaria muehlenpfordtii,165559,-100.1883327,21.203055,,False,2,30.92,Equisetopsida,Caryophyllales,Cactaceae,1774,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48c45c4d7afe00c1cf9caf93736928bb,48c45c4d7afe00c1cf9caf93736928bb,Si,No,Si,,,,,,
8,Mammillaria muehlenpfordtii,165610,-100.133083,21.404636,,False,3,35.34,Equisetopsida,Caryophyllales,Cactaceae,2219,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a443fe2a85ca59671811ed78e03c1b6,4a443fe2a85ca59671811ed78e03c1b6,No,,,,,,,,
10,Mammillaria muehlenpfordtii,170392,-99.9169099,21.2988299,,False,0,18.7,Equisetopsida,Caryophyllales,Cactaceae,1603,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=540ee63505036d37a4617f54b289710d,540ee63505036d37a4617f54b289710d,No,,,,,,,,
14,Mammillaria muehlenpfordtii,160750,-100.7368611,21.5946341,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59dbe71e508e8fe7a230932f799fd3e4,59dbe71e508e8fe7a230932f799fd3e4,Si,No,Si,,,,,,
36,Mammillaria muehlenpfordtii,165589,-100.6102499,21.7689655,,False,2,29.87,Equisetopsida,Caryophyllales,Cactaceae,2018,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6aaeba9d84a0195782718e8385944b13,6aaeba9d84a0195782718e8385944b13,Si,No,Si,,,,,,
7,Mammillaria muehlenpfordtii,165610,-100.1321899,21.40663,,False,3,35.34,Equisetopsida,Caryophyllales,Cactaceae,2233,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=708042acc069ec83cf759f3c3a6100a2,708042acc069ec83cf759f3c3a6100a2,No,,,,,,,,
29,Mammillaria muehlenpfordtii,165527,-100.5358299,21.2313799,,False,3,36.56,Equisetopsida,Caryophyllales,Cactaceae,2199,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74bae26ba95b206f3f58004cb069f329,74bae26ba95b206f3f58004cb069f329,Si,No,Si,,,,,,
5,Mammillaria muehlenpfordtii,160766,-100.75,21.86666,,False,2,28.53,Equisetopsida,Caryophyllales,Cactaceae,1785,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=75a018aa2b91637bf05ca6c2c378019f,75a018aa2b91637bf05ca6c2c378019f,Si,No,Si,,,,,,
22,Mammillaria muehlenpfordtii,160780,-100.9,21.96666,,False,2,32.38,Equisetopsida,Caryophyllales,Cactaceae,1847,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=91a08fe0b7513e7c519bd8b2c5437b22,91a08fe0b7513e7c519bd8b2c5437b22,Si,No,Si,,,,,,
28,Mammillaria muehlenpfordtii,165559,-100.215,21.2116667,,False,2,30.92,Equisetopsida,Caryophyllales,Cactaceae,1756,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=91f541d21f4cf0ad6df8bc7a6f48dc5f,91f541d21f4cf0ad6df8bc7a6f48dc5f,Si,No,Si,,,,,,
33,Mammillaria muehlenpfordtii,165549,-100.1688889,20.9344444,,False,2,29.87,Equisetopsida,Caryophyllales,Cactaceae,2874,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=95fd701752fd415a0ceec1ff48905c29,95fd701752fd415a0ceec1ff48905c29,Si,No,Si,Si,Si,,,,
15,Mammillaria muehlenpfordtii,160750,-100.7368611,21.5946341,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9c1558dab0297129e625d8a3d53dcb2f,9c1558dab0297129e625d8a3d53dcb2f,Si,No,Si,,,,,,
26,Mammillaria muehlenpfordtii,165559,-100.2135,21.21366,,False,2,30.92,Equisetopsida,Caryophyllales,Cactaceae,1756,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9d7fdcbda58d83929803155aa07ff360,9d7fdcbda58d83929803155aa07ff360,Si,No,Si,,,,,,
30,Mammillaria muehlenpfordtii,165527,-100.5291666,21.2291666,,False,3,36.56,Equisetopsida,Caryophyllales,Cactaceae,2265,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a0bd37df47cd9400225586c48dc70726,a0bd37df47cd9400225586c48dc70726,Si,No,Si,,,,,,
16,Mammillaria muehlenpfordtii,160750,-100.7368611,21.5946341,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a2bb92daf6cdeedc9b417ea11a9a9d48,a2bb92daf6cdeedc9b417ea11a9a9d48,Si,No,Si,,,,,,
20,Mammillaria muehlenpfordtii,160745,-100.7,21.4,,False,1,24.04,Equisetopsida,Caryophyllales,Cactaceae,2025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a51f4271f554aeb8e39cea1fb7fde766,a51f4271f554aeb8e39cea1fb7fde766,Si,No,Si,,,,,,
3,Mammillaria muehlenpfordtii,165547,-100.0797219,20.8288888,,False,3,36.04,Equisetopsida,Caryophyllales,Cactaceae,1890,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b28272052c397fefa741856552d6caef,b28272052c397fefa741856552d6caef,Si,No,Si,,,,,,
6,Mammillaria muehlenpfordtii,165610,-100.1299999,21.40666,,False,3,35.34,Equisetopsida,Caryophyllales,Cactaceae,2149,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b90f8168400c41bf5333121c427e7ef3,b90f8168400c41bf5333121c427e7ef3,No,,,,,,,,
17,Mammillaria muehlenpfordtii,160750,-100.7368611,21.5946341,,False,2,29.96,Equisetopsida,Caryophyllales,Cactaceae,1921,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb0be115dc96a3b7ec5810e370d67a97,bb0be115dc96a3b7ec5810e370d67a97,Si,No,Si,,,,,,
1,Mammillaria muehlenpfordtii,170326,-99.9957999,20.76586,,False,3,38.39,Equisetopsida,Caryophyllales,Cactaceae,2163,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1492d81c262744fb35374ae1f1abc8f,c1492d81c262744fb35374ae1f1abc8f,Si,No,Si,Si,Si,,,,
