,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
625,Mammillaria napina,189785,-97.5686111,18.3969444,,False,3,58.67,Equisetopsida,Caryophyllales,Cactaceae,2048,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00416df470ce8aa2fdbd3c0954139837,00416df470ce8aa2fdbd3c0954139837,No,Si,NoDisponible,,,,,,
423,Mammillaria napina,189857,-97.40975,18.6992219,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b8bc411cde6b6472da4599524bfea1,00b8bc411cde6b6472da4599524bfea1,No,Si,NoDisponible,,,,,,
485,Mammillaria napina,189780,-97.6023,18.44178,,False,0,40.37,Equisetopsida,Caryophyllales,Cactaceae,2071,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d08b6b23f02322f0c8a3469df3fbe7,00d08b6b23f02322f0c8a3469df3fbe7,No,Si,NoDisponible,,,,,,
424,Mammillaria napina,189857,-97.40975,18.6992219,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e46f2c7a766bb91b867eca3c31889d,00e46f2c7a766bb91b867eca3c31889d,No,Si,NoDisponible,,,,,,
626,Mammillaria napina,189785,-97.5686111,18.3969444,,False,3,58.67,Equisetopsida,Caryophyllales,Cactaceae,2048,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01479322a1a4ef834c98615eacd24db5,01479322a1a4ef834c98615eacd24db5,No,Si,NoDisponible,,,,,,
5,Mammillaria napina,189810,-97.4416666,18.475,,False,0,36.73,Equisetopsida,Caryophyllales,Cactaceae,1724,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01bd449655bc07cc087f9e52f78c12b3,01bd449655bc07cc087f9e52f78c12b3,No,Si,NoDisponible,,,,,,
627,Mammillaria napina,189785,-97.5686111,18.3969444,,False,3,58.67,Equisetopsida,Caryophyllales,Cactaceae,2048,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c7824bc26ea73a8d870fca5601ce07,01c7824bc26ea73a8d870fca5601ce07,No,Si,NoDisponible,,,,,,
203,Mammillaria napina,189857,-97.4097219,18.6992777,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f83236439b5c68f89e66a3df75da09,01f83236439b5c68f89e66a3df75da09,No,Si,NoDisponible,,,,,,
84,Mammillaria napina,189857,-97.4027777,18.7021388,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2380,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=021ff09a44233e14af77af7859e732cc,021ff09a44233e14af77af7859e732cc,No,Si,NoDisponible,,,,,,
628,Mammillaria napina,189785,-97.5686111,18.3969444,,False,3,58.67,Equisetopsida,Caryophyllales,Cactaceae,2048,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ea4a725421bd933de485b78bd1a8b0,02ea4a725421bd933de485b78bd1a8b0,No,Si,NoDisponible,,,,,,
553,Mammillaria napina,189775,-97.4525,18.2538888,,False,2,52.1,Equisetopsida,Caryophyllales,Cactaceae,2241,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038030d2dd646a313a390168a4fb55a6,038030d2dd646a313a390168a4fb55a6,No,Si,NoDisponible,,,,,,
554,Mammillaria napina,189775,-97.4525,18.2538888,,False,2,52.1,Equisetopsida,Caryophyllales,Cactaceae,2241,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=039509d2b6c91e7938d329f8d2b5c92f,039509d2b6c91e7938d329f8d2b5c92f,No,Si,NoDisponible,,,,,,
104,Mammillaria napina,189857,-97.4028055,18.7021388,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2380,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0400159b5b7dd962ff4283b10cfcf095,0400159b5b7dd962ff4283b10cfcf095,No,Si,NoDisponible,,,,,,
629,Mammillaria napina,189785,-97.5686111,18.3969444,,False,3,58.67,Equisetopsida,Caryophyllales,Cactaceae,2048,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0410e378c37fd698d241fd9e1405ffee,0410e378c37fd698d241fd9e1405ffee,No,Si,NoDisponible,,,,,,
257,Mammillaria napina,189857,-97.4097777,18.69925,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0431db9b751bf95f69a79b9a548cd5cb,0431db9b751bf95f69a79b9a548cd5cb,No,Si,NoDisponible,,,,,,
60,Mammillaria napina,189857,-97.4097219,18.6992777,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04339cc468c7e13f2f446735ddd8d541,04339cc468c7e13f2f446735ddd8d541,No,Si,NoDisponible,,,,,,
296,Mammillaria napina,189857,-97.4096941,18.6993888,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2408,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0459e6bd0775078bc59daeb6bf453e09,0459e6bd0775078bc59daeb6bf453e09,No,Si,NoDisponible,,,,,,
630,Mammillaria napina,189785,-97.5686111,18.3969444,,False,3,58.67,Equisetopsida,Caryophyllales,Cactaceae,2048,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04764e53e93febb932176e9651515465,04764e53e93febb932176e9651515465,No,Si,NoDisponible,,,,,,
502,Mammillaria napina,189780,-97.60239,18.44179,,False,0,40.37,Equisetopsida,Caryophyllales,Cactaceae,2066,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=048cf8d000721f15d7e6ded95886aa2d,048cf8d000721f15d7e6ded95886aa2d,No,Si,NoDisponible,,,,,,
425,Mammillaria napina,189857,-97.40975,18.6992219,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a3627f67e930f2f4ca959963fc5672,04a3627f67e930f2f4ca959963fc5672,No,Si,NoDisponible,,,,,,
18,Mammillaria napina,189857,-97.4085833,18.6978333,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2434,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d38554a0b2d6d98fb3e66812646a41,04d38554a0b2d6d98fb3e66812646a41,No,Si,NoDisponible,,,,,,
68,Mammillaria napina,189857,-97.4097219,18.69925,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05095fdaff6d6be1aaf0ab2ef8e2d74c,05095fdaff6d6be1aaf0ab2ef8e2d74c,No,Si,NoDisponible,,,,,,
322,Mammillaria napina,189857,-97.4096941,18.6991941,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=050e7b5b6d7dd191219b105b125f057d,050e7b5b6d7dd191219b105b125f057d,No,Si,NoDisponible,,,,,,
555,Mammillaria napina,189775,-97.4525,18.2538888,,False,2,52.1,Equisetopsida,Caryophyllales,Cactaceae,2241,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=055baf8e8bd68b050e8e3d099366126e,055baf8e8bd68b050e8e3d099366126e,No,Si,NoDisponible,,,,,,
87,Mammillaria napina,189857,-97.4097219,18.6992219,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e2dd3af6fa6df5ca7b454cdde26fb5,05e2dd3af6fa6df5ca7b454cdde26fb5,No,Si,NoDisponible,,,,,,
196,Mammillaria napina,189857,-97.4097219,18.699333,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2408,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06175b86444deb7b0832581e8c36348f,06175b86444deb7b0832581e8c36348f,No,Si,NoDisponible,,,,,,
158,Mammillaria napina,189857,-97.4096666,18.6993608,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2408,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=082c34182c3865f55cdece028f81bc17,082c34182c3865f55cdece028f81bc17,No,Si,NoDisponible,,,,,,
8,Mammillaria napina,189810,-97.4083333,18.475,,False,0,36.73,Equisetopsida,Caryophyllales,Cactaceae,1659,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=092cb1769e43e6df0148c0a4849ff7ce,092cb1769e43e6df0148c0a4849ff7ce,No,Si,NoDisponible,,,,,,
88,Mammillaria napina,189857,-97.4097219,18.6992219,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2416,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=095c37295cd5a10c839d30415d26f913,095c37295cd5a10c839d30415d26f913,No,Si,NoDisponible,,,,,,
556,Mammillaria napina,189775,-97.4525,18.2538888,,False,2,52.1,Equisetopsida,Caryophyllales,Cactaceae,2241,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=097d37f6ec6c88bfd6870f85e47915c7,097d37f6ec6c88bfd6870f85e47915c7,No,Si,NoDisponible,,,,,,
557,Mammillaria napina,189775,-97.4525,18.2538888,,False,2,52.1,Equisetopsida,Caryophyllales,Cactaceae,2241,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a90bf3cd1af708f51fafd3c0176c03c,0a90bf3cd1af708f51fafd3c0176c03c,No,Si,NoDisponible,,,,,,
122,Mammillaria napina,189857,-97.408583,18.6996388,,False,1,45.94,Equisetopsida,Caryophyllales,Cactaceae,2433,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0af9730323fbc7007b066c9cdd285f17,0af9730323fbc7007b066c9cdd285f17,No,Si,NoDisponible,,,,,,
