,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammillaria petterssonii,155888,-101.2569,21.0167,,False,3,28.24,Equisetopsida,Caryophyllales,Cactaceae,2020,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=32e5aa51666af9737bc41836e7d46597,32e5aa51666af9737bc41836e7d46597,No,
1,Mammillaria petterssonii,155888,-101.2569,21.0167,,False,3,28.24,Equisetopsida,Caryophyllales,Cactaceae,2020,Terrestre,1899,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77348f620901396290d633d9bf1fd067,77348f620901396290d633d9bf1fd067,No,
2,Mammillaria petterssonii,127905,-104.8619444,24.5675,,False,3,33.25,Equisetopsida,Caryophyllales,Cactaceae,2080,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e8931dd9069249aa8b36e9cba0597253,e8931dd9069249aa8b36e9cba0597253,Si,aunque fuera del polígono dentro del Estado citado en Literatura
3,Mammillaria petterssonii,137161,-103.8563888,23.9958333,,False,3,31.44,Equisetopsida,Caryophyllales,Cactaceae,2127,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e7bfaac1765df8493ea56ec32cc94a,05e7bfaac1765df8493ea56ec32cc94a,No,
4,Mammillaria petterssonii,127854,-104.7369444,24.1922222,,False,3,35.85,Equisetopsida,Caryophyllales,Cactaceae,1930,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a216ed4b15e62a9f12d3b092a9c598d,4a216ed4b15e62a9f12d3b092a9c598d,Si,aunque fuera del polígono dentro del Estado citado en Literatura
5,Mammillaria petterssonii,132460,-104.1266666,23.5927777,,False,3,38.14,Equisetopsida,Caryophyllales,Cactaceae,2101,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72b5cfef962fa0bf4088a4039fde9553,72b5cfef962fa0bf4088a4039fde9553,Si,aunque fuera del polígono dentro del Estado citado en Literatura
6,Mammillaria petterssonii,127869,-104.7769444,24.3855555,,False,1,14.41,Equisetopsida,Caryophyllales,Cactaceae,1966,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26f5ce29246311642ed92b01cdf18237,26f5ce29246311642ed92b01cdf18237,Si,aunque fuera del polígono dentro del Estado citado en Literatura
7,Mammillaria petterssonii,132316,-104.3680555,22.7569444,,False,0,10.36,Equisetopsida,Caryophyllales,Cactaceae,2197,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f9f904b7248ecee053feb1a909b5b56,2f9f904b7248ecee053feb1a909b5b56,Si,aunque fuera del polígono dentro del Estado citado en Literatura
8,Mammillaria petterssonii,141748,-103.0877777,22.7441666,,False,3,29.27,Equisetopsida,Caryophyllales,Cactaceae,2575,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55677c7494a35d9c0a9ab920cc787590,55677c7494a35d9c0a9ab920cc787590,No,
9,Mammillaria petterssonii,160658,-101.1835,21.1529167,,False,3,32.13,Equisetopsida,Caryophyllales,Cactaceae,2568,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ce75ee8f19b8f4174b10635d971b3b3,0ce75ee8f19b8f4174b10635d971b3b3,No,
10,Mammillaria petterssonii,155900,-101.2016667,21.1675,,False,2,22.2,Equisetopsida,Caryophyllales,Cactaceae,2500,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=61382603bd7d1a175e66aec4ea4aebaa,61382603bd7d1a175e66aec4ea4aebaa,No,
11,Mammillaria petterssonii,151194,-102.17,22.2233333,,False,2,23.4,Equisetopsida,Caryophyllales,Cactaceae,2102,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d9d81c2a02ac151aa7cb6c7a24968cc4,d9d81c2a02ac151aa7cb6c7a24968cc4,Si,aunque fuera del polígono dentro del Estado citado en Literatura
