,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Mammillaria pilispina,160793,-100.9761111,22.1511111,,False,3,31.62,Equisetopsida,Caryophyllales,Cactaceae,1881,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e80c5f7c425e3114c9733b4c619b68a,0e80c5f7c425e3114c9733b4c619b68a,Si,No,NoDisponible,Si,Si,,,,
12,Mammillaria pilispina,165998,-100.1286497,24.7430297,,True,1,-169.61,Equisetopsida,Caryophyllales,Cactaceae,2074,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22504f093393b8a02078442aaf3dc459,22504f093393b8a02078442aaf3dc459,No,,NoDisponible,,,,,,
6,Mammillaria pilispina,170674,-99.7440458,23.2692513,,True,2,-37.11,Equisetopsida,Caryophyllales,Cactaceae,1151,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c4053ca3c6ddc3f89786e711b05f945,2c4053ca3c6ddc3f89786e711b05f945,No,,NoDisponible,,,,,,
5,Mammillaria pilispina,166007,-100.1868638,24.9603213,,True,1,-178.62,Equisetopsida,Caryophyllales,Cactaceae,2515,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=499538d54cc3137afb047f46d2c6d2a6,499538d54cc3137afb047f46d2c6d2a6,No,,NoDisponible,,,,,,
13,Mammillaria pilispina,170700,-99.7595852,23.5295774,,True,1,-113.75,Equisetopsida,Caryophyllales,Cactaceae,2080,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c920db235bd934935aaeb9a6026b929,4c920db235bd934935aaeb9a6026b929,No,,NoDisponible,,,,,,
11,Mammillaria pilispina,161042,-101.1509319,24.3299713,,True,1,-155.09,Equisetopsida,Caryophyllales,Cactaceae,2352,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5301bb67751b6247ddca7891f123fb29,5301bb67751b6247ddca7891f123fb29,Si,No,NoDisponible,No,No,,,,
18,Mammillaria pilispina,165996,-100.0652216,24.6056338,,True,1,-143.42,Equisetopsida,Caryophyllales,Cactaceae,2145,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=536a4afd78ea67b87875a840bcf2652c,536a4afd78ea67b87875a840bcf2652c,No,,NoDisponible,,,,,,
17,Mammillaria pilispina,170838,-100.0157088,25.0249533,,True,0,-258.28,Equisetopsida,Caryophyllales,Cactaceae,767,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ba07e1237ddfcc9b72e480567975c65,5ba07e1237ddfcc9b72e480567975c65,Si,No,NoDisponible,Si,Si,,,,
19,Mammillaria pilispina,160877,-100.6907722,22.5405683,,False,3,19.77,Equisetopsida,Caryophyllales,Cactaceae,1603,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66ffbf1182a925ad5a4554d6caee7cf0,66ffbf1182a925ad5a4554d6caee7cf0,No,,NoDisponible,,,,,,
2,Mammillaria pilispina,170814,-99.59278,24.48389,,True,0,-252.37,Equisetopsida,Caryophyllales,Cactaceae,562,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a96927e2845ff6666d85b11e2718ba5,6a96927e2845ff6666d85b11e2718ba5,Si,No,NoDisponible,Si,Si,,,,
