,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammillaria pottsii,137548,-103.7794444,27.1947222,,False,4,23.74,Equisetopsida,Caryophyllales,Cactaceae,1727,Terrestre,1885,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bd67d68b8d94d6e476782468c6b1614f,bd67d68b8d94d6e476782468c6b1614f,No,
1,Mammillaria pottsii,161177,-101.03,25.34,,False,2,9.53,Equisetopsida,Caryophyllales,Cactaceae,1843,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bba69e5ce9ed9ff5a50eaf2e635a31a1,bba69e5ce9ed9ff5a50eaf2e635a31a1,No,
2,Mammillaria pottsii,142136,-103.09196,26.04249,,False,2,6.66,Equisetopsida,Caryophyllales,Cactaceae,1100,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bc9c512e4f7ec1abf854c4c608c1d883,bc9c512e4f7ec1abf854c4c608c1d883,No,
3,Mammillaria pottsii,156439,-101.6402778,25.9513889,,False,4,25.37,Equisetopsida,Caryophyllales,Cactaceae,1875,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c73ae2615ea6114e021f911deaf54421,c73ae2615ea6114e021f911deaf54421,No,
4,Mammillaria pottsii,101157,-108.3333333,28.2833333,,True,1,-17.19,Equisetopsida,Caryophyllales,Cactaceae,1738,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d5d1199625892e2fa27128ffea48fa3d,d5d1199625892e2fa27128ffea48fa3d,Si,"aunque fuera del polígono, dentro del Estado citado en Literatura"
5,Mammillaria pottsii,146904,-102.8333333,26.575,,False,2,10.37,Equisetopsida,Caryophyllales,Cactaceae,1218,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8bb754736fddc7612a7dce06d0370756,8bb754736fddc7612a7dce06d0370756,No,
6,Mammillaria pottsii,161260,-100.675,25.675,,False,2,10.35,Equisetopsida,Caryophyllales,Cactaceae,1144,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57fcabf217a09711f9c7cdcd67fe733d,57fcabf217a09711f9c7cdcd67fe733d,Si,"aunque fuera del polígono muy cerca del borde, cae dentro con margen de tolerancia"
7,Mammillaria pottsii,161260,-100.675,25.675,,False,2,10.35,Equisetopsida,Caryophyllales,Cactaceae,1144,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a457be7e8b3691c20dfa03de813f2ed2,a457be7e8b3691c20dfa03de813f2ed2,Si,"aunque fuera del polígono muy cerca del borde, cae dentro con margen de tolerancia"
8,Mammillaria pottsii,161260,-100.6828908,25.6687949,,False,2,10.35,Equisetopsida,Caryophyllales,Cactaceae,1182,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e51b9eed880fb314888b21a5634a6bf9,e51b9eed880fb314888b21a5634a6bf9,Si,"aunque fuera del polígono muy cerca del borde, cae dentro con margen de tolerancia"
9,Mammillaria pottsii,146941,-102.43777,26.51111,,False,2,9.62,Equisetopsida,Caryophyllales,Cactaceae,1076,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5678a9659a2fe8a0bb29211aa87df372,5678a9659a2fe8a0bb29211aa87df372,No,
