,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammillaria schiedeana,165608,-100.21583,21.59805,,False,3,37.02,Equisetopsida,Caryophyllales,Cactaceae,1153,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dc2e382a2eb872bb03de8d5d5797bb8e,dc2e382a2eb872bb03de8d5d5797bb8e,No,
1,Mammillaria schiedeana,165608,-100.2216667,21.6033333,,False,3,37.02,Equisetopsida,Caryophyllales,Cactaceae,1061,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74900b282a9929d0b6aa082cc246c6aa,74900b282a9929d0b6aa082cc246c6aa,No,
2,Mammillaria schiedeana,165620,-100.194335,21.731961,,False,3,42.7,Equisetopsida,Caryophyllales,Cactaceae,1399,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=104d931a0b3a13d873024404fb340216,104d931a0b3a13d873024404fb340216,No,
3,Mammillaria schiedeana,165620,-100.194335,21.731961,,False,3,42.7,Equisetopsida,Caryophyllales,Cactaceae,1399,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d59261c8ae64b7c069b31259f52577c3,d59261c8ae64b7c069b31259f52577c3,No,
4,Mammillaria schiedeana,170459,-99.8106375,21.6349958,,False,2,18.1,Equisetopsida,Caryophyllales,Cactaceae,883,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=177d775c204f6fd85ee873f8d605fec4,177d775c204f6fd85ee873f8d605fec4,No,
5,Mammillaria schiedeana,170450,-99.9944461,21.698753,,False,3,36.09,Equisetopsida,Caryophyllales,Cactaceae,1309,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e8b765cc6d921417969aad9ec7bed654,e8b765cc6d921417969aad9ec7bed654,No,
6,Mammillaria schiedeana,180121,-98.6873858,20.5314805,,False,2,15.12,Equisetopsida,Caryophyllales,Cactaceae,1381,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55cf4eca0f6d4e8a1b8e74b19c35a3c7,55cf4eca0f6d4e8a1b8e74b19c35a3c7,Si,aunque fuera del polígono dentro del Estado citado en Literatura
7,Mammillaria schiedeana,170417,-99.7471288,21.1220841,,False,2,19.85,Equisetopsida,Caryophyllales,Cactaceae,1760,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=84d1abbd884a5ded91edfc4631de44a0,84d1abbd884a5ded91edfc4631de44a0,No,
8,Mammillaria schiedeana,175277,-98.9963544,20.980693,,True,0,-25.99,Equisetopsida,Caryophyllales,Cactaceae,1074,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e8669b2f0768d6ee9b6c6a07edc5043d,e8669b2f0768d6ee9b6c6a07edc5043d,Si,aunque fuera del polígono dentro del Estado citado en Literatura
9,Mammillaria schiedeana,180123,-98.6000688,20.5923886,,False,1,5.37,Equisetopsida,Caryophyllales,Cactaceae,1984,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fc68dc2bae7171393588c85f429d4e4c,fc68dc2bae7171393588c85f429d4e4c,Si,aunque fuera del polígono dentro del Estado citado en Literatura
