,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Mammillaria sempervivi,170328,-99.9299999,20.75497,,False,3,33.87,Equisetopsida,Caryophyllales,Cactaceae,2033,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fe20f91f49bdfea8f884cb2ff8ce54,01fe20f91f49bdfea8f884cb2ff8ce54,Si,No,NoDisponible,,Si,,,,
3,Mammillaria sempervivi,170328,-99.9333333,20.7527777,,False,3,33.87,Equisetopsida,Caryophyllales,Cactaceae,2110,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02dc5e038ed2c86b2571f8999e261060,02dc5e038ed2c86b2571f8999e261060,Si,No,NoDisponible,,Si,,,,
29,Mammillaria sempervivi,175208,-99.0859844,20.5050069,,False,3,44.24,Equisetopsida,Caryophyllales,Cactaceae,2032,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a9d32405c7f76ab991bf0efb8c32e26,0a9d32405c7f76ab991bf0efb8c32e26,Si,No,NoDisponible,,Si,,,,
28,Mammillaria sempervivi,156154,-101.2967349,23.3190299,,False,3,20.79,Equisetopsida,Caryophyllales,Cactaceae,2291,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=150350bd8d2cb6885815dd9066a621fb,150350bd8d2cb6885815dd9066a621fb,Si,No,NoDisponible,,Si,,,,
21,Mammillaria sempervivi,175207,-99.0345269,20.3969441,,False,3,32.3,Equisetopsida,Caryophyllales,Cactaceae,2035,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ebd70e0d23c4a3686365739937b980f,1ebd70e0d23c4a3686365739937b980f,Si,No,NoDisponible,,Si,,,,
24,Mammillaria sempervivi,175218,-99.1166666,20.633333,,False,3,31.9,Equisetopsida,Caryophyllales,Cactaceae,2171,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=333e268385503b4236343909ca72c0e2,333e268385503b4236343909ca72c0e2,Si,No,NoDisponible,,Si,,,,
27,Mammillaria sempervivi,160987,-100.9105447,23.7316463,,False,3,22.44,Equisetopsida,Caryophyllales,Cactaceae,2202,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fb82a64feb371332cd0247a72cd42b7,3fb82a64feb371332cd0247a72cd42b7,Si,No,NoDisponible,,Si,,,,
14,Mammillaria sempervivi,175205,-99.1280549,20.40955,,False,3,28.52,Equisetopsida,Caryophyllales,Cactaceae,1984,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4adc45a87becee55a278288be58a1e72,4adc45a87becee55a278288be58a1e72,Si,No,NoDisponible,,Si,,,,
32,Mammillaria sempervivi,180105,-98.6722222,20.2763889,,False,3,31.71,Equisetopsida,Caryophyllales,Cactaceae,2090,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e9c07ffefd760e6534e0d0ecfadcf31,4e9c07ffefd760e6534e0d0ecfadcf31,Si,No,NoDisponible,,Si,,,,
13,Mammillaria sempervivi,170399,-99.75361,21.2324999,,False,3,29.06,Equisetopsida,Caryophyllales,Cactaceae,1518,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=53075f3e3427521bf31763e9f1f71256,53075f3e3427521bf31763e9f1f71256,Si,No,NoDisponible,,Si,,,,
