,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammillaria uncinata,146455,-102.7911111,22.8125,,False,3,17.26,Equisetopsida,Caryophyllales,Cactaceae,2434,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bc5045e95cb41196b77108caa933592,2bc5045e95cb41196b77108caa933592,No,
1,Mammillaria uncinata,170818,-100.0180556,24.5836111,,False,2,14.98,Equisetopsida,Caryophyllales,Cactaceae,2282,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d17df17b61f0768adb663ca83262ba4,0d17df17b61f0768adb663ca83262ba4,No,
2,Mammillaria uncinata,170818,-99.9721722,24.5931667,,False,2,14.98,Equisetopsida,Caryophyllales,Cactaceae,2174,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b4878454fdc52d95c4a4053af312e65d,b4878454fdc52d95c4a4053af312e65d,No,
3,Mammillaria uncinata,170818,-100.0305499,24.5836108,,False,2,14.98,Equisetopsida,Caryophyllales,Cactaceae,2438,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=418c3287d5071e7bffc0ab820f5e7362,418c3287d5071e7bffc0ab820f5e7362,No,
4,Mammillaria uncinata,189747,-97.343,17.87375,,False,3,23.87,Equisetopsida,Caryophyllales,Cactaceae,2111,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cc6be0e9f4c8d703e557ba44e4ab50ae,cc6be0e9f4c8d703e557ba44e4ab50ae,No,
5,Mammillaria uncinata,180060,-98.6708333,20.0694444,,False,3,22.42,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=181bac997e6bebae18201126ccd839eb,181bac997e6bebae18201126ccd839eb,No,
6,Mammillaria uncinata,180060,-98.6708333,20.0694444,,False,3,22.42,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1920360f3a42e49280d05f680eb9215a,1920360f3a42e49280d05f680eb9215a,No,
7,Mammillaria uncinata,180060,-98.6708333,20.0694444,,False,3,22.42,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c32506709bfc011af26e85433a26e01,5c32506709bfc011af26e85433a26e01,No,
8,Mammillaria uncinata,180060,-98.6708333,20.0694444,,False,3,22.42,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9d6dfa7043593c89fddf9dc75738781f,9d6dfa7043593c89fddf9dc75738781f,No,
9,Mammillaria uncinata,180060,-98.6708333,20.0694444,,False,3,22.42,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f21e59347398678e31a1296ee75dda3d,f21e59347398678e31a1296ee75dda3d,No,
10,Mammillaria uncinata,180060,-98.6708333,20.0694444,,False,3,22.42,Equisetopsida,Caryophyllales,Cactaceae,2425,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f676ceca37007d72e089e49565df43e7,f676ceca37007d72e089e49565df43e7,No,
11,Mammillaria uncinata,180061,-98.701427,20.133034,,False,3,18.53,Equisetopsida,Caryophyllales,Cactaceae,2695,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e0a66c2e4e86831d0ac940e701305755,e0a66c2e4e86831d0ac940e701305755,No,
12,Mammillaria uncinata,180061,-98.702939,20.132256,,False,3,18.53,Equisetopsida,Caryophyllales,Cactaceae,2647,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13f7b7d8f23728b7a52cb09bf9d1bfff,13f7b7d8f23728b7a52cb09bf9d1bfff,No,
13,Mammillaria uncinata,180061,-98.683333,20.133333,,False,3,18.53,Equisetopsida,Caryophyllales,Cactaceae,2910,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=457e3bf3cdd7563c92dc1f5d7cfe3850,457e3bf3cdd7563c92dc1f5d7cfe3850,No,
14,Mammillaria uncinata,151330,-102,23,,False,3,16.01,Equisetopsida,Caryophyllales,Cactaceae,2062,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eebdeece8afffc04ba14f1a472d3e863,eebdeece8afffc04ba14f1a472d3e863,No,
15,Mammillaria uncinata,155949,-101.27277,21.52416,,False,3,28.47,Equisetopsida,Caryophyllales,Cactaceae,2208,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0de962ff9b6d4de92a614fe69af39d94,0de962ff9b6d4de92a614fe69af39d94,No,
