,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,razon_sospecha
0,Mammilloydia candida,165769,-100.4202778,22.9344444,,False,3,26.03,Equisetopsida,Caryophyllales,Cactaceae,1352,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf4948d82b60b4eed61b7163ca493c04,bf4948d82b60b4eed61b7163ca493c04,No,
1,Mammilloydia candida,165743,-100.05256,22.57107,,False,2,17.33,Equisetopsida,Caryophyllales,Cactaceae,1123,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82e1901a1bd1433d2fe0940799f991d0,82e1901a1bd1433d2fe0940799f991d0,No,
2,Mammilloydia candida,170753,-100.02356,24.05399,,False,3,35.21,Equisetopsida,Caryophyllales,Cactaceae,1761,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29c4e7eebc0d3e1249f73bb6abf5cbd1,29c4e7eebc0d3e1249f73bb6abf5cbd1,No,
3,Mammilloydia candida,170753,-99.9976199,24.0099038,,False,3,35.21,Equisetopsida,Caryophyllales,Cactaceae,1739,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7291e2e6dc857191da578082bc18475b,7291e2e6dc857191da578082bc18475b,No,
4,Mammilloydia candida,170723,-99.662268,23.4932272,,False,3,33.6,Equisetopsida,Caryophyllales,Cactaceae,1700,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d828b1a63bf9d41dcb9fcb8099b30fad,d828b1a63bf9d41dcb9fcb8099b30fad,No,
5,Mammilloydia candida,170723,-99.6090405,23.5264074,,False,3,33.6,Equisetopsida,Caryophyllales,Cactaceae,1757,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cb2dffee4016b5a99451859f340684d5,cb2dffee4016b5a99451859f340684d5,No,
6,Mammilloydia candida,170723,-99.6473549,23.5082611,,False,3,33.6,Equisetopsida,Caryophyllales,Cactaceae,1758,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d7517278b7d531ec63d87747e4d90770,d7517278b7d531ec63d87747e4d90770,No,
7,Mammilloydia candida,170723,-99.6491449,23.51464,,False,3,33.6,Equisetopsida,Caryophyllales,Cactaceae,1737,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8becdc6ff6f25ffafe781d281c5009b2,8becdc6ff6f25ffafe781d281c5009b2,No,
8,Mammilloydia candida,170674,-99.7016788,23.3249769,,False,3,38.54,Equisetopsida,Caryophyllales,Cactaceae,1551,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fb82c184fa00b791c6f50e05e670849a,fb82c184fa00b791c6f50e05e670849a,No,
9,Mammilloydia candida,170688,-99.50908,23.4372252,,False,3,30.16,Equisetopsida,Caryophyllales,Cactaceae,1131,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=53fed868876dfe275e6bb5f3cf8b25cb,53fed868876dfe275e6bb5f3cf8b25cb,No,
